Time,v(clk),v(data),v(out)
1.00254973870901e-07,0.00000000000000e+00,6.00000000000000e-01,-3.61820665277859e-05
1.00854973870901e-07,0.00000000000000e+00,6.00000000000000e-01,4.64971513531170e-05
1.01454973870901e-07,0.00000000000000e+00,6.00000000000000e-01,-3.63769973435422e-05
1.02054973870901e-07,0.00000000000000e+00,6.00000000000000e-01,4.20454909546182e-05
1.02654973870901e-07,0.00000000000000e+00,6.00000000000000e-01,-2.94334285011362e-05
1.03254973870901e-07,0.00000000000000e+00,6.00000000000000e-01,3.40219340642829e-05
1.03854973870901e-07,0.00000000000000e+00,6.00000000000000e-01,-2.11985786804890e-05
1.04454973870901e-07,0.00000000000000e+00,6.00000000000000e-01,2.61045738819132e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.92794705271178e-05
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.05739573986732e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,7.96751498721202e-04
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.25400423127388e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,3.48712967775514e-04
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-3.27588109061375e-04
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-1.65531474940135e-03
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-3.77493215422980e-03
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.51386589147755e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,2.44232861736723e-02
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,4.26227227308852e-01
1.06042851533183e-07,6.00000000000000e-01,6.00000000000000e-01,6.21142952773165e-01
1.06492189103976e-07,6.00000000000000e-01,6.00000000000000e-01,5.82436478531218e-01
1.07092189103976e-07,6.00000000000000e-01,6.00000000000000e-01,6.15310714985331e-01
1.07692189103976e-07,6.00000000000000e-01,6.00000000000000e-01,5.86384029031798e-01
1.08292189103976e-07,6.00000000000000e-01,6.00000000000000e-01,6.11489522790433e-01
1.08892189103976e-07,6.00000000000000e-01,6.00000000000000e-01,5.89816473642784e-01
1.09492189103976e-07,6.00000000000000e-01,6.00000000000000e-01,6.08550606619334e-01
1.10092189103976e-07,6.00000000000000e-01,6.00000000000000e-01,5.92453534388933e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.94548125440477e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,5.96112105617313e-01
1.10130000000000e-07,6.00000000000000e-01,4.20000000000114e-01,5.98356865440004e-01
1.10170000000000e-07,6.00000000000000e-01,1.80000000000159e-01,5.99833460345140e-01
1.10200000000000e-07,6.00000000000000e-01,1.13686837721616e-13,6.00003230294525e-01
1.10208000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00014744203485e-01
1.10224000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00014464149429e-01
1.10256000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99983719216277e-01
1.10320000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99938538044542e-01
1.10448000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99904983084712e-01
1.10704000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00057000696219e-01
1.11083178371638e-07,6.00000000000000e-01,0.00000000000000e+00,5.99908435093349e-01
1.11648156252302e-07,6.00000000000000e-01,0.00000000000000e+00,6.00024117929109e-01
1.12248156252302e-07,6.00000000000000e-01,0.00000000000000e+00,5.99938833709412e-01
1.12848156252302e-07,6.00000000000000e-01,0.00000000000000e+00,6.00006952683402e-01
1.13448156252302e-07,6.00000000000000e-01,0.00000000000000e+00,5.99956898731969e-01
1.14048156252302e-07,6.00000000000000e-01,0.00000000000000e+00,5.99997433824119e-01
1.14648156252302e-07,6.00000000000000e-01,0.00000000000000e+00,5.99968823545659e-01
1.15100000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99989729452345e-01
1.15110000000000e-07,5.40000000000061e-01,0.00000000000000e+00,5.99850398787376e-01
1.15130000000000e-07,4.20000000000084e-01,0.00000000000000e+00,5.99650498299180e-01
1.15170000000000e-07,1.80000000000129e-01,0.00000000000000e+00,6.00564074945092e-01
1.15200000000000e-07,8.40438829641244e-14,0.00000000000000e+00,6.03446785867070e-01
1.15208000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.04360633262892e-01
1.15224000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.05687842591295e-01
