Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.01408812371558e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.61882950460296e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,4.62347475246039e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,4.19817828856278e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,9.73481958098377e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.31941295508742e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.81745739046202e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.01674590774581e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.70269940792528e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.37665341584936e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.03374205305640e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.64010444875887e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.46288902659314e-07
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.30537060194702e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.33216801620490e-07
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-1.22876531348237e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-3.47357644912977e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-6.54620796314329e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.78390252851440e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.11959987258320e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.77996185637486e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.58419103022187e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.07270832825083e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.24350293558596e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.85022298833464e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.63287644655335e-05
1.69544684393815e-08,0.00000000000000e+00,6.00000000000000e-01,-1.18586561518856e-04
1.78628329249815e-08,0.00000000000000e+00,6.00000000000000e-01,2.02562983208648e-04
1.95660970146247e-08,0.00000000000000e+00,6.00000000000000e-01,-2.07649313577974e-04
2.11163261181010e-08,0.00000000000000e+00,6.00000000000000e-01,2.01974795096929e-04
2.42167843250537e-08,0.00000000000000e+00,6.00000000000000e-01,-1.93352872205306e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.58247539512147e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.75478769616761e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,9.82074458826823e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,1.41329392177035e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.84117610026213e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.24691739593930e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.72885418902517e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.98904741519643e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.16493881963313e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.77948263457295e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.29157301654101e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.92670427756711e-01
2.67896006367909e-08,6.00000000000000e-01,6.00000000000000e-01,5.99469360156991e-01
2.78672654640003e-08,6.00000000000000e-01,6.00000000000000e-01,6.01660534569499e-01
2.92758831625209e-08,6.00000000000000e-01,6.00000000000000e-01,5.97834653386252e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02547914521054e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.01692957781370e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.00498971064227e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,5.99669397451715e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,5.99560624296853e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99557082404025e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99543586786153e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99574141167674e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99697029314048e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99831878690716e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99920724566350e-01
3.12160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99993296366009e-01
3.19178634120536e-08,6.00000000000000e-01,0.00000000000000e+00,5.99907722897102e-01
3.30188874208510e-08,6.00000000000000e-01,0.00000000000000e+00,5.99983082657368e-01
3.50125029298231e-08,6.00000000000000e-01,0.00000000000000e+00,5.99935796713340e-01
3.51000000000000e-08,5.99999999999970e-01,0.00000000000000e+00,5.99938049646792e-01
3.51100000000000e-08,5.39999999999982e-01,0.00000000000000e+00,5.99768560369777e-01
3.51300000000000e-08,4.19999999999965e-01,0.00000000000000e+00,5.99485134428211e-01
3.51700000000000e-08,1.79999999999970e-01,0.00000000000000e+00,5.99676445965531e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01387355671242e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02161845306533e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03431699954648e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.04932721671664e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.05857558605486e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02236332718943e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.87087790585444e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.91434474236257e-01
3.67623929821049e-08,0.00000000000000e+00,0.00000000000000e+00,6.03069597265105e-01
3.78551789463148e-08,0.00000000000000e+00,0.00000000000000e+00,5.96898967085143e-01
3.89770504497103e-08,0.00000000000000e+00,0.00000000000000e+00,6.01705369639998e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99866613459808e-01
3.93243743006791e-08,0.00000000000000e+00,0.00000000000000e+00,5.99790923684159e-01
3.97731229020373e-08,0.00000000000000e+00,0.00000000000000e+00,5.99724047001380e-01
4.06706201047538e-08,0.00000000000000e+00,0.00000000000000e+00,5.99778675445096e-01
4.24656145101866e-08,0.00000000000000e+00,0.00000000000000e+00,5.99802525473790e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99832117749945e-01
4.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,6.00069026529888e-01
4.50300000000000e-08,1.80000000000006e-01,0.00000000000000e+00,6.00485352024390e-01
4.50700000000000e-08,4.20000000000000e-01,0.00000000000000e+00,6.00743985032634e-01
4.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00224643998861e-01
4.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99947837777217e-01
4.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99517362077326e-01
4.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98953816557645e-01
4.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98766616623229e-01
4.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.01634849589438e-01
4.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.23166309924643e-01
4.61160000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.25013078090774e-01
4.68237842515419e-08,6.00000000000000e-01,0.00000000000000e+00,-6.18615493875911e-02
4.76743462128867e-08,6.00000000000000e-01,0.00000000000000e+00,5.73201598429926e-02
4.93063655448018e-08,6.00000000000000e-01,0.00000000000000e+00,-4.30831763906130e-02
5.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,3.55529752775695e-02
5.00100000000000e-08,6.00000000000000e-01,5.99999999999886e-02,2.97347200600923e-02
5.00300000000000e-08,6.00000000000000e-01,1.79999999999966e-01,2.00547718986216e-02
5.00700000000000e-08,6.00000000000000e-01,4.20000000000000e-01,8.84412387334881e-03
5.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.84959888256636e-03
5.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.19858719188533e-03
5.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.06438805670216e-03
5.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.64334969974991e-03
5.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.35054489122996e-04
5.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.00838337292602e-05
5.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.37024190530488e-06
5.11160000000001e-08,6.00000000000000e-01,6.00000000000000e-01,-5.48997857829220e-06
5.21400000000002e-08,6.00000000000000e-01,6.00000000000000e-01,3.56298799262557e-06
5.41880000000003e-08,6.00000000000000e-01,6.00000000000000e-01,-4.50395344722687e-06
5.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.29257370099319e-06
5.51100000000000e-08,5.40000000000021e-01,6.00000000000000e-01,-1.21015909485822e-04
5.51300000000000e-08,4.20000000000004e-01,6.00000000000000e-01,-3.41300882159334e-04
5.51700000000000e-08,1.80000000000010e-01,6.00000000000000e-01,-6.54920810046214e-04
5.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.79247064597812e-04
5.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.58594076639535e-05
5.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.73499673154437e-04
5.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.51106458779297e-04
5.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.75074674982887e-04
5.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.19798445971357e-04
5.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.13884103591497e-04
5.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.15728899647299e-04
5.69555057347803e-08,0.00000000000000e+00,6.00000000000000e-01,-2.89040922064897e-04
5.78637883467350e-08,0.00000000000000e+00,6.00000000000000e-01,3.20199160224514e-04
5.95714794232925e-08,0.00000000000000e+00,6.00000000000000e-01,-3.11529155988622e-04
6.11216293628577e-08,0.00000000000000e+00,6.00000000000000e-01,2.84057705541836e-04
6.42219292419882e-08,0.00000000000000e+00,6.00000000000000e-01,-2.66341971666990e-04
6.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.99686293276735e-04
6.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.26079039379304e-04
6.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,1.03675309287712e-03
6.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,1.44589467558535e-03
6.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,4.02062718581522e-04
6.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.09266642755338e-04
6.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.71782421985342e-03
6.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.98339210753143e-03
6.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.16342555445858e-03
6.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.78108561762410e-03
6.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.29164598454819e-01
6.61159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,5.92672215856022e-01
6.67895845118662e-08,6.00000000000000e-01,6.00000000000000e-01,5.99468445286719e-01
6.78672554311199e-08,6.00000000000000e-01,6.00000000000000e-01,6.01661327185872e-01
6.92758491970607e-08,6.00000000000000e-01,6.00000000000000e-01,5.97834020446269e-01
7.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02548412962387e-01
7.01100000000000e-08,6.00000000000000e-01,5.40000000000011e-01,6.01693361545705e-01
7.01300000000000e-08,6.00000000000000e-01,4.20000000000034e-01,6.00499225574722e-01
7.01700000000000e-08,6.00000000000000e-01,1.80000000000080e-01,5.99669481053520e-01
7.02000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.99560674180288e-01
7.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99557127149543e-01
7.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99543622470284e-01
7.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99574160824005e-01
7.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99697033876007e-01
7.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99831877213134e-01
7.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99920724669634e-01
7.12159999999999e-08,6.00000000000000e-01,0.00000000000000e+00,5.99993294948910e-01
7.19178726856007e-08,6.00000000000000e-01,0.00000000000000e+00,5.99907723066531e-01
7.30189020964529e-08,6.00000000000000e-01,0.00000000000000e+00,5.99983081925922e-01
7.50125293097267e-08,6.00000000000000e-01,0.00000000000000e+00,5.99935796851408e-01
7.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99938045329242e-01
7.51100000000000e-08,5.40000000000061e-01,0.00000000000000e+00,5.99768555660214e-01
7.51300000000000e-08,4.20000000000084e-01,0.00000000000000e+00,5.99485131598479e-01
7.51700000000000e-08,1.80000000000129e-01,0.00000000000000e+00,5.99676445724722e-01
7.52000000000000e-08,8.40438829641244e-14,0.00000000000000e+00,6.01387355084647e-01
7.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02161844865231e-01
7.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03431699684775e-01
7.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.04932720105941e-01
