Time,v(clk),v(data),v(out)
1.00194121250186e-07,0.00000000000000e+00,6.00000000000000e-01,-6.29620584263815e-05
1.00794121250186e-07,0.00000000000000e+00,6.00000000000000e-01,3.67506859318897e-05
1.01394121250186e-07,0.00000000000000e+00,6.00000000000000e-01,-6.82345744374563e-06
1.01994121250186e-07,0.00000000000000e+00,6.00000000000000e-01,-5.04352901394001e-07
1.02594121250186e-07,0.00000000000000e+00,6.00000000000000e-01,1.66049554535808e-05
1.03194121250186e-07,0.00000000000000e+00,6.00000000000000e-01,-1.43362563419652e-05
1.03794121250186e-07,0.00000000000000e+00,6.00000000000000e-01,2.39726929419093e-05
1.04394121250186e-07,0.00000000000000e+00,6.00000000000000e-01,-1.73759689119438e-05
1.04994121250186e-07,0.00000000000000e+00,6.00000000000000e-01,2.42411318491717e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.68508194536565e-05
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.60544250559383e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,9.24953941977183e-04
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.73895175485468e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,1.69032774603345e-03
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.41979081414832e-03
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,8.22649462254882e-04
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.40533195408324e-04
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-2.93532865402309e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.39498338781920e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,3.57168877318990e-02
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.24828555262283e-01
1.06716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.14807745154097e-01
1.07316000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.87321364691896e-01
1.07916000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.10905102872190e-01
1.08516000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.90228569195776e-01
1.09116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.08296338207062e-01
1.09716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.92606242536813e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.05827311891880e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,6.03779994814150e-01
1.10130000000000e-07,6.00000000000000e-01,4.20000000000114e-01,6.01152808239333e-01
1.10170000000000e-07,6.00000000000000e-01,1.80000000000159e-01,5.99992879361449e-01
1.10200000000000e-07,6.00000000000000e-01,1.13686837721616e-13,6.00072689533176e-01
1.10208000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00080642737903e-01
1.10224000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00072007191988e-01
1.10256000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00022916068342e-01
1.10320000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99946499160256e-01
1.10448000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99919418949928e-01
1.10704000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00059502049451e-01
1.11079051713721e-07,6.00000000000000e-01,0.00000000000000e+00,5.99941513216107e-01
