Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.02589083585260e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,2.57612993733031e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.88886580083053e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.21296310304081e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-1.12004395457083e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.75041097286305e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.13849077550926e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.49217381177037e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.13902758613338e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.04297698502137e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.20027728831851e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.28421779406404e-05
1.20456748402729e-08,6.00000000000000e-01,6.00000000000000e-01,1.34146255595137e-05
1.39050245208188e-08,6.00000000000000e-01,6.00000000000000e-01,1.24730534257159e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.29982855394568e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-1.06057459462280e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-3.43859891914655e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-5.12529626913505e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.57723997256970e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.76406588292361e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.18527611195460e-03
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.60024055036193e-03
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.35950971454897e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.67882264693126e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.98266922984634e-04
1.61204355042433e-08,0.00000000000000e+00,6.00000000000000e-01,3.15707011499862e-04
1.66553619789841e-08,0.00000000000000e+00,6.00000000000000e-01,-4.10006636462075e-04
1.74365579370235e-08,0.00000000000000e+00,6.00000000000000e-01,4.47229587253996e-04
1.89219985885097e-08,0.00000000000000e+00,6.00000000000000e-01,-3.93286609715274e-04
2.02668269774040e-08,0.00000000000000e+00,6.00000000000000e-01,3.53954954260320e-04
2.29564837551928e-08,0.00000000000000e+00,6.00000000000000e-01,-3.04589117738998e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.90189419752337e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,6.12651742359055e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.14789241771525e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,1.94121500821735e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.99773985943499e-03
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.76445915963723e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.27336702586285e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.34189413631594e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.07136408793648e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.80573553068016e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.02191392413607e-02
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.69688872389817e-01
2.69225501786295e-08,6.00000000000000e-01,6.00000000000000e-01,6.17887329975775e-01
2.77584523027220e-08,6.00000000000000e-01,6.00000000000000e-01,5.84972068236276e-01
2.94302565509069e-08,6.00000000000000e-01,6.00000000000000e-01,6.14249926500222e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.87183183300762e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,5.90887395271676e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,5.96139017321692e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,5.99619885790586e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,5.99969323486103e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99997652868532e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00029506563334e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00020216217710e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99964395077257e-01
