Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,1.07529345886823e-09,8.44820162807913e-10
5.43554432000000e-07,1.07529346162960e-09,8.44820167002189e-10
5.73554432000000e-07,1.07529346439100e-09,8.44820171196471e-10
6.03554432000000e-07,1.07529346715237e-09,8.44820175390752e-10
6.33554432000000e-07,1.07529346991375e-09,8.44820179585037e-10
6.63554432000000e-07,1.07529347267513e-09,8.44820183779318e-10
6.93554432000000e-07,1.07529347543650e-09,8.44820187973602e-10
7.23554432000000e-07,1.07529347819789e-09,8.44820192167884e-10
7.53554432000000e-07,1.07529348095927e-09,8.44820196362169e-10
7.83554432000001e-07,1.07529348372063e-09,8.44820200556450e-10
8.13554432000001e-07,1.07529348648202e-09,8.44820204750734e-10
8.43554432000001e-07,1.07529348924340e-09,8.44820208945015e-10
8.73554432000001e-07,1.07529349200479e-09,8.44820213139292e-10
9.03554432000001e-07,1.07529349476615e-09,8.44820217333574e-10
9.33554432000001e-07,1.07529349752754e-09,8.44820221527858e-10
9.63554432000001e-07,1.07529350028892e-09,8.44820225722140e-10
9.93554432000001e-07,1.07529350305029e-09,8.44820229916424e-10
1.02355443200000e-06,1.07529350581167e-09,8.44820234110706e-10
1.05355443200000e-06,1.07529350857307e-09,8.44820238304990e-10
1.08355443200000e-06,1.07529351133444e-09,8.44820242499264e-10
1.11355443200000e-06,1.07529351409582e-09,8.44820246693549e-10
1.14355443200000e-06,1.07529351685719e-09,8.44820250887839e-10
1.17355443200000e-06,1.07529351961859e-09,8.44820255082123e-10
1.20355443200000e-06,1.07529352237996e-09,8.44820259276405e-10
1.23355443200000e-06,1.07529352514134e-09,8.44820263470682e-10
1.26355443200000e-06,1.07529352790271e-09,8.44820267664964e-10
1.29355443200000e-06,1.07529353066409e-09,8.44820271859248e-10
1.32355443200000e-06,1.07529353342548e-09,8.44820276053522e-10
1.35355443200000e-06,1.07529353618686e-09,8.44820280247815e-10
1.38355443200000e-06,1.07529353894823e-09,8.44820284442097e-10
1.41355443200000e-06,1.07529354170961e-09,8.44820288636381e-10
1.44355443200000e-06,1.07529354447100e-09,8.44820292830663e-10
1.47355443200000e-06,1.07529354723238e-09,8.44820297024948e-10
1.50355443200000e-06,1.07529354999376e-09,8.44820301219222e-10
1.53355443200000e-06,1.07529355275513e-09,8.44820305413515e-10
1.56355443200000e-06,1.07529355551653e-09,8.44820309607797e-10
1.59355443200000e-06,1.07529355827788e-09,8.44820313802074e-10
1.62355443200000e-06,1.07529356103928e-09,8.44820317996355e-10
1.65355443200000e-06,1.07529356380065e-09,8.44820322190640e-10
1.68355443200000e-06,1.07529356656205e-09,8.44820326384925e-10
1.71355443200000e-06,1.07529356932340e-09,8.44820330579207e-10
1.74355443200000e-06,1.07529357208480e-09,8.44820334773492e-10
1.77355443200000e-06,1.07529357484618e-09,8.44820338967774e-10
1.80355443200000e-06,1.07529357760755e-09,8.44820343162059e-10
1.83355443200000e-06,1.07529358036893e-09,8.44820347356342e-10
1.86355443200000e-06,1.07529358313030e-09,8.44820351550618e-10
1.89355443200000e-06,1.07529358589168e-09,8.44820355744909e-10
1.92355443200000e-06,1.07529358865307e-09,8.44820359939193e-10
1.95355443200000e-06,1.07529359141445e-09,8.44820364133468e-10
1.98355443200000e-06,1.07529359417582e-09,8.44820368327753e-10
2.00000000000000e-06,1.07529359568958e-09,8.44820370627002e-10
