Time,v(clk),v(data),v(out)
1.00416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,7.59628700765652e-05
1.01016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-4.99108282005500e-05
1.01616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,3.54855405888879e-05
1.02216000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-2.40078954421574e-05
1.02816000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.90520094183501e-05
1.03416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.35921091500429e-05
1.04016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.22951979343207e-05
1.04616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-9.09414156355717e-06
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,8.61877906164349e-06
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.79650607972584e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,1.02679926820194e-03
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.89063047352608e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,1.73933859713696e-03
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.45026125609445e-03
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,8.07137095760302e-04
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-6.57947729409442e-04
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-3.19626446829099e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.91628116689084e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,9.73351054546893e-03
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,3.91427252665664e-01
1.06716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.14363569602238e-01
1.07316000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.88407169435184e-01
1.07916000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.08812435326048e-01
1.08516000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.93127165063466e-01
1.09116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.05111372678919e-01
1.09716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.96025344034913e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.02523050143301e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,6.01962937182374e-01
