Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.82804524162732e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,4.52838665238597e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,7.46720735419343e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.02620261622277e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.58166262955356e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.85067794509064e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.00286878023998e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.04926736253647e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.85318653731842e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.01035156812729e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.10073626389046e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.24362193093183e-05
1.19966519505414e-08,6.00000000000000e-01,6.00000000000000e-01,-1.30055481608118e-06
1.37579558516243e-08,6.00000000000000e-01,6.00000000000000e-01,9.74910290369412e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.61036948526541e-06
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-1.55687062407484e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-6.01519181560511e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.84251747028701e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.39893498928051e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.15003226821563e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.66710179060615e-03
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.05380382282325e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.24323364679510e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.08651919552996e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.56195696173796e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.09389579763926e-04
1.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.66172197113702e-04
1.92880000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.66562198739416e-05
2.19130134924418e-08,0.00000000000000e+00,6.00000000000000e-01,-1.12754515039183e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.76665822475652e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,7.64181383667170e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.69472878794355e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,3.25169432552501e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.53354384378866e-03
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.28052715500542e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.78566751771746e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.84230117772036e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.69685854324467e-04
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.10934287939806e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.73371853792311e-03
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.94568158985411e-02
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.87550136660304e-01
2.91880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.25034521964125e-01
3.12631506506463e-08,6.00000000000000e-01,6.00000000000000e-01,5.80678597592892e-01
3.50631506506463e-08,6.00000000000000e-01,6.00000000000000e-01,6.16633633557577e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,6.12722992185124e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,6.11668639569395e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,6.09627455548862e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.06296192135834e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05003760664510e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05003383569768e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05007725075802e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05051321603581e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05228668891251e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05501971036530e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.05369411374669e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99562994333170e-01
3.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.84731238780530e-01
3.92880000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.93760709218753e-01
4.30715136656202e-08,0.00000000000000e+00,6.00000000000000e-01,6.03455840193674e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.98102443231584e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.98408214842629e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.98982086582476e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.99957939126957e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.00359777550762e-01
4.51080000000000e-08,6.00000000000000e-01,5.52000000000025e-01,6.00303029134176e-01
4.51240000000000e-08,6.00000000000000e-01,4.55999999999996e-01,6.00127774811496e-01
4.51560000000000e-08,6.00000000000000e-01,2.64000000000016e-01,5.99693846444668e-01
4.52000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.98972601134562e-01
4.52064000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98866317925982e-01
4.52192000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98647431555845e-01
4.52448000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98193911969914e-01
4.52960000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97259496384522e-01
4.53984000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.95384556951406e-01
4.56032000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.91535397001994e-01
4.60128000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.88463924051919e-01
4.68320000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.96117093570064e-01
4.84704000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.01471542066096e-01
5.00695916448416e-08,6.00000000000000e-01,0.00000000000000e+00,5.99264729423717e-01
5.32679749345246e-08,6.00000000000000e-01,0.00000000000000e+00,6.00525852183171e-01
5.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99692796743448e-01
5.51100000000000e-08,5.40000000000021e-01,0.00000000000000e+00,5.99542555525630e-01
5.51300000000000e-08,4.20000000000004e-01,0.00000000000000e+00,5.99179437239899e-01
5.51700000000000e-08,1.80000000000010e-01,0.00000000000000e+00,5.98546464937733e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.98745020654534e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99053039815759e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99635446386890e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00839885992035e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02720595939431e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.04860493176896e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.06471426053520e-01
5.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.07846033975426e-01
5.72400000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.05017389653175e-01
5.92880000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.97870789848110e-01
6.11588468182553e-08,0.00000000000000e+00,0.00000000000000e+00,6.00499983312970e-01
6.49005404547659e-08,0.00000000000000e+00,0.00000000000000e+00,5.99483789674689e-01
6.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99600934923839e-01
6.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,5.99839562090027e-01
6.50300000000000e-08,1.79999999999966e-01,0.00000000000000e+00,6.00307432538877e-01
6.50700000000000e-08,4.19999999999920e-01,0.00000000000000e+00,6.01153056444742e-01
6.51000000000000e-08,5.99999999999966e-01,0.00000000000000e+00,6.01295430277958e-01
6.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.01146360942060e-01
6.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00850599196195e-01
6.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00302237141998e-01
6.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99406520989493e-01
6.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98394102188880e-01
6.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98424356388163e-01
6.61159999999999e-08,6.00000000000000e-01,0.00000000000000e+00,6.08028223131547e-01
6.71399999999999e-08,6.00000000000000e-01,0.00000000000000e+00,5.49963363286099e-01
6.91879999999998e-08,6.00000000000000e-01,0.00000000000000e+00,2.85535122959456e-02
7.15591446516363e-08,6.00000000000000e-01,0.00000000000000e+00,-2.15491295328716e-02
7.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.94648321021801e-02
7.51100000000000e-08,5.40000000000061e-01,0.00000000000000e+00,1.76802369144414e-02
7.51300000000000e-08,4.20000000000084e-01,0.00000000000000e+00,1.44514401232036e-02
7.51700000000000e-08,1.80000000000129e-01,0.00000000000000e+00,9.23696144670196e-03
7.52000000000000e-08,8.40438829641244e-14,0.00000000000000e+00,6.53747732036276e-03
7.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.30878349635750e-03
7.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.83412194378967e-03
7.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.12458257400680e-03
7.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.98248206470501e-03
7.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,2.37302563958586e-03
7.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.22476510975716e-04
7.62159999999999e-08,0.00000000000000e+00,0.00000000000000e+00,-1.02236560237311e-03
7.72399999999999e-08,0.00000000000000e+00,0.00000000000000e+00,-8.02458008006855e-04
7.91948009639334e-08,0.00000000000000e+00,0.00000000000000e+00,4.90574900492258e-04
8.27556737884015e-08,0.00000000000000e+00,0.00000000000000e+00,-3.80747690339711e-04
8.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,2.80787347054305e-04
8.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,7.18757417754776e-04
8.50300000000000e-08,1.79999999999966e-01,0.00000000000000e+00,1.54539460730473e-03
8.50700000000000e-08,4.19999999999920e-01,0.00000000000000e+00,2.76217242669802e-03
8.51000000000000e-08,5.99999999999966e-01,0.00000000000000e+00,2.65031562855332e-03
8.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.31697175296160e-03
8.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.68048085413973e-03
8.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.83358991262761e-04
8.52200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-3.75336257365008e-04
8.53480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-9.60412654059842e-04
8.56040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-9.79168742086270e-04
8.61159999999999e-08,6.00000000000000e-01,0.00000000000000e+00,-1.84616826775966e-04
8.71399999999999e-08,6.00000000000000e-01,0.00000000000000e+00,4.85615735243680e-04
8.91879999999998e-08,6.00000000000000e-01,0.00000000000000e+00,-2.40375624053157e-04
9.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,3.35141656226980e-05
9.00100000000000e-08,6.00000000000000e-01,5.99999999999886e-02,4.97787729098892e-05
9.00300000000000e-08,6.00000000000000e-01,1.79999999999966e-01,7.84026518114989e-05
9.00700000000000e-08,6.00000000000000e-01,4.19999999999920e-01,1.06353376942786e-04
9.01000000000000e-08,6.00000000000000e-01,5.99999999999966e-01,7.89781775555332e-05
9.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.18178505873840e-05
9.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.39529822022955e-05
9.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.00430452038403e-06
9.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.35447878598433e-05
9.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.06015799543752e-05
9.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.85441324258603e-05
9.11159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,1.14178956629532e-05
9.20688117920241e-08,6.00000000000000e-01,6.00000000000000e-01,2.14958415935274e-07
9.39744353760724e-08,6.00000000000000e-01,6.00000000000000e-01,8.66504756273298e-06
9.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.73167781914097e-06
9.51100000000000e-08,5.40000000000061e-01,6.00000000000000e-01,-1.54870793071221e-04
9.51300000000000e-08,4.20000000000084e-01,6.00000000000000e-01,-6.01462486942372e-04
9.51700000000000e-08,1.80000000000129e-01,6.00000000000000e-01,-1.84243219553802e-03
