Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.02428800000000e-07,1.90417381026860e-10,2.83544439748224e-10
5.32428800000000e-07,1.90325985642676e-10,2.83661868854546e-10
5.62428800000000e-07,1.90450106780760e-10,2.83779279555922e-10
5.92428800000000e-07,1.90574203298849e-10,2.83533148574147e-10
6.22428800000000e-07,1.90698275199353e-10,2.83286936727799e-10
6.52428800000000e-07,1.90628416899802e-10,2.83421882265421e-10
6.82428800000000e-07,1.90558547746546e-10,2.83556803515253e-10
7.12428800000000e-07,1.90488667738622e-10,2.83691700477425e-10
7.42428800000000e-07,1.90418776875049e-10,2.83826573152107e-10
7.72428800000001e-07,1.90348875154878e-10,2.83543834110957e-10
8.02428800000001e-07,1.90278962577133e-10,2.83260988358673e-10
8.32428800000001e-07,1.90551589062351e-10,2.83416012305991e-10
8.62428800000001e-07,1.90824101391136e-10,2.83571004202260e-10
8.92428800000001e-07,1.90562851263052e-10,2.83725964047717e-10
9.22428800000001e-07,1.90301608332084e-10,2.83612134553970e-10
9.52428800000001e-07,1.90314418620562e-10,2.83498287766972e-10
9.82428800000001e-07,1.90327226240905e-10,2.83384423686638e-10
1.01242880000000e-06,1.90427718689204e-10,2.83270542312875e-10
1.04242880000000e-06,1.90528228019163e-10,2.83509217074651e-10
1.07242880000000e-06,1.90628754232761e-10,2.83747815857170e-10
1.10242880000000e-06,1.90443204902862e-10,2.83617062837390e-10
1.13242880000000e-06,1.90257652713237e-10,2.83486286996799e-10
1.16242880000000e-06,1.90072097666459e-10,2.83355488335278e-10
1.19242880000000e-06,1.90407863219766e-10,2.83224666852681e-10
1.22242880000000e-06,1.90512857049033e-10,2.83498848761389e-10
1.25242880000000e-06,1.90617852220965e-10,2.83496693830476e-10
1.28242880000000e-06,1.90722848735126e-10,2.83494538893220e-10
1.31242880000000e-06,1.90548180490139e-10,2.83492383949613e-10
1.34242880000000e-06,1.90373508654466e-10,2.83490228999666e-10
1.37242880000000e-06,1.90198833230235e-10,2.83488074043371e-10
1.40242880000000e-06,1.90370558756579e-10,2.83485919080735e-10
1.43242880000000e-06,1.90542271263031e-10,2.83483764111745e-10
1.46242880000000e-06,1.90713970748095e-10,2.83481609136420e-10
1.49242880000000e-06,1.90553698876915e-10,2.83479454154743e-10
1.52242880000000e-06,1.90393427784303e-10,2.83477299166725e-10
1.55242880000000e-06,1.90483461316223e-10,2.83475144172357e-10
1.58242880000000e-06,1.90573496327255e-10,2.83472989171648e-10
1.61242880000000e-06,1.90663532817140e-10,2.83470834164591e-10
1.64242880000000e-06,1.90469040113782e-10,2.83468679151194e-10
1.67242880000000e-06,1.90274531672704e-10,2.83466524131450e-10
1.70242880000000e-06,1.90385173710892e-10,2.83464369105362e-10
1.73242880000000e-06,1.90495814893742e-10,2.83462214072923e-10
1.76242880000000e-06,1.90606455220716e-10,2.83460059034144e-10
1.79242880000000e-06,1.90717094691272e-10,2.83457903989015e-10
1.82242880000000e-06,1.90526470634273e-10,2.83455748937544e-10
1.85242880000000e-06,1.90335837086087e-10,2.83453593879725e-10
1.88242880000000e-06,1.90443121749648e-10,2.83451438815564e-10
1.91242880000000e-06,1.90550406508927e-10,2.83449283745055e-10
1.94242880000000e-06,1.90657691363428e-10,2.83447128668202e-10
1.97242880000000e-06,1.90764976312668e-10,2.83444973585003e-10
2.00000000000000e-06,1.90540564998134e-10,2.83442992971751e-10
