Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.13302150909675e-03,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,-1.04875256446067e-03,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,-8.00112264004470e-04,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,-3.37573631638381e-04,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-2.07819945148478e-04,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.79211116252555e-04,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.31479536250229e-04,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.73531966411886e-05,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.60045538025316e-05,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.70367711435937e-06,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.10120476711040e-06,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.60516962886331e-06,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.19027231601349e-06,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.20122854790541e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.02683199994249e-06,0.00000000000000e+00
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,1.70428770618423e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,3.43004973204490e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,2.38713537421886e-04,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.48603269543267e-04,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.24390859582831e-04,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.97184491545286e-05,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.14111846090615e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.87134281837304e-05,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.44201405346502e-04,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.94587347163609e-06,6.00000000000000e-01
1.61250898521035e-08,0.00000000000000e+00,6.00000000000000e-01,-1.66371131578458e-04,6.00000000000000e-01
1.68145654415936e-08,0.00000000000000e+00,6.00000000000000e-01,1.83400014819719e-04,6.00000000000000e-01
1.81925831779278e-08,0.00000000000000e+00,6.00000000000000e-01,-1.06939236542097e-04,6.00000000000000e-01
1.95446651858619e-08,0.00000000000000e+00,6.00000000000000e-01,5.47328869005990e-05,6.00000000000000e-01
2.22488292017302e-08,0.00000000000000e+00,6.00000000000000e-01,-2.93820361335784e-05,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.38599252003284e-05,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.35498334910042e-04,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,3.25872162761295e-04,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.77873847801569e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.18123658095547e-04,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.10815156559529e-04,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.83739360311847e-04,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.03556214585535e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.70860929469435e-03,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.05608036097824e-02,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.75851794018900e-01,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.25359620698716e-01,6.00000000000000e-01
2.67368471969072e-08,6.00000000000000e-01,6.00000000000000e-01,5.79067747641435e-01,6.00000000000000e-01
2.79785415907216e-08,6.00000000000000e-01,6.00000000000000e-01,6.19952617639600e-01,6.00000000000000e-01
2.95697976852354e-08,6.00000000000000e-01,6.00000000000000e-01,5.80703904643170e-01,6.00000000000000e-01
3.23827898277886e-08,6.00000000000000e-01,6.00000000000000e-01,6.18471181998889e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.81600082656041e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.87835394106790e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.96056916940572e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00486898804796e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01858810791196e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02268991041583e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02792681131242e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02506561230692e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.94807818295220e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.77809738687542e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.92433061026172e-01,6.00000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.03603018889042e-01,6.00000000000000e-01
3.68802735419558e-08,0.00000000000000e+00,6.00000000000000e-01,5.96400769491441e-01,6.00000000000000e-01
3.82088206258673e-08,0.00000000000000e+00,6.00000000000000e-01,6.02606307593639e-01,6.00000000000000e-01
4.08659147936903e-08,0.00000000000000e+00,6.00000000000000e-01,5.97215937689611e-01,6.00000000000000e-01
4.46659147936903e-08,0.00000000000000e+00,6.00000000000000e-01,6.02436781436263e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.98335004631679e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.98581032696381e-01,5.40000000000011e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.98960567968699e-01,4.19999999999994e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,6.00597589098823e-01,1.80000000000000e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.04839600456817e-01,0.00000000000000e+00
4.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06350729288388e-01,0.00000000000000e+00
4.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.08957480658226e-01,0.00000000000000e+00
4.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.13292042937843e-01,0.00000000000000e+00
4.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.23354346727831e-01,0.00000000000000e+00
4.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.70754059368719e-01,0.00000000000000e+00
4.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.36648294009859e-02,0.00000000000000e+00
4.59666236273853e-08,6.00000000000000e-01,6.00000000000000e-01,-1.67363714314040e-02,0.00000000000000e+00
4.66400106002079e-08,6.00000000000000e-01,6.00000000000000e-01,1.29184836021072e-02,0.00000000000000e+00
4.74367137945490e-08,6.00000000000000e-01,6.00000000000000e-01,-9.73326576383878e-03,0.00000000000000e+00
4.90301201832310e-08,6.00000000000000e-01,6.00000000000000e-01,8.92229605141672e-03,0.00000000000000e+00
5.01000000000000e-08,6.00000000000000e-01,5.99999999999966e-01,-7.29327169983354e-03,0.00000000000000e+00
5.04186812777364e-08,6.00000000000000e-01,6.00000000000000e-01,-8.60500337691099e-04,0.00000000000000e+00
5.10560438332092e-08,6.00000000000000e-01,6.00000000000000e-01,6.15439215146438e-04,0.00000000000000e+00
5.23307689441548e-08,6.00000000000000e-01,6.00000000000000e-01,-5.16090350074321e-04,0.00000000000000e+00
5.48802191660461e-08,6.00000000000000e-01,6.00000000000000e-01,4.78486846576984e-04,0.00000000000000e+00
5.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.72249957135339e-04,0.00000000000000e+00
5.51100000000000e-08,5.40000000000021e-01,6.00000000000000e-01,3.79441350034440e-05,5.99999999999787e-02
5.51300000000000e-08,4.20000000000004e-01,6.00000000000000e-01,2.64291846090080e-04,1.79999999999996e-01
5.51700000000000e-08,1.80000000000010e-01,6.00000000000000e-01,1.98183459684059e-04,4.19999999999990e-01
5.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.21837753228930e-04,6.00000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.95180238319085e-05,6.00000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.82920985699415e-05,6.00000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.70904333656386e-05,6.00000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.14642933751247e-04,6.00000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.70655091813690e-04,6.00000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.05044307705325e-04,6.00000000000000e-01
5.60821733696146e-08,0.00000000000000e+00,6.00000000000000e-01,-3.29551596884563e-05,6.00000000000000e-01
5.67929115827441e-08,0.00000000000000e+00,6.00000000000000e-01,-2.16448598867238e-05,6.00000000000000e-01
5.80007793621186e-08,0.00000000000000e+00,6.00000000000000e-01,6.66498095412606e-05,6.00000000000000e-01
5.93451295271574e-08,0.00000000000000e+00,6.00000000000000e-01,-8.89541080343493e-05,6.00000000000000e-01
6.20338298572350e-08,0.00000000000000e+00,6.00000000000000e-01,1.00808387346168e-04,6.00000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.04519067607095e-04,6.00000000000000e-01
6.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.27215017024321e-05,6.00000000000000e-01
6.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,2.67185538175084e-04,6.00000000000000e-01
6.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,4.42308852074400e-04,6.00000000000000e-01
6.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,1.08031606586734e-04,6.00000000000000e-01
6.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.14716945096990e-04,6.00000000000000e-01
6.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-9.86011665857295e-04,6.00000000000000e-01
6.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.68387955888776e-03,6.00000000000000e-01
6.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.97097008852887e-03,6.00000000000000e-01
6.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.62514401664994e-02,6.00000000000000e-01
6.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.94260339498486e-01,6.00000000000000e-01
6.61159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,6.26261567241206e-01,6.00000000000000e-01
6.67262090947158e-08,6.00000000000000e-01,6.00000000000000e-01,5.77866793432140e-01,6.00000000000000e-01
6.79466272841475e-08,6.00000000000000e-01,6.00000000000000e-01,6.20785045727591e-01,6.00000000000000e-01
6.95561723738880e-08,6.00000000000000e-01,6.00000000000000e-01,5.79697470868078e-01,6.00000000000000e-01
7.24487258795614e-08,6.00000000000000e-01,6.00000000000000e-01,6.19274970008242e-01,6.00000000000000e-01
7.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.80671338833762e-01,6.00000000000000e-01
7.51100000000000e-08,5.40000000000061e-01,6.00000000000000e-01,5.87192493385031e-01,6.00000000000000e-01
7.51300000000000e-08,4.20000000000084e-01,6.00000000000000e-01,5.95811054333236e-01,6.00000000000000e-01
7.51700000000000e-08,1.80000000000129e-01,6.00000000000000e-01,6.00470021839139e-01,6.00000000000000e-01
7.52000000000000e-08,8.40438829641244e-14,6.00000000000000e-01,6.01848195561236e-01,6.00000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02259371943525e-01,6.00000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02784998833572e-01,6.00000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02505318129163e-01,6.00000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.94828799958044e-01,6.00000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.77819943909232e-01,6.00000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.92419007853662e-01,6.00000000000000e-01
7.62159999999999e-08,0.00000000000000e+00,6.00000000000000e-01,6.03606393648513e-01,6.00000000000000e-01
7.68802842774057e-08,0.00000000000000e+00,6.00000000000000e-01,5.96398453080505e-01,6.00000000000000e-01
7.82088528322172e-08,0.00000000000000e+00,6.00000000000000e-01,6.02607483466936e-01,6.00000000000000e-01
8.08659899418403e-08,0.00000000000000e+00,6.00000000000000e-01,5.97214522211947e-01,6.00000000000000e-01
8.46659899418403e-08,0.00000000000000e+00,6.00000000000000e-01,6.02437463323812e-01,6.00000000000000e-01
8.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.98335494852144e-01,6.00000000000000e-01
8.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.98582574941033e-01,5.40000000000011e-01
8.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,5.98960746138348e-01,4.20000000000034e-01
8.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,6.00597188859473e-01,1.80000000000080e-01
8.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,6.04839228362164e-01,3.44169137633799e-14
8.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06350384590202e-01,0.00000000000000e+00
8.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.08957259972589e-01,0.00000000000000e+00
