Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.30377712383872e-04
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.36024087240741e-04
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.45270705738568e-04
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.36560490681892e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,9.27270204238717e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.15799705340442e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.98092375717418e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.23011345418445e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.79225320581101e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.24088299990155e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.76439721819114e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.15194952356210e-05
1.20427237495490e-08,6.00000000000000e-01,6.00000000000000e-01,2.21130341513075e-05
1.38961712486471e-08,6.00000000000000e-01,6.00000000000000e-01,2.42053473716915e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.16584293152439e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-1.56006561963934e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-6.51772144376367e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.76276294268564e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.11471076890164e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.80993910281577e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.22220195076779e-03
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.66712438923511e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.80654444482498e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.19685381484159e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.90093977037860e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.17795258527075e-04
1.72400000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.98758296692227e-04
1.90347012128858e-08,0.00000000000000e+00,6.00000000000000e-01,2.40984311418255e-05
2.11473304088657e-08,0.00000000000000e+00,6.00000000000000e-01,1.44079630059055e-04
2.49473304088657e-08,0.00000000000000e+00,6.00000000000000e-01,-7.70906263588460e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.66921826225730e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.25519409683120e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,1.36510037374755e-03
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,2.76864005418963e-03
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.90853135254068e-03
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.55783339616016e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.81351309395134e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.28479261537778e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.39276049348443e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.17760701014962e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.83522510198373e-03
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.54967809251593e-01
