Time,v(clk),v(data),v(out)
1.00290021598027e-07,0.00000000000000e+00,6.00000000000000e-01,-1.72462975370359e-04
1.00890021598027e-07,0.00000000000000e+00,6.00000000000000e-01,1.64923296633385e-04
1.01490021598027e-07,0.00000000000000e+00,6.00000000000000e-01,-9.32288425830215e-05
1.02090021598027e-07,0.00000000000000e+00,6.00000000000000e-01,1.04579626492105e-04
1.02690021598027e-07,0.00000000000000e+00,6.00000000000000e-01,-4.83644885104391e-05
1.03290021598027e-07,0.00000000000000e+00,6.00000000000000e-01,7.16009381832201e-05
1.03890021598027e-07,0.00000000000000e+00,6.00000000000000e-01,-2.43286246974818e-05
1.04490021598027e-07,0.00000000000000e+00,6.00000000000000e-01,5.40549290924605e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.07280025110137e-05
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.23066165214311e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,8.43863418062973e-04
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.39882088707746e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,9.75302880594317e-04
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,4.76853683979220e-04
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.85018118483202e-04
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-2.53500342253653e-03
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-4.84811880697984e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,2.83233035175726e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,2.71654622008082e-01
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.06391553688996e-01
1.06663886368823e-07,6.00000000000000e-01,6.00000000000000e-01,5.92997646211314e-01
1.07263886368824e-07,6.00000000000000e-01,6.00000000000000e-01,6.06611110351198e-01
1.07863886368824e-07,6.00000000000000e-01,6.00000000000000e-01,5.94127941165716e-01
1.08463886368824e-07,6.00000000000000e-01,6.00000000000000e-01,6.04955147482330e-01
1.09063886368824e-07,6.00000000000000e-01,6.00000000000000e-01,5.95657909187400e-01
1.09663886368824e-07,6.00000000000000e-01,6.00000000000000e-01,6.03593643780952e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.97033109391522e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,5.97866257405105e-01
1.10130000000000e-07,6.00000000000000e-01,4.20000000000114e-01,5.99025198954533e-01
1.10170000000000e-07,6.00000000000000e-01,1.80000000000159e-01,5.99815022422090e-01
1.10200000000000e-07,6.00000000000000e-01,1.13686837721616e-13,5.99961533293648e-01
1.10208000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99983048729782e-01
1.10224000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00006510534008e-01
1.10256000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99996565834560e-01
1.10320000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99926476606953e-01
1.10448000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99888469274264e-01
1.10704000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00018882409156e-01
1.11060844452172e-07,6.00000000000000e-01,0.00000000000000e+00,5.99940903886698e-01
