Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,1.42958027218032e-05
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,1.40209383970788e-05
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,1.23095793020112e-05
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,9.15613624815487e-06
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,1.02661382246280e-05
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.10895706038339e-05
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.05243380673914e-05
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.34727646815755e-05
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.46492100751086e-05
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.45857516598569e-05
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.27724752393837e-05
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.33104000629315e-05
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.25657201765069e-05
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.24329152372533e-05
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.21182317157752e-05
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,-5.46601146625691e-05
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,-1.36822861288521e-04
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,4.10977096846968e-05
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.04140744692552e-04
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.50594543131674e-04
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.72783296375742e-04
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.47018979194724e-04
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-4.04933422338889e-04
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.40308295271462e-04
1.56681269423874e-08,0.00000000000000e+00,8.50000000000000e-01,1.47389158746493e-04
1.59194210835137e-08,0.00000000000000e+00,8.50000000000000e-01,2.20977235951998e-04
1.64220093657663e-08,0.00000000000000e+00,8.50000000000000e-01,-2.53894635596177e-04
1.69166973077391e-08,0.00000000000000e+00,8.50000000000000e-01,2.87939152010842e-04
1.79060731916845e-08,0.00000000000000e+00,8.50000000000000e-01,-2.60744830434850e-04
1.94301906310177e-08,0.00000000000000e+00,8.50000000000000e-01,2.78140585814554e-04
2.18140160527053e-08,0.00000000000000e+00,8.50000000000000e-01,-2.52389737224584e-04
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.71054939963912e-04
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,3.09665087728166e-04
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,3.32991294679404e-04
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,-2.11531690655173e-04
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-2.78305169934313e-03
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.85083065770554e-03
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-5.51769975352091e-03
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.16502989118192e-03
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.28878240944019e-01
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.20211381254995e-01
2.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.79810939125244e-01
2.58647284714896e-08,8.50000000000000e-01,8.50000000000000e-01,8.22836508222857e-01
2.63770266311155e-08,8.50000000000000e-01,8.50000000000000e-01,8.73892704015186e-01
2.70563897332134e-08,8.50000000000000e-01,8.50000000000000e-01,8.26345096091884e-01
2.84151159374092e-08,8.50000000000000e-01,8.50000000000000e-01,8.71998266857904e-01
3.01000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.27601988350169e-01
3.01100000000000e-08,8.50000000000000e-01,7.65000000000044e-01,8.38784761727868e-01
3.01300000000000e-08,8.50000000000000e-01,5.95000000000020e-01,8.49953519568619e-01
3.01700000000000e-08,8.50000000000000e-01,2.55000000000028e-01,8.50000579299870e-01
3.02000000000000e-08,8.50000000000000e-01,2.05391259555654e-14,8.49974108044178e-01
3.02080000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49971044269132e-01
3.02240000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49958774013273e-01
3.02560000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49946190437488e-01
3.03200000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49972448725321e-01
3.04432476227249e-08,8.50000000000000e-01,0.00000000000000e+00,8.49979951235503e-01
3.06637662320200e-08,8.50000000000000e-01,0.00000000000000e+00,8.49952018225540e-01
3.09162072568522e-08,8.50000000000000e-01,0.00000000000000e+00,8.49981533514360e-01
3.14210893065166e-08,8.50000000000000e-01,0.00000000000000e+00,8.49959071795331e-01
3.24308534058454e-08,8.50000000000000e-01,0.00000000000000e+00,8.49985066745334e-01
3.44503816045029e-08,8.50000000000000e-01,0.00000000000000e+00,8.49967409103258e-01
3.51000000000000e-08,8.49999999999958e-01,0.00000000000000e+00,8.49989433846320e-01
3.51100000000000e-08,7.64999999999974e-01,0.00000000000000e+00,8.49923146686670e-01
3.51300000000000e-08,5.94999999999950e-01,0.00000000000000e+00,8.49905303565530e-01
3.51700000000000e-08,2.54999999999958e-01,0.00000000000000e+00,8.51333379535867e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.52779488436240e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.51956465227622e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.47347545946541e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.29649768763420e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.19907465204822e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.47981028081955e-01
3.56118029669419e-08,0.00000000000000e+00,0.00000000000000e+00,8.49409925613919e-01
3.59342120453573e-08,0.00000000000000e+00,0.00000000000000e+00,8.49402642268457e-01
3.62597327343327e-08,0.00000000000000e+00,0.00000000000000e+00,8.49684501485242e-01
3.69107741122837e-08,0.00000000000000e+00,0.00000000000000e+00,8.49727312959164e-01
3.82128568681856e-08,0.00000000000000e+00,0.00000000000000e+00,8.49823668255292e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.49835745766261e-01
