Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,2.35486276306818e-05,0.00000000000000e+00
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,9.84076023870240e-07,0.00000000000000e+00
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,3.09925361408059e-06,0.00000000000000e+00
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,1.25453762169145e-05,0.00000000000000e+00
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,-8.05874963177855e-07,0.00000000000000e+00
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.35561910889165e-06,0.00000000000000e+00
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.30575714392700e-06,0.00000000000000e+00
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.32033801629461e-06,0.00000000000000e+00
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.60463316957560e-06,0.00000000000000e+00
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.25663349035202e-06,0.00000000000000e+00
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.46587005274870e-06,0.00000000000000e+00
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.08944787659531e-06,0.00000000000000e+00
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.35319587063793e-06,0.00000000000000e+00
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.91774394792041e-07,0.00000000000000e+00
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.06483471852821e-06,0.00000000000000e+00
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,1.81769942732009e-04,8.50000000000120e-02
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,2.98593775937626e-04,2.55000000000008e-01
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,1.62660065667043e-04,5.95000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,1.00816731298546e-04,8.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,6.42686982542939e-05,8.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,6.45380939438833e-06,8.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.40277798903174e-04,8.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.30483232362591e-04,8.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-8.87569383755914e-05,8.50000000000000e-01
1.57028354440397e-08,0.00000000000000e+00,8.50000000000000e-01,-2.82777254713948e-04,8.50000000000000e-01
1.60434932855486e-08,0.00000000000000e+00,8.50000000000000e-01,3.26993549675442e-04,8.50000000000000e-01
1.66438700351892e-08,0.00000000000000e+00,8.50000000000000e-01,-1.44482072137287e-04,8.50000000000000e-01
1.73270996044630e-08,0.00000000000000e+00,8.50000000000000e-01,4.48301815288111e-05,8.50000000000000e-01
1.86748267942417e-08,0.00000000000000e+00,8.50000000000000e-01,-5.36929852980707e-06,8.50000000000000e-01
2.13702811737991e-08,0.00000000000000e+00,8.50000000000000e-01,-8.82630010741762e-06,8.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.11167868368731e-05,8.50000000000000e-01
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,9.76392283674604e-05,8.50000000000000e-01
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,2.02339129588759e-04,8.50000000000000e-01
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,-3.77482900602744e-04,8.50000000000000e-01
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.56808270257059e-03,8.50000000000000e-01
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.77716201118776e-03,8.50000000000000e-01
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.58303988257637e-03,8.50000000000000e-01
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.21064551027245e-03,8.50000000000000e-01
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.31474430575830e-01,8.50000000000000e-01
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,6.57797402584735e-01,8.50000000000000e-01
2.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.84018740855902e-01,8.50000000000000e-01
2.58985685625220e-08,8.50000000000000e-01,8.50000000000000e-01,8.21466006801489e-01,8.50000000000000e-01
2.64263756291968e-08,8.50000000000000e-01,8.50000000000000e-01,8.73540742168181e-01,8.50000000000000e-01
2.71121092483530e-08,8.50000000000000e-01,8.50000000000000e-01,8.27697490072765e-01,8.50000000000000e-01
2.84835764866656e-08,8.50000000000000e-01,8.50000000000000e-01,8.70240337627323e-01,8.50000000000000e-01
3.11370091972404e-08,8.50000000000000e-01,8.50000000000000e-01,8.29447347083902e-01,8.50000000000000e-01
3.49370091972404e-08,8.50000000000000e-01,8.50000000000000e-01,8.69385747897035e-01,8.50000000000000e-01
3.51000000000000e-08,8.49999999999958e-01,8.50000000000000e-01,8.37026884441047e-01,8.50000000000000e-01
3.51100000000000e-08,7.64999999999974e-01,8.50000000000000e-01,8.41577997076818e-01,8.50000000000000e-01
3.51300000000000e-08,5.94999999999950e-01,8.50000000000000e-01,8.47422522140356e-01,8.50000000000000e-01
3.51700000000000e-08,2.54999999999958e-01,8.50000000000000e-01,8.50994482537620e-01,8.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.52868388845148e-01,8.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.53212970207792e-01,8.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.52899244342502e-01,8.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.45452360730500e-01,8.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.20593363011706e-01,8.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.19042643385201e-01,8.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.53459766421944e-01,8.50000000000000e-01
3.61278310021584e-08,0.00000000000000e+00,8.50000000000000e-01,8.46006342103755e-01,8.50000000000000e-01
3.66808362164930e-08,0.00000000000000e+00,8.50000000000000e-01,8.52462910980152e-01,8.50000000000000e-01
3.77868466451623e-08,0.00000000000000e+00,8.50000000000000e-01,8.47135787427402e-01,8.50000000000000e-01
3.99988675025010e-08,0.00000000000000e+00,8.50000000000000e-01,8.52260658982809e-01,8.50000000000000e-01
4.37988675025010e-08,0.00000000000000e+00,8.50000000000000e-01,8.47418764624792e-01,8.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.51994923028707e-01,8.50000000000000e-01
4.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,8.51317975208122e-01,7.65000000000016e-01
4.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,8.50352517791304e-01,5.94999999999992e-01
4.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,8.52399000546281e-01,2.55000000000000e-01
4.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.58278234160988e-01,0.00000000000000e+00
4.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.60209155253627e-01,0.00000000000000e+00
4.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.63686313766690e-01,0.00000000000000e+00
4.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.69234173169552e-01,0.00000000000000e+00
4.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.06727459312978e-01,0.00000000000000e+00
4.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,9.96686621910231e-02,0.00000000000000e+00
4.55576070475925e-08,8.50000000000000e-01,8.50000000000000e-01,-4.99144590966307e-02,0.00000000000000e+00
4.58352922510266e-08,8.50000000000000e-01,8.50000000000000e-01,3.66961566432131e-02,0.00000000000000e+00
4.62470071027709e-08,8.50000000000000e-01,8.50000000000000e-01,-2.74585272677996e-02,0.00000000000000e+00
4.68230990224122e-08,8.50000000000000e-01,8.50000000000000e-01,2.39792148317379e-02,0.00000000000000e+00
4.79752828616948e-08,8.50000000000000e-01,8.50000000000000e-01,-2.13928326183884e-02,0.00000000000000e+00
4.99804372349674e-08,8.50000000000000e-01,8.50000000000000e-01,2.09602071496133e-02,0.00000000000000e+00
5.01000000000000e-08,8.50000000000000e-01,8.49999999999951e-01,-8.94482904998554e-03,0.00000000000000e+00
5.03391255300653e-08,8.50000000000000e-01,8.50000000000000e-01,-7.25470500711345e-04,0.00000000000000e+00
5.08173765901958e-08,8.50000000000000e-01,8.50000000000000e-01,5.94359982095664e-04,0.00000000000000e+00
5.17738787104568e-08,8.50000000000000e-01,8.50000000000000e-01,-5.35956434019592e-04,0.00000000000000e+00
5.36868829509789e-08,8.50000000000000e-01,8.50000000000000e-01,5.10967955221911e-04,0.00000000000000e+00
5.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.75370764502860e-04,0.00000000000000e+00
5.51100000000000e-08,7.65000000000030e-01,8.50000000000000e-01,-1.47722676991695e-04,8.49999999999698e-02
5.51300000000000e-08,5.95000000000006e-01,8.50000000000000e-01,1.64531839087871e-04,2.54999999999994e-01
5.51700000000000e-08,2.55000000000014e-01,8.50000000000000e-01,1.41820471525882e-04,5.94999999999986e-01
5.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,9.00134973050096e-05,8.50000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,4.71514570173637e-05,8.50000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-3.52025476770823e-05,8.50000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-3.85902428670981e-04,8.50000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.04414739806035e-03,8.50000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.63209609128318e-06,8.50000000000000e-01
5.56690436884055e-08,0.00000000000000e+00,8.50000000000000e-01,2.35537567748467e-09,8.50000000000000e-01
5.60218277219919e-08,0.00000000000000e+00,8.50000000000000e-01,-9.81420860137645e-05,8.50000000000000e-01
5.65535624237660e-08,0.00000000000000e+00,8.50000000000000e-01,1.77931988633860e-04,8.50000000000000e-01
5.72348935208013e-08,0.00000000000000e+00,8.50000000000000e-01,-2.07346508675178e-04,8.50000000000000e-01
5.85975557148717e-08,0.00000000000000e+00,8.50000000000000e-01,2.18238225235709e-04,8.50000000000000e-01
6.13228801030127e-08,0.00000000000000e+00,8.50000000000000e-01,-2.20353038411409e-04,8.50000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.23848819648891e-04,8.50000000000000e-01
6.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,2.23280744908752e-04,8.50000000000000e-01
6.50300000000000e-08,2.54999999999952e-01,8.50000000000000e-01,2.51753447936362e-04,8.50000000000000e-01
6.50700000000000e-08,5.94999999999887e-01,8.50000000000000e-01,-5.74214219182939e-04,8.50000000000000e-01
6.51000000000000e-08,8.49999999999951e-01,8.50000000000000e-01,-3.85176268713182e-03,8.50000000000000e-01
6.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.99989783943133e-03,8.50000000000000e-01
6.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.63356466226633e-03,8.50000000000000e-01
6.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.40831775523209e-04,8.50000000000000e-01
6.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.40521690402574e-01,8.50000000000000e-01
6.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,6.67204004326742e-01,8.50000000000000e-01
6.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.83226115222609e-01,8.50000000000000e-01
6.58991219756921e-08,8.50000000000000e-01,8.50000000000000e-01,8.22114926548918e-01,8.50000000000000e-01
6.64264340513728e-08,8.50000000000000e-01,8.50000000000000e-01,8.72954674447283e-01,8.50000000000000e-01
6.71080591603540e-08,8.50000000000000e-01,8.50000000000000e-01,8.28265268619800e-01,8.50000000000000e-01
6.84713093783163e-08,8.50000000000000e-01,8.50000000000000e-01,8.69700945864275e-01,8.50000000000000e-01
7.11346794301663e-08,8.50000000000000e-01,8.50000000000000e-01,8.29983741828160e-01,8.50000000000000e-01
7.49346794301663e-08,8.50000000000000e-01,8.50000000000000e-01,8.68866371564483e-01,8.50000000000000e-01
7.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.37311377297249e-01,8.50000000000000e-01
7.51100000000000e-08,7.65000000000086e-01,8.50000000000000e-01,8.41756010988992e-01,8.50000000000000e-01
7.51300000000000e-08,5.95000000000119e-01,8.50000000000000e-01,8.47465424275818e-01,8.50000000000000e-01
7.51700000000000e-08,2.55000000000183e-01,8.50000000000000e-01,8.50991034326831e-01,8.50000000000000e-01
7.52000000000000e-08,1.19015908239817e-13,8.50000000000000e-01,8.52870203392547e-01,8.50000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.53218628317914e-01,8.50000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.52918649868707e-01,8.50000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.45515295671300e-01,8.50000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.20662209482678e-01,8.50000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.19026593814477e-01,8.50000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.53466142963306e-01,8.50000000000000e-01
7.61279229384847e-08,0.00000000000000e+00,8.50000000000000e-01,8.46001916692494e-01,8.50000000000000e-01
7.66808710718081e-08,0.00000000000000e+00,8.50000000000000e-01,8.52467047478070e-01,8.50000000000000e-01
7.77867673384551e-08,0.00000000000000e+00,8.50000000000000e-01,8.47132185000386e-01,8.50000000000000e-01
7.99985598717489e-08,0.00000000000000e+00,8.50000000000000e-01,8.52264146328180e-01,8.50000000000000e-01
8.37985598717489e-08,0.00000000000000e+00,8.50000000000000e-01,8.47415376506334e-01,8.50000000000000e-01
8.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.51998106971218e-01,8.50000000000000e-01
8.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,8.51320334668866e-01,7.65000000000016e-01
8.50300000000000e-08,2.54999999999952e-01,8.50000000000000e-01,8.50353565939771e-01,5.95000000000048e-01
8.50700000000000e-08,5.94999999999887e-01,8.50000000000000e-01,8.52398995897135e-01,2.55000000000113e-01
8.51000000000000e-08,8.49999999999951e-01,8.50000000000000e-01,8.58277941129824e-01,4.87387907810444e-14
8.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.60208821040432e-01,0.00000000000000e+00
8.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.63685944158367e-01,0.00000000000000e+00
8.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.69234150314238e-01,0.00000000000000e+00
8.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.06733405559178e-01,0.00000000000000e+00
