Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,2.00942357500332e-05
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,1.63891110521869e-05
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,1.18422247013528e-05
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,8.26525621036578e-06
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,6.69464716476775e-06
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.14376504658276e-06
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.91434227259791e-06
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.10164501912063e-05
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,9.97661416039103e-06
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.90631094628558e-06
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.70787060287020e-06
1.10533525858042e-08,8.50000000000000e-01,8.50000000000000e-01,8.76529223082720e-06
1.19520577574127e-08,8.50000000000000e-01,8.50000000000000e-01,7.51921785729220e-06
1.37494681006295e-08,8.50000000000000e-01,8.50000000000000e-01,8.10520144819884e-06
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.01086589929151e-06
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,-6.16581386806286e-05
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,-1.59045378511830e-04
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,2.73763221739221e-05
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.96064245125977e-04
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,5.02059481924014e-04
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,5.54657904044631e-04
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,1.72544778222206e-04
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-4.26325460473991e-04
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-7.75437137907065e-05
1.56535778324015e-08,0.00000000000000e+00,8.50000000000000e-01,-2.97925166995928e-04
1.59754897906405e-08,0.00000000000000e+00,8.50000000000000e-01,3.05169674440029e-04
1.64811741664477e-08,0.00000000000000e+00,8.50000000000000e-01,-6.82790922842680e-05
1.71021927269283e-08,0.00000000000000e+00,8.50000000000000e-01,-2.90260836537989e-05
1.83109864041932e-08,0.00000000000000e+00,8.50000000000000e-01,7.57966638826497e-05
2.07285737587231e-08,0.00000000000000e+00,8.50000000000000e-01,-7.85224231847422e-05
2.45285737587231e-08,0.00000000000000e+00,8.50000000000000e-01,9.77230632422054e-05
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.26161416618815e-04
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,5.43760469822185e-05
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,3.02452339414019e-04
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,5.27567352489940e-04
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.02830898315379e-04
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.60553575070361e-04
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.92501946623679e-03
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.44941372701085e-03
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-2.63918130850809e-03
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.52074358845033e-01
2.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.35782025022903e-01
