Time,v(clk),v(data),v(out)
1.00369388271215e-07,0.00000000000000e+00,6.00000000000000e-01,2.44936604870266e-05
1.00969388271215e-07,0.00000000000000e+00,6.00000000000000e-01,6.57960363820015e-05
1.01569388271215e-07,0.00000000000000e+00,6.00000000000000e-01,2.98407222441704e-05
1.02169388271215e-07,0.00000000000000e+00,6.00000000000000e-01,6.24076873337945e-05
1.02769388271215e-07,0.00000000000000e+00,6.00000000000000e-01,3.20199158562184e-05
1.03369388271215e-07,0.00000000000000e+00,6.00000000000000e-01,6.07698489266326e-05
1.03969388271215e-07,0.00000000000000e+00,6.00000000000000e-01,3.34130669607871e-05
1.04569388271215e-07,0.00000000000000e+00,6.00000000000000e-01,5.94785719670379e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,3.48823627677255e-05
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.81811472825830e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,9.76788157840816e-04
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.86922269809989e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,2.09082145741708e-03
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.90776609312905e-03
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.54583172170621e-03
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,7.35928201954728e-04
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-1.01416339776501e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-3.67724836404229e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-8.99280069216163e-04
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,2.87192033777855e-01
1.06716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.95227612320918e-01
1.07316000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.97335420685317e-01
1.07916000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.00637632601368e-01
1.08516000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.99225537423407e-01
1.09116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.00611027704314e-01
1.09716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.99414160328700e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.00429512476034e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,6.00269016919083e-01
1.10130000000000e-07,6.00000000000000e-01,4.20000000000114e-01,6.00072712636777e-01
1.10170000000000e-07,6.00000000000000e-01,1.80000000000159e-01,5.99988014798065e-01
1.10200000000000e-07,6.00000000000000e-01,1.13686837721616e-13,6.00040787959831e-01
1.10208000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00047441067105e-01
1.10224000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00042297972763e-01
1.10256000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00009278811030e-01
1.10320000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99951955902218e-01
1.10448000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99897322725461e-01
1.10704000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00022706297533e-01
1.11159279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99964177445305e-01
1.11759279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99981935201340e-01
1.12359279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99981903383774e-01
1.12959279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99973840829086e-01
1.13559279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99988817757022e-01
1.14159279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99972989248968e-01
1.14759279609913e-07,6.00000000000000e-01,0.00000000000000e+00,5.99991576694589e-01
1.15100000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99975165696380e-01
1.15110000000000e-07,5.40000000000061e-01,0.00000000000000e+00,5.99842286964573e-01
1.15130000000000e-07,4.20000000000084e-01,0.00000000000000e+00,5.99653774874794e-01
1.15170000000000e-07,1.80000000000129e-01,0.00000000000000e+00,6.00619616340460e-01
1.15200000000000e-07,8.40438829641244e-14,0.00000000000000e+00,6.03579472330126e-01
1.15208000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.04545711503004e-01
1.15224000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.05969933866964e-01
1.15256000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.07167891941382e-01
1.15320000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.06213799790975e-01
1.15448000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.93313806592629e-01
1.15704000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.90089126087362e-01
1.16155499595662e-07,0.00000000000000e+00,0.00000000000000e+00,6.03398090277958e-01
1.16755499595662e-07,0.00000000000000e+00,0.00000000000000e+00,5.96572488920680e-01
1.17100000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.01357834487322e-01
1.17160000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.00393149304333e-01
1.17280000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99609197524296e-01
1.17520000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99752656039495e-01
1.18000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99754489378474e-01
1.18600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99822450061464e-01
1.19200000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99831266361330e-01
1.19800000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99861623182698e-01
1.20400000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99869920070622e-01
1.21000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99884476713005e-01
1.21600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99892482544758e-01
1.22200000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99902187672734e-01
1.22800000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99907177766829e-01
1.23400000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99909124468416e-01
1.24000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99916964370880e-01
1.24600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99920142241284e-01
1.25000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99923459771706e-01
1.25010000000000e-07,5.99999999999092e-02,0.00000000000000e+00,6.00149657282042e-01
1.25030000000000e-07,1.79999999999886e-01,0.00000000000000e+00,6.00439052411443e-01
1.25070000000000e-07,4.19999999999841e-01,0.00000000000000e+00,6.00478143465775e-01
1.25100000000000e-07,5.99999999999886e-01,0.00000000000000e+00,6.00183435926994e-01
1.25108000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00012210457041e-01
1.25124000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99787296560410e-01
1.25156000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99554426910007e-01
1.25220000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99543758741455e-01
1.25348000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99750394001563e-01
1.25604000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00298800336535e-01
1.26116000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.20018114556569e-01
1.26716000000000e-07,6.00000000000000e-01,0.00000000000000e+00,2.70926880613870e-01
1.27316000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-1.22169894687252e-02
1.27916000000000e-07,6.00000000000000e-01,0.00000000000000e+00,4.35488994705407e-03
1.28516000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-1.79769780283293e-03
1.29116000000000e-07,6.00000000000000e-01,0.00000000000000e+00,1.05153927904479e-03
1.29716000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-6.53169669664291e-04
1.30000000000000e-07,6.00000000000000e-01,0.00000000000000e+00,4.77551806816412e-04
