Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,3.03619886596702e-03,0.00000000000000e+00
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,2.07087713791253e-03,0.00000000000000e+00
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,1.00545127842037e-03,0.00000000000000e+00
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,6.33777468625515e-04,0.00000000000000e+00
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,4.28872671606184e-04,0.00000000000000e+00
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.89595673159937e-04,0.00000000000000e+00
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.17202540438266e-04,0.00000000000000e+00
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.04793423350294e-04,0.00000000000000e+00
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.92227839992374e-05,0.00000000000000e+00
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.16941015085920e-05,0.00000000000000e+00
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.59903975173524e-05,0.00000000000000e+00
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.55128981385723e-05,0.00000000000000e+00
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.73681756436765e-05,0.00000000000000e+00
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.64722356215722e-05,0.00000000000000e+00
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.66306992880560e-05,0.00000000000000e+00
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,2.01231600102186e-04,8.50000000000120e-02
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,3.22688055679365e-04,2.55000000000008e-01
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,3.54530049437737e-04,5.95000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,4.58396136251857e-04,8.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,4.01874648830389e-04,8.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,1.79712413118621e-04,8.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-8.05426937868267e-04,8.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.96269559705953e-03,8.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-8.77624171934620e-04,8.50000000000000e-01
1.56728363238679e-08,0.00000000000000e+00,8.50000000000000e-01,-1.25897790304794e-05,8.50000000000000e-01
1.59894347401470e-08,0.00000000000000e+00,8.50000000000000e-01,5.33836114133719e-05,8.50000000000000e-01
1.64279590431227e-08,0.00000000000000e+00,8.50000000000000e-01,2.54499500808910e-04,8.50000000000000e-01
1.72226689391943e-08,0.00000000000000e+00,8.50000000000000e-01,-2.42780218523505e-04,8.50000000000000e-01
1.82019057975312e-08,0.00000000000000e+00,8.50000000000000e-01,3.07681186252469e-04,8.50000000000000e-01
2.01603795142049e-08,0.00000000000000e+00,8.50000000000000e-01,-2.51686455064163e-04,8.50000000000000e-01
2.31340236239236e-08,0.00000000000000e+00,8.50000000000000e-01,3.01643514501358e-04,8.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.42710733181692e-04,8.50000000000000e-01
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,-6.29010691160642e-05,8.50000000000000e-01
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,2.19666787318135e-04,8.50000000000000e-01
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,5.25897907886624e-04,8.50000000000000e-01
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.69396285990792e-05,8.50000000000000e-01
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.29226658520077e-04,8.50000000000000e-01
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.44816483337677e-03,8.50000000000000e-01
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.55691460224454e-03,8.50000000000000e-01
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.72279159673282e-03,8.50000000000000e-01
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.05942057452670e-01,8.50000000000000e-01
2.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.65086827391689e-01,8.50000000000000e-01
2.61160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.72062032155922e-01,8.50000000000000e-01
2.65802482510764e-08,8.50000000000000e-01,8.50000000000000e-01,8.28969620641970e-01,8.50000000000000e-01
2.75087447532293e-08,8.50000000000000e-01,8.50000000000000e-01,8.69331034290703e-01,8.50000000000000e-01
2.88846024316807e-08,8.50000000000000e-01,8.50000000000000e-01,8.30426780120656e-01,8.50000000000000e-01
3.14113967942286e-08,8.50000000000000e-01,8.50000000000000e-01,8.68542620103132e-01,8.50000000000000e-01
3.51000000000000e-08,8.49999999999958e-01,8.50000000000000e-01,8.30960590061953e-01,8.50000000000000e-01
3.51100000000000e-08,7.64999999999974e-01,8.50000000000000e-01,8.40438960806704e-01,8.50000000000000e-01
3.51300000000000e-08,5.94999999999950e-01,8.50000000000000e-01,8.49915000485348e-01,8.50000000000000e-01
3.51700000000000e-08,2.54999999999958e-01,8.50000000000000e-01,8.51459692075834e-01,8.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.53214747635332e-01,8.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.52587219715777e-01,8.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.48892511879179e-01,8.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.34038174065060e-01,8.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.21974098301492e-01,8.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.45538665914560e-01,8.50000000000000e-01
3.57006869230412e-08,0.00000000000000e+00,8.50000000000000e-01,8.50500067490708e-01,8.50000000000000e-01
3.60039316074427e-08,0.00000000000000e+00,8.50000000000000e-01,8.48576997260516e-01,8.50000000000000e-01
3.66104209762456e-08,0.00000000000000e+00,8.50000000000000e-01,8.50531847896737e-01,8.50000000000000e-01
3.78233997138516e-08,0.00000000000000e+00,8.50000000000000e-01,8.49116564476939e-01,8.50000000000000e-01
4.02493571890635e-08,0.00000000000000e+00,8.50000000000000e-01,8.50618824749688e-01,8.50000000000000e-01
4.40493571890635e-08,0.00000000000000e+00,8.50000000000000e-01,8.49247578961467e-01,8.50000000000000e-01
