Time,v(clk),v(data),v(out)
1.00416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,6.30360467253135e-05
1.01016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-3.42082731071072e-05
1.01616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,2.71098610561959e-05
1.02216000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.66056894470579e-05
1.02816000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.82906483381512e-05
1.03416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.20648836566123e-05
1.04016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.55381584553693e-05
1.04616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-1.01148048781835e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.35891159770696e-05
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.71014094890904e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,1.02413790929924e-03
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.94500345253011e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,1.93139823386669e-03
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.68570811283883e-03
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.15111783191237e-03
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-7.95965944939137e-05
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-2.42505557609739e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.26609788593749e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-4.32690969673633e-04
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,2.78638266601001e-01
1.06716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.89737357930781e-01
1.07316000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.96968674893060e-01
1.07916000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.01075538030892e-01
1.08516000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.99137807995313e-01
1.09116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.00635246577849e-01
1.09716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.99429650071066e-01
