Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,-7.40965366769413e-04,0.00000000000000e+00
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,-1.47907940853072e-03,0.00000000000000e+00
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,-1.89810279550141e-03,0.00000000000000e+00
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,-9.90114671649972e-04,0.00000000000000e+00
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,-6.69499920603972e-04,0.00000000000000e+00
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.01316237965457e-04,0.00000000000000e+00
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.81934315151505e-04,0.00000000000000e+00
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.04064178613964e-04,0.00000000000000e+00
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.02723865996551e-04,0.00000000000000e+00
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.10988942176454e-06,0.00000000000000e+00
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.40472804227135e-06,0.00000000000000e+00
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,5.61971981365497e-06,0.00000000000000e+00
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.35047803204204e-05,0.00000000000000e+00
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,6.10574048605199e-06,0.00000000000000e+00
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.20209365832465e-05,0.00000000000000e+00
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,2.34619595692848e-04,8.50000000000120e-02
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,4.64924722432883e-04,2.55000000000008e-01
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,4.91182029779685e-04,5.95000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,4.23169371728746e-04,8.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.53079938498091e-04,8.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.37229350380938e-04,8.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.65897112726632e-05,8.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.06183441758535e-03,8.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.69336114048477e-03,8.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-3.35894359422099e-05,8.50000000000000e-01
1.60762730313152e-08,0.00000000000000e+00,8.50000000000000e-01,-1.39441222161450e-04,8.50000000000000e-01
1.66751768407419e-08,0.00000000000000e+00,8.50000000000000e-01,2.50354648152566e-04,8.50000000000000e-01
1.76768191627571e-08,0.00000000000000e+00,8.50000000000000e-01,-1.00921771687759e-04,8.50000000000000e-01
1.87169754636339e-08,0.00000000000000e+00,8.50000000000000e-01,3.78142498217490e-05,8.50000000000000e-01
2.07972880653875e-08,0.00000000000000e+00,8.50000000000000e-01,9.84612360521719e-06,8.50000000000000e-01
2.45972880653875e-08,0.00000000000000e+00,8.50000000000000e-01,-3.58728640014599e-06,8.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.45809505725555e-05,8.50000000000000e-01
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,2.16660223414128e-04,8.50000000000000e-01
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,4.16301902579297e-04,8.50000000000000e-01
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,6.29961397210915e-04,8.50000000000000e-01
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.90241966659094e-04,8.50000000000000e-01
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-2.36836281893582e-04,8.50000000000000e-01
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-1.21767382924022e-03,8.50000000000000e-01
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.38514274259945e-03,8.50000000000000e-01
