Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,1.49468715508749e-06
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,1.78929005367756e-06
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,4.17615699938034e-07
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,-3.02016199994065e-06
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,-6.62058857972547e-07
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.52662251362868e-07
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.85183491714747e-06
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,5.07742481799939e-06
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.48739216745469e-06
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.45987837743855e-07
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.16656313027394e-06
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.07802722307260e-06
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.63073790035453e-06
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.38968351270231e-07
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.21369375357459e-06
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,-6.46171059166673e-05
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,-1.50657670908882e-04
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,3.36722348438789e-06
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.03400927816652e-04
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.89575505670037e-04
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,3.99503757447003e-04
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,7.65190997876128e-05
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-3.19639474514327e-04
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.06756002607188e-04
1.57040000000000e-08,0.00000000000000e+00,8.50000000000000e-01,7.78056813863538e-05
1.59677574461557e-08,0.00000000000000e+00,8.50000000000000e-01,1.83736791299745e-04
1.64952723384670e-08,0.00000000000000e+00,8.50000000000000e-01,-2.00430692971593e-04
1.70437657245658e-08,0.00000000000000e+00,8.50000000000000e-01,2.02252562316456e-04
1.81407524967633e-08,0.00000000000000e+00,8.50000000000000e-01,-1.96125894417045e-04
1.99060064265293e-08,0.00000000000000e+00,8.50000000000000e-01,1.93158175762148e-04
2.27275650146307e-08,0.00000000000000e+00,8.50000000000000e-01,-1.89054382599920e-04
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,1.86116185464941e-04
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,2.58696114247239e-04
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,3.26503048456522e-04
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,-8.97655927209612e-05
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-2.69998476352765e-03
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.82108403581449e-03
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-5.72750390870780e-03
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.43924287997637e-03
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.10423079097041e-01
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,6.96272157662906e-01
2.56040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.82928607438824e-01
2.58689872516355e-08,8.50000000000000e-01,8.50000000000000e-01,8.20515235101443e-01
2.63989617549065e-08,8.50000000000000e-01,8.50000000000000e-01,8.76064705997188e-01
2.71037630399935e-08,8.50000000000000e-01,8.50000000000000e-01,8.24352144191574e-01
2.85133656101675e-08,8.50000000000000e-01,8.50000000000000e-01,8.73890337803533e-01
3.01000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.25784497628173e-01
3.01100000000000e-08,8.50000000000000e-01,7.65000000000044e-01,8.37497288752567e-01
3.01300000000000e-08,8.50000000000000e-01,5.95000000000020e-01,8.49570345889364e-01
3.01700000000000e-08,8.50000000000000e-01,2.55000000000028e-01,8.50147186024255e-01
3.02000000000000e-08,8.50000000000000e-01,2.05391259555654e-14,8.49960724997443e-01
3.02080000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49970441309745e-01
3.02240000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49972144999266e-01
3.02560000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49960280123405e-01
3.03200000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49980709707648e-01
3.04480000000000e-08,8.50000000000000e-01,0.00000000000000e+00,8.49995271268109e-01
3.06718288626685e-08,8.50000000000000e-01,0.00000000000000e+00,8.49959540920153e-01
3.09428698226238e-08,8.50000000000000e-01,0.00000000000000e+00,8.49992858296746e-01
3.14849517425344e-08,8.50000000000000e-01,0.00000000000000e+00,8.49968167747938e-01
3.25691155823557e-08,8.50000000000000e-01,0.00000000000000e+00,8.49994202836021e-01
3.46917786405392e-08,8.50000000000000e-01,0.00000000000000e+00,8.49974963277814e-01
3.51000000000000e-08,8.49999999999958e-01,0.00000000000000e+00,8.49995269269584e-01
3.51100000000000e-08,7.64999999999974e-01,0.00000000000000e+00,8.49928330741302e-01
3.51300000000000e-08,5.94999999999950e-01,0.00000000000000e+00,8.49882977907526e-01
3.51700000000000e-08,2.54999999999958e-01,0.00000000000000e+00,8.51204149503178e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.52815661566376e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.52162309722305e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.47993017566481e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.31008401837715e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.16645138765967e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,8.44766112547526e-01
3.56249561597606e-08,0.00000000000000e+00,0.00000000000000e+00,8.51334616775919e-01
3.59377233941799e-08,0.00000000000000e+00,0.00000000000000e+00,8.48034984452079e-01
