Time,v(clk),v(data),v(out)
1.00416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,-4.83207584483711e-06
1.01016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,2.13489472290530e-05
1.01616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.20212503168377e-05
1.02216000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.62091414409524e-05
1.02816000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.14289879329862e-05
1.03416000000000e-07,0.00000000000000e+00,6.00000000000000e-01,1.89029126957119e-05
1.04016000000000e-07,0.00000000000000e+00,6.00000000000000e-01,8.34674540848082e-06
1.04616000000000e-07,0.00000000000000e+00,6.00000000000000e-01,2.15788098617067e-05
1.05000000000000e-07,0.00000000000000e+00,6.00000000000000e-01,5.82806630158167e-06
1.05010000000000e-07,5.99999999999886e-02,6.00000000000000e-01,3.52457142821269e-04
1.05030000000000e-07,1.79999999999966e-01,6.00000000000000e-01,9.42599316739609e-04
1.05070000000000e-07,4.19999999999920e-01,6.00000000000000e-01,1.69402806144606e-03
1.05100000000000e-07,5.99999999999966e-01,6.00000000000000e-01,1.59253539816405e-03
1.05108000000000e-07,6.00000000000000e-01,6.00000000000000e-01,1.26711177855618e-03
1.05124000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.57537337659189e-04
1.05156000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-9.90512135960922e-04
1.05220000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-3.46493713558382e-03
1.05348000000000e-07,6.00000000000000e-01,6.00000000000000e-01,-5.30502657130177e-03
1.05604000000000e-07,6.00000000000000e-01,6.00000000000000e-01,4.72442363785418e-02
1.06116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,4.93374357011229e-01
1.06716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.16957458504024e-01
1.07316000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.86150141804041e-01
1.07916000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.10761787757053e-01
1.08516000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.91193892732770e-01
1.09116000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.06656124309142e-01
1.09716000000000e-07,6.00000000000000e-01,6.00000000000000e-01,5.94586366207545e-01
1.10100000000000e-07,6.00000000000000e-01,6.00000000000000e-01,6.03530768542672e-01
1.10110000000000e-07,6.00000000000000e-01,5.40000000000091e-01,6.02729984504357e-01
1.10130000000000e-07,6.00000000000000e-01,4.20000000000114e-01,6.01450308477113e-01
1.10170000000000e-07,6.00000000000000e-01,1.80000000000159e-01,6.00360252886972e-01
1.10200000000000e-07,6.00000000000000e-01,1.13686837721616e-13,6.00171741062306e-01
1.10208000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00148114707275e-01
1.10224000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00096609252354e-01
1.10256000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00008165509158e-01
1.10320000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99941880567374e-01
1.10448000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99885652901076e-01
1.10704000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99932221337038e-01
1.11154095435427e-07,6.00000000000000e-01,0.00000000000000e+00,6.00006359174808e-01
1.11754095435427e-07,6.00000000000000e-01,0.00000000000000e+00,5.99898715511116e-01
1.12354095435427e-07,6.00000000000000e-01,0.00000000000000e+00,6.00003588412767e-01
1.12954095435427e-07,6.00000000000000e-01,0.00000000000000e+00,5.99917757314944e-01
1.13554095435427e-07,6.00000000000000e-01,0.00000000000000e+00,5.99993461020684e-01
1.14154095435427e-07,6.00000000000000e-01,0.00000000000000e+00,5.99935186160620e-01
1.14754095435427e-07,6.00000000000000e-01,0.00000000000000e+00,5.99987655238528e-01
1.15100000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99947644879941e-01
1.15110000000000e-07,5.40000000000061e-01,0.00000000000000e+00,5.99800007937107e-01
1.15130000000000e-07,4.20000000000084e-01,0.00000000000000e+00,5.99558313495456e-01
1.15170000000000e-07,1.80000000000129e-01,0.00000000000000e+00,6.00106068115039e-01
1.15200000000000e-07,8.40438829641244e-14,0.00000000000000e+00,6.02469017706855e-01
1.15208000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.03343889134990e-01
1.15224000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.04711667178511e-01
1.15256000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.06106296080015e-01
1.15320000000000e-07,0.00000000000000e+00,0.00000000000000e+00,6.06405143144341e-01
1.15448000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.98820901534900e-01
1.15704000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.85932399274145e-01
1.16216000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99500253741656e-01
1.16816000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99420149898173e-01
1.17100000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99664724079085e-01
1.17160000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99661626892741e-01
1.17280000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99648892608023e-01
1.17520000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99659261246804e-01
1.18000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99709833692040e-01
1.18600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99738696463441e-01
1.19200000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99774222615130e-01
1.19800000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99790299711707e-01
1.20400000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99807993559618e-01
1.21000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99816218157013e-01
1.21600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99829556074546e-01
1.22200000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99834560819254e-01
1.22800000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99846347714047e-01
1.23400000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99847048027826e-01
1.24000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99852470457269e-01
1.24600000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99856833367194e-01
1.25000000000000e-07,0.00000000000000e+00,0.00000000000000e+00,5.99861764215732e-01
1.25010000000000e-07,5.99999999999092e-02,0.00000000000000e+00,6.00100470203276e-01
1.25030000000000e-07,1.79999999999886e-01,0.00000000000000e+00,6.00448438999577e-01
1.25070000000000e-07,4.19999999999841e-01,0.00000000000000e+00,6.00601342960492e-01
1.25100000000000e-07,5.99999999999886e-01,0.00000000000000e+00,6.00277608810412e-01
1.25108000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.00061277989028e-01
1.25124000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99736939170485e-01
1.25156000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99341584023734e-01
1.25220000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99163387210392e-01
1.25348000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.99561230224028e-01
1.25604000000000e-07,6.00000000000000e-01,0.00000000000000e+00,6.04695406021820e-01
1.26116000000000e-07,6.00000000000000e-01,0.00000000000000e+00,3.30028994247716e-01
1.26716000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-1.40182543048033e-02
1.27316000000000e-07,6.00000000000000e-01,0.00000000000000e+00,5.97683579583525e-03
1.27916000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-1.02621410286759e-03
1.28516000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-5.93906018538492e-04
1.29116000000000e-07,6.00000000000000e-01,0.00000000000000e+00,1.47802305049822e-03
1.29716000000000e-07,6.00000000000000e-01,0.00000000000000e+00,-1.54457513465301e-03
1.30000000000000e-07,6.00000000000000e-01,0.00000000000000e+00,1.46779603666604e-03
