Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,1.32350141346212e-02,0.00000000000000e+00
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,9.93262196459538e-03,0.00000000000000e+00
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,5.66911064650864e-03,0.00000000000000e+00
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,2.46931477243938e-03,0.00000000000000e+00
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,1.20298793492322e-03,0.00000000000000e+00
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.04883706595679e-03,0.00000000000000e+00
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.56211920580369e-04,0.00000000000000e+00
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.78856602474109e-04,0.00000000000000e+00
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,9.19703760087417e-05,0.00000000000000e+00
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-2.69118088425113e-07,0.00000000000000e+00
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.61382451192398e-05,0.00000000000000e+00
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.45469727202306e-06,0.00000000000000e+00
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.68410177466358e-05,0.00000000000000e+00
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,5.00746438360060e-06,0.00000000000000e+00
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.67656607983077e-05,0.00000000000000e+00
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,2.06437139075213e-04,8.50000000000120e-02
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,3.35243803393712e-04,2.55000000000008e-01
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,2.86915474027552e-04,5.95000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.82514163348915e-04,8.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.17481626255775e-04,8.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,4.02829032397495e-05,8.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-6.67112564255071e-04,8.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.67099008250184e-03,8.50000000000000e-01
