Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.61476238067951e-05,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,9.26453692164098e-06,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.36689343164481e-06,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,5.27060875839258e-07,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-2.38099963856264e-07,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.20149391128322e-07,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.81324165648977e-06,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.37231726802484e-06,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.80587190528811e-06,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.82131911011935e-06,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.76451563488333e-06,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.83267483601889e-06,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.48069898192648e-06,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.41885788183479e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.18236310132740e-06,0.00000000000000e+00
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,1.41200851709218e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,2.39151742799586e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,6.89722453741659e-05,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.89711453713063e-05,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.46050794331043e-05,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.85400293783628e-05,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.07023685411942e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.24764058915421e-04,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.13550459361823e-04,6.00000000000000e-01
1.56887529795382e-08,0.00000000000000e+00,6.00000000000000e-01,-6.90093336674982e-05,6.00000000000000e-01
1.60924301562243e-08,0.00000000000000e+00,6.00000000000000e-01,5.69403151077265e-05,6.00000000000000e-01
1.66256861507103e-08,0.00000000000000e+00,6.00000000000000e-01,5.92105582101557e-05,6.00000000000000e-01
1.76005140219342e-08,0.00000000000000e+00,6.00000000000000e-01,-9.49672145284736e-05,6.00000000000000e-01
1.90551053432534e-08,0.00000000000000e+00,6.00000000000000e-01,1.12136704031731e-04,6.00000000000000e-01
2.16097252213118e-08,0.00000000000000e+00,6.00000000000000e-01,-1.19477143565898e-04,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.24413709740167e-04,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.79701951298850e-04,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.54958055626309e-04,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,2.82234876349895e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.18308867749692e-04,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.38338511103227e-03,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.72804771540142e-03,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.78592613990526e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.44990280134820e-04,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.38379538038745e-01,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.05125009286181e-01,6.00000000000000e-01
2.60155051638371e-08,6.00000000000000e-01,6.00000000000000e-01,5.95654388875602e-01,6.00000000000000e-01
2.66166837689014e-08,6.00000000000000e-01,6.00000000000000e-01,6.04922707037099e-01,6.00000000000000e-01
2.74995329490555e-08,6.00000000000000e-01,6.00000000000000e-01,5.95521301173725e-01,6.00000000000000e-01
2.87358945215108e-08,6.00000000000000e-01,6.00000000000000e-01,6.04666902729609e-01,6.00000000000000e-01
3.12086176664213e-08,6.00000000000000e-01,6.00000000000000e-01,5.95586963747096e-01,6.00000000000000e-01
3.50086176664213e-08,6.00000000000000e-01,6.00000000000000e-01,6.04594342995083e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.97005156673023e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.98271976163042e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.99675856496624e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00402444010893e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01976704349433e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02364116349711e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02673302040224e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99777343520736e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.83735087220764e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.83724118196437e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.04132958950994e-01,6.00000000000000e-01
3.61305994386271e-08,0.00000000000000e+00,6.00000000000000e-01,5.95876173577333e-01,6.00000000000000e-01
3.67772810211384e-08,0.00000000000000e+00,6.00000000000000e-01,6.03011668202523e-01,6.00000000000000e-01
3.80706441861610e-08,0.00000000000000e+00,6.00000000000000e-01,5.96852418052438e-01,6.00000000000000e-01
4.06573705162063e-08,0.00000000000000e+00,6.00000000000000e-01,6.02813772787846e-01,6.00000000000000e-01
4.44573705162063e-08,0.00000000000000e+00,6.00000000000000e-01,5.97107957589465e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02317067177660e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,6.01514207275929e-01,5.40000000000011e-01
