Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.01704359386557e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,2.06350694362464e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.92213062321853e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.38398180692667e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,1.10259092082898e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.04732812302999e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.05778192377726e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.28486261778346e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.48515292294552e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.14639144940011e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.02025495718177e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.92467438284440e-06
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.00565417591701e-05
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.90420842397134e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.51638309678021e-06
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-4.64319971121493e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.29033721915563e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.06390998637053e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.21636354980588e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.37708988501867e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.71398844033234e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.06016167263314e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.07840181037190e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.82918915798385e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.48148718620480e-05
1.61493740059689e-08,0.00000000000000e+00,6.00000000000000e-01,8.46974556138920e-06
1.66986551260121e-08,0.00000000000000e+00,6.00000000000000e-01,1.40162484754125e-04
1.77972173660986e-08,0.00000000000000e+00,6.00000000000000e-01,-1.50403013198535e-04
1.90236539352703e-08,0.00000000000000e+00,6.00000000000000e-01,1.75924124183220e-04
2.14765270736137e-08,0.00000000000000e+00,6.00000000000000e-01,-1.62277567366379e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.77268947250141e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,2.44095376293607e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,3.45070096083581e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.05219462832458e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.33331816637695e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.60561137964530e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.52116910487630e-03
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.36965581318272e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.84176227654214e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.49646278852474e-02
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.17460339176599e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.20949641433290e-01
2.66862813279626e-08,6.00000000000000e-01,6.00000000000000e-01,5.79070703683416e-01
2.78178009856276e-08,6.00000000000000e-01,6.00000000000000e-01,6.17945882014582e-01
2.93126721266755e-08,6.00000000000000e-01,6.00000000000000e-01,5.81334853199855e-01
3.23024144087712e-08,6.00000000000000e-01,6.00000000000000e-01,6.16895830498164e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.82233470239107e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.88849449035235e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.97094564252939e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00669833839337e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01982421693281e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02369560418759e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02773753101093e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01518436866581e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.89690289633374e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.79941821888876e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99496651648875e-01
3.61960258339090e-08,0.00000000000000e+00,6.00000000000000e-01,5.99060344035374e-01
3.68426415498346e-08,0.00000000000000e+00,6.00000000000000e-01,6.00048752411221e-01
3.81358729816859e-08,0.00000000000000e+00,6.00000000000000e-01,5.99383037673482e-01
4.07223358453885e-08,0.00000000000000e+00,6.00000000000000e-01,6.00218032418801e-01
4.45223358453885e-08,0.00000000000000e+00,6.00000000000000e-01,5.99487807343755e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00176291915844e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,6.00145590612221e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,6.00091686625938e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,6.00022862848496e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.99697319012522e-01
4.51080000000000e-08,6.00000000000000e-01,5.52000000000025e-01,5.99458794814607e-01
4.51240000000000e-08,6.00000000000000e-01,4.55999999999996e-01,5.98958124312456e-01
4.51560000000000e-08,6.00000000000000e-01,2.64000000000016e-01,5.98152652392454e-01
4.52000000000000e-08,6.00000000000000e-01,3.44169137633799e-14,5.97627464954197e-01
4.52064000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97590662321820e-01
4.52192000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97511948040800e-01
4.52448000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97413583414680e-01
4.52960000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.97573171068109e-01
4.53984000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.98537714093760e-01
4.56032000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99745727591707e-01
4.58761536315258e-08,6.00000000000000e-01,0.00000000000000e+00,5.99954713867986e-01
4.64220608945774e-08,6.00000000000000e-01,0.00000000000000e+00,6.00035300038071e-01
4.70618499192221e-08,6.00000000000000e-01,0.00000000000000e+00,5.99971872556275e-01
4.83414279685114e-08,6.00000000000000e-01,0.00000000000000e+00,6.00024744828481e-01
5.09005840670901e-08,6.00000000000000e-01,0.00000000000000e+00,5.99976683919739e-01
5.47005840670901e-08,6.00000000000000e-01,0.00000000000000e+00,6.00022300954279e-01
5.51000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99985237904029e-01
5.51100000000000e-08,5.40000000000021e-01,0.00000000000000e+00,5.99933077213954e-01
5.51300000000000e-08,4.20000000000004e-01,0.00000000000000e+00,5.99875255146779e-01
5.51700000000000e-08,1.80000000000010e-01,0.00000000000000e+00,6.00452390541769e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02075283319063e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02512675768730e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03143464911928e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03737679279385e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03961260639193e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.00455076417645e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.98606629658685e-01
5.60420212248458e-08,0.00000000000000e+00,0.00000000000000e+00,5.99775416667660e-01
5.67180636745375e-08,0.00000000000000e+00,0.00000000000000e+00,5.99362887538963e-01
5.74251686045793e-08,0.00000000000000e+00,0.00000000000000e+00,5.99941996079064e-01
5.88393784646627e-08,0.00000000000000e+00,0.00000000000000e+00,5.99600732299107e-01
6.16677981848296e-08,0.00000000000000e+00,0.00000000000000e+00,6.00033986261500e-01
6.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,5.99681758832365e-01
6.50100000000000e-08,5.99999999999886e-02,0.00000000000000e+00,5.99773909361402e-01
6.50300000000000e-08,1.79999999999966e-01,0.00000000000000e+00,5.99885627954494e-01
6.50700000000000e-08,4.19999999999920e-01,0.00000000000000e+00,5.99889714980678e-01
6.51000000000000e-08,5.99999999999966e-01,0.00000000000000e+00,5.99775250688619e-01
6.51080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99725375961024e-01
6.51240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99664051263478e-01
6.51560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99638468977634e-01
