Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,4.66432002267031e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,3.47537981836565e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.79024085326870e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.30591810081765e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-2.27527650958903e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.11106155026397e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.17597781457646e-07
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.69066422067810e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.96124748750049e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.58670666080019e-07
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.67302452026841e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.62125431592381e-07
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.21279141768659e-06
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.78112057941809e-07
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.12191377671571e-07
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-5.70228495447508e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.39297714042592e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.61827093594885e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.69305852660623e-06
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.23231576641625e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.74612822578749e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.85032550066566e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.26022598046303e-05
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.19162679922815e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.46440185153350e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.87815126997984e-05
1.69164202184631e-08,0.00000000000000e+00,6.00000000000000e-01,1.32437672607046e-04
1.81414553313701e-08,0.00000000000000e+00,6.00000000000000e-01,-9.50152932318580e-05
1.96751258383565e-08,0.00000000000000e+00,6.00000000000000e-01,7.15881020141784e-05
2.27424668523293e-08,0.00000000000000e+00,6.00000000000000e-01,-6.06609139634556e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.87251828053432e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.53945377684636e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,3.00597448434810e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,3.26842488844382e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-6.46525164057707e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.30263514183903e-03
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.65264986765654e-03
