Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.21384932088123e-03,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,9.46978093157816e-04,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,5.69690214687044e-04,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.04505724153599e-04,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,8.86754216398028e-05,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.49566107169780e-05,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.17459538081425e-05,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.41958136259005e-05,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.90661844801052e-06,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.39877109800110e-06,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.71477146541153e-06,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.99520243753058e-06,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.12321218630166e-06,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.55721367706444e-06,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.64290835481112e-06,0.00000000000000e+00
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,1.71142715889701e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,3.53178943761301e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,2.33017301194099e-04,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,7.82691818389664e-05,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.89859766043582e-05,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.16421073774603e-05,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.64569585124372e-05,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.11431103229465e-05,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.07671534260473e-04,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-3.72485346786470e-05,6.00000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.36771647008178e-04,6.00000000000000e-01
1.69401434478085e-08,0.00000000000000e+00,6.00000000000000e-01,1.55470838373775e-04,6.00000000000000e-01
1.82523313835367e-08,0.00000000000000e+00,6.00000000000000e-01,-7.67105297098071e-05,6.00000000000000e-01
1.98991347904958e-08,0.00000000000000e+00,6.00000000000000e-01,3.42410659804311e-05,6.00000000000000e-01
2.30802359864141e-08,0.00000000000000e+00,6.00000000000000e-01,-1.46170147269685e-05,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.02695410353411e-06,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.15071999448338e-04,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.92307740039008e-04,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,3.63787185673550e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.06103962685565e-04,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-8.31135337416203e-04,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.00996358415757e-03,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.12749525664473e-03,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.74769160675792e-03,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.60757870964327e-02,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.69292129015306e-01,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.26151835426969e-01,6.00000000000000e-01
2.67570262880333e-08,6.00000000000000e-01,6.00000000000000e-01,5.75653141049520e-01,6.00000000000000e-01
2.80390788640997e-08,6.00000000000000e-01,6.00000000000000e-01,6.19856150547386e-01,6.00000000000000e-01
2.95664543012853e-08,6.00000000000000e-01,6.00000000000000e-01,5.79914886089443e-01,6.00000000000000e-01
3.26212051756565e-08,6.00000000000000e-01,6.00000000000000e-01,6.17693154818667e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.81754206819002e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.86056694700514e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.92595912372077e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,5.98478066742011e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00606591951142e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01120015885238e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01895459182255e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02493728089811e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00642592635309e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.84417377545654e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.78010428209609e-01,6.00000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02729705160125e-01,6.00000000000000e-01
3.71626093551313e-08,0.00000000000000e+00,6.00000000000000e-01,5.96742765222184e-01,6.00000000000000e-01
3.84018054574310e-08,0.00000000000000e+00,6.00000000000000e-01,6.02080177395740e-01,6.00000000000000e-01
4.08801976620305e-08,0.00000000000000e+00,6.00000000000000e-01,5.97560605069642e-01,6.00000000000000e-01
4.46801976620305e-08,0.00000000000000e+00,6.00000000000000e-01,6.01924472596588e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.98751175112939e-01,6.00000000000000e-01
4.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.98831868803633e-01,5.40000000000011e-01
4.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,5.98947063497201e-01,4.19999999999994e-01
4.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.99906682132798e-01,1.80000000000000e-01
4.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.02808954662411e-01,0.00000000000000e+00
4.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.03907430048378e-01,0.00000000000000e+00
4.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.05792421488860e-01,0.00000000000000e+00
4.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.08662065086450e-01,0.00000000000000e+00
4.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.14154053212850e-01,0.00000000000000e+00
4.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.58004977689101e-01,0.00000000000000e+00
4.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.12488060927804e-02,0.00000000000000e+00
4.60449395600267e-08,6.00000000000000e-01,6.00000000000000e-01,-4.82876068092212e-02,0.00000000000000e+00
4.66085738565141e-08,6.00000000000000e-01,6.00000000000000e-01,4.20395819490594e-02,0.00000000000000e+00
4.75756417675423e-08,6.00000000000000e-01,6.00000000000000e-01,-3.24017240795898e-02,0.00000000000000e+00
4.87998353315031e-08,6.00000000000000e-01,6.00000000000000e-01,3.13904073483178e-02,0.00000000000000e+00
5.01000000000000e-08,6.00000000000000e-01,5.99999999999966e-01,-2.60309880873292e-02,0.00000000000000e+00
5.03448387127922e-08,6.00000000000000e-01,6.00000000000000e-01,-3.13755014076735e-03,0.00000000000000e+00
5.08345161383765e-08,6.00000000000000e-01,6.00000000000000e-01,2.32557229936337e-03,0.00000000000000e+00
5.18138709895452e-08,6.00000000000000e-01,6.00000000000000e-01,-1.98362132129287e-03,0.00000000000000e+00
5.37725806918825e-08,6.00000000000000e-01,6.00000000000000e-01,1.84970941772964e-03,0.00000000000000e+00
5.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.64579920136475e-03,0.00000000000000e+00
5.51100000000000e-08,5.40000000000021e-01,6.00000000000000e-01,-1.11604175818025e-03,5.99999999999787e-02
5.51300000000000e-08,4.20000000000004e-01,6.00000000000000e-01,-3.68219213305342e-04,1.79999999999996e-01
5.51700000000000e-08,1.80000000000010e-01,6.00000000000000e-01,9.85243105169203e-06,4.19999999999990e-01
5.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.09007471230205e-05,6.00000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.55807871977063e-05,6.00000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.06435701470984e-05,6.00000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.55227341163464e-05,6.00000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.60767158694306e-05,6.00000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.84129872854624e-04,6.00000000000000e-01
5.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.85436345238404e-05,6.00000000000000e-01
5.61510669719308e-08,0.00000000000000e+00,6.00000000000000e-01,7.56541912255194e-06,6.00000000000000e-01
5.68957841682603e-08,0.00000000000000e+00,6.00000000000000e-01,-6.71582256886842e-05,6.00000000000000e-01
5.81066396677937e-08,0.00000000000000e+00,6.00000000000000e-01,1.05969161416088e-04,6.00000000000000e-01
5.97101545530483e-08,0.00000000000000e+00,6.00000000000000e-01,-1.22169554304708e-04,6.00000000000000e-01
6.29171843235574e-08,0.00000000000000e+00,6.00000000000000e-01,1.29601954466070e-04,6.00000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.36339283932083e-04,6.00000000000000e-01
6.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.39763725310280e-05,6.00000000000000e-01
6.50300000000000e-08,1.79999999999966e-01,6.00000000000000e-01,2.76467668880544e-04,6.00000000000000e-01
6.50700000000000e-08,4.19999999999920e-01,6.00000000000000e-01,3.27498763723115e-04,6.00000000000000e-01
6.51000000000000e-08,5.99999999999966e-01,6.00000000000000e-01,-6.14330374959351e-04,6.00000000000000e-01
6.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.21901262016996e-03,6.00000000000000e-01
6.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.44958003691927e-03,6.00000000000000e-01
6.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.42476316842232e-03,6.00000000000000e-01
6.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.53213045970348e-03,6.00000000000000e-01
6.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.20583155958838e-02,6.00000000000000e-01
6.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.76159212286811e-01,6.00000000000000e-01
6.61159999999999e-08,6.00000000000000e-01,6.00000000000000e-01,6.25294182247941e-01,6.00000000000000e-01
6.67614021372665e-08,6.00000000000000e-01,6.00000000000000e-01,5.76346523582852e-01,6.00000000000000e-01
6.80281048999936e-08,6.00000000000000e-01,6.00000000000000e-01,6.19169745949790e-01,6.00000000000000e-01
6.95429669826847e-08,6.00000000000000e-01,6.00000000000000e-01,5.80582185013549e-01,6.00000000000000e-01
7.25726911480668e-08,6.00000000000000e-01,6.00000000000000e-01,6.17052895749801e-01,6.00000000000000e-01
7.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.82368329277628e-01,6.00000000000000e-01
7.51100000000000e-08,5.40000000000061e-01,6.00000000000000e-01,5.86504916334623e-01,6.00000000000000e-01
7.51300000000000e-08,4.20000000000084e-01,6.00000000000000e-01,5.92800576756852e-01,6.00000000000000e-01
7.51700000000000e-08,1.80000000000129e-01,6.00000000000000e-01,5.98498889169266e-01,6.00000000000000e-01
7.52000000000000e-08,8.40438829641244e-14,6.00000000000000e-01,6.00604234831757e-01,6.00000000000000e-01
7.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01115256881133e-01,6.00000000000000e-01
7.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01887206004585e-01,6.00000000000000e-01
7.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02486738818656e-01,6.00000000000000e-01
7.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.00664419091738e-01,6.00000000000000e-01
7.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.84489197976858e-01,6.00000000000000e-01
7.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.78007765984151e-01,6.00000000000000e-01
7.62159999999999e-08,0.00000000000000e+00,6.00000000000000e-01,6.02707449952731e-01,6.00000000000000e-01
7.71627607008368e-08,0.00000000000000e+00,6.00000000000000e-01,5.96763598886755e-01,6.00000000000000e-01
7.84018125254033e-08,0.00000000000000e+00,6.00000000000000e-01,6.02063411002439e-01,6.00000000000000e-01
8.08799161745362e-08,0.00000000000000e+00,6.00000000000000e-01,5.97576331563524e-01,6.00000000000000e-01
