Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,2.01458762317329e-10,3.11808697750532e-10
5.43554432000000e-07,2.01640855879985e-10,3.11898056172023e-10
5.73554432000000e-07,2.01439069554486e-10,3.11987411739920e-10
6.03554432000000e-07,2.01237286740301e-10,3.12076764454276e-10
6.33554432000000e-07,2.01035507437585e-10,3.12166114315133e-10
6.63554432000000e-07,2.00833731646486e-10,3.12255461322532e-10
6.93554432000000e-07,2.01275327402348e-10,3.11895599039174e-10
7.23554432000000e-07,2.01316624492293e-10,3.11945517947423e-10
7.53554432000000e-07,2.01357921877144e-10,3.11995438256801e-10
7.83554432000001e-07,2.01399219556902e-10,3.12045359967332e-10
8.13554432000001e-07,2.01440517531561e-10,3.12095283079058e-10
8.43554432000001e-07,2.01481815801125e-10,3.12145207591989e-10
8.73554432000001e-07,2.01523114365595e-10,3.12195133506159e-10
9.03554432000001e-07,2.01564413224967e-10,3.12245060821596e-10
9.33554432000001e-07,2.01605712379242e-10,3.12294989538318e-10
9.63554432000001e-07,2.01647011828424e-10,3.12344919656358e-10
9.93554432000001e-07,2.01328705587649e-10,3.12394851175752e-10
1.02355443200000e-06,2.01010415419713e-10,3.11969539656341e-10
1.05355443200000e-06,2.01232505616941e-10,3.11996317744486e-10
1.08355443200000e-06,2.01454601305592e-10,3.12023094799526e-10
1.11355443200000e-06,2.01288909183306e-10,3.12049870821487e-10
1.14355443200000e-06,2.01123220395381e-10,3.12076645810405e-10
1.17355443200000e-06,2.00957534941870e-10,3.12103419766293e-10
1.20355443200000e-06,2.01214630770174e-10,3.12130192689191e-10
1.23355443200000e-06,2.01471732731536e-10,3.12156964579119e-10
1.26355443200000e-06,2.01282046571871e-10,3.12183735436104e-10
1.29355443200000e-06,2.01092364342725e-10,3.12210505260175e-10
1.32355443200000e-06,2.01219842853300e-10,3.12237274051362e-10
1.35355443200000e-06,2.01347322543999e-10,3.12264041809689e-10
1.38355443200000e-06,2.01474803414778e-10,3.11822540464229e-10
1.41355443200000e-06,2.01602285465604e-10,3.11380961260741e-10
1.44355443200000e-06,2.01280114866722e-10,3.11701948207568e-10
1.47355443200000e-06,2.01278621157163e-10,3.12022912562893e-10
1.50355443200000e-06,2.01277127332482e-10,3.12343854326857e-10
1.53355443200000e-06,2.01275633392677e-10,3.12157301120312e-10
1.56355443200000e-06,2.01274139337743e-10,3.11970714547817e-10
1.59355443200000e-06,2.01200065926334e-10,3.11784094605393e-10
1.62355443200000e-06,2.01125999358858e-10,3.11597441289074e-10
1.65355443200000e-06,2.01245123310053e-10,3.12042107717943e-10
1.68355443200000e-06,2.01364255277235e-10,3.12062461369064e-10
1.71355443200000e-06,2.01483395260763e-10,3.12082811505180e-10
1.74355443200000e-06,2.01321261289747e-10,3.12103158126640e-10
1.77355443200000e-06,2.01159140224791e-10,3.12123501233769e-10
1.80355443200000e-06,2.00997032065229e-10,3.12143840826911e-10
1.83355443200000e-06,2.01242908185696e-10,3.11828355547207e-10
1.86355443200000e-06,2.01488803645305e-10,3.11512774769565e-10
1.89355443200000e-06,2.01342808141911e-10,3.11989481801860e-10
1.92355443200000e-06,2.01196815070513e-10,3.12466189990355e-10
1.95355443200000e-06,2.01050824431151e-10,3.12060555076419e-10
1.98355443200000e-06,2.00904836223877e-10,3.11654937466319e-10
2.00000000000000e-06,1.99466633140592e-10,3.11904000423254e-10
