Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.30712804149408e-07
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.65023609430964e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,3.24559092104021e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.35838031099889e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,4.87225891389331e-07
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.74735870754717e-07
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.32381032853890e-07
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.92108570877636e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.52465022794174e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.87511840550509e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.54209252571700e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.65270486020601e-06
1.20465905167345e-08,6.00000000000000e-01,6.00000000000000e-01,5.69215550005539e-06
1.39077715502035e-08,6.00000000000000e-01,6.00000000000000e-01,6.35095437016234e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.18216743205027e-06
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-5.19315892079444e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.43106062689732e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.43734289181900e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.14804918952070e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.51839150409397e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.28826855707727e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.60465254028757e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.38038177980644e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.91484559333227e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.50805880278519e-05
1.61267909151946e-08,0.00000000000000e+00,6.00000000000000e-01,-1.86028948445074e-04
1.68134272729022e-08,0.00000000000000e+00,6.00000000000000e-01,1.73689587536212e-04
1.78994374407790e-08,0.00000000000000e+00,6.00000000000000e-01,-4.07623663291473e-05
1.94028004293375e-08,0.00000000000000e+00,6.00000000000000e-01,-6.48493280772187e-06
2.21556052702952e-08,0.00000000000000e+00,6.00000000000000e-01,3.61773568552924e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-4.60448321451881e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,8.46062546977916e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.99893064165807e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.42765421013891e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.54110093955042e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.75699832986114e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.95996857776600e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.49302545010997e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.30712677315113e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.84489511350643e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.24648459518184e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.77960298970946e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.07364815703520e-01
2.83347803873277e-08,6.00000000000000e-01,6.00000000000000e-01,5.92052727048962e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06899230301311e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.03965442521087e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.00637856816886e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,5.99964936865515e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,6.00069285746887e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00062921699902e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00052231212956e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00036668006399e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00006136047113e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,6.00002192797372e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99997657833325e-01
3.11260397729995e-08,6.00000000000000e-01,0.00000000000000e+00,5.99980591216780e-01
3.18033808424692e-08,6.00000000000000e-01,0.00000000000000e+00,5.99993554976717e-01
3.30482146563138e-08,6.00000000000000e-01,0.00000000000000e+00,5.99982866523108e-01
3.51000000000000e-08,5.99999999999970e-01,0.00000000000000e+00,5.99995095930288e-01
3.51100000000000e-08,5.39999999999982e-01,0.00000000000000e+00,5.99941684578003e-01
3.51300000000000e-08,4.19999999999965e-01,0.00000000000000e+00,5.99880560051354e-01
3.51700000000000e-08,1.79999999999970e-01,0.00000000000000e+00,6.00460184490621e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02187764338781e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.02627023100854e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.03114900018293e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,6.01901715465399e-01
