Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,5.37649980481962e-10,6.21729544287289e-10
5.43554432000000e-07,5.37504038394317e-10,6.21729543731709e-10
5.73554432000000e-07,5.37358059453323e-10,6.21729543176128e-10
6.03554432000000e-07,5.37212043655124e-10,6.21729542620525e-10
6.33554432000000e-07,5.37065990995803e-10,6.21729542064944e-10
6.63554432000000e-07,5.36919901471494e-10,6.21729541509364e-10
6.93554432000000e-07,5.37399102507682e-10,6.21729540953761e-10
7.23554432000000e-07,5.37295889092798e-10,6.21729540398179e-10
7.53554432000000e-07,5.37192683794349e-10,6.21729539842573e-10
7.83554432000001e-07,5.37089486611991e-10,6.21729539286992e-10
8.13554432000001e-07,5.36986297545331e-10,6.21729538731434e-10
8.43554432000001e-07,5.36883116594071e-10,6.21729538175831e-10
8.73554432000001e-07,5.37302959838401e-10,6.21729537620251e-10
9.03554432000001e-07,5.37722923365579e-10,6.21729537064670e-10
9.33554432000001e-07,5.38143007191020e-10,6.21729536509067e-10
9.63554432000001e-07,5.37864059457367e-10,6.21729535953486e-10
9.93554432000001e-07,5.37585130152519e-10,6.21729535397883e-10
1.02355443200000e-06,5.37306219280861e-10,6.21729534842300e-10
1.05355443200000e-06,5.37027326846719e-10,6.21729534286720e-10
1.08355443200000e-06,5.36748452854423e-10,6.21729533731116e-10
1.11355443200000e-06,5.37028388764774e-10,6.21729533175536e-10
1.14355443200000e-06,5.37308239830879e-10,6.21729532619932e-10
1.17355443200000e-06,5.37588006058478e-10,6.21729532064352e-10
1.20355443200000e-06,5.37867687453300e-10,6.21729531508771e-10
1.23355443200000e-06,5.37435486859674e-10,6.21729530953189e-10
1.26355443200000e-06,5.37003016516306e-10,6.21729530397586e-10
1.29355443200000e-06,5.36934073247133e-10,6.21729529842006e-10
1.32355443200000e-06,5.36865135321347e-10,6.21729529286425e-10
1.35355443200000e-06,5.37037449984159e-10,6.21729528730842e-10
1.38355443200000e-06,5.37209799359004e-10,6.21729528175239e-10
1.41355443200000e-06,5.37382183451381e-10,6.21729527619658e-10
1.44355443200000e-06,5.37554602266781e-10,6.21729527064077e-10
1.47355443200000e-06,5.37727055810716e-10,6.21729526508497e-10
1.50355443200000e-06,5.37899544088644e-10,6.21729525952894e-10
1.53355443200000e-06,5.37685173509236e-10,6.21729525397313e-10
1.56355443200000e-06,5.37470865948273e-10,6.21729524841710e-10
1.59355443200000e-06,5.37256621390121e-10,6.21729524286129e-10
1.62355443200000e-06,5.37042439819077e-10,6.21729523730523e-10
1.65355443200000e-06,5.36828321219531e-10,6.21729523174943e-10
1.68355443200000e-06,5.37105338811472e-10,6.21729522619362e-10
1.71355443200000e-06,5.37382458694171e-10,6.21729522063759e-10
1.74355443200000e-06,5.37326594228345e-10,6.21729521508177e-10
1.77355443200000e-06,5.37270733318753e-10,6.21729520952597e-10
1.80355443200000e-06,5.37214875965212e-10,6.21729520397016e-10
1.83355443200000e-06,5.37159022167538e-10,6.21729519841413e-10
1.86355443200000e-06,5.37103171925554e-10,6.21729519285832e-10
1.89355443200000e-06,5.37047325239108e-10,6.21729518730252e-10
1.92355443200000e-06,5.37391857564593e-10,6.21729518174668e-10
1.95355443200000e-06,5.37736498304007e-10,6.21729517619065e-10
1.98355443200000e-06,5.37646260944712e-10,6.21729517063485e-10
2.00000000000000e-06,5.37596795746175e-10,6.21729516758920e-10
