Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,4.61266066154300e-11,7.35753910212182e-11
5.43554432000000e-07,4.61036420997407e-11,7.35996883689100e-11
5.73554432000000e-07,4.60806774195986e-11,7.36239854267165e-11
6.03554432000000e-07,4.61504016662402e-11,7.35540859347581e-11
6.33554432000000e-07,4.62201238971722e-11,7.34841875501427e-11
6.63554432000000e-07,4.61894449460148e-11,7.35335152259647e-11
6.93554432000000e-07,4.61587658428829e-11,7.35828444383039e-11
7.23554432000000e-07,4.61280865878069e-11,7.36321751870654e-11
7.53554432000000e-07,4.60974071808051e-11,7.36815074721459e-11
7.83554432000001e-07,4.61499494190844e-11,7.36011675005359e-11
8.13554432000001e-07,4.62024909211782e-11,7.36172516279228e-11
8.43554432000001e-07,4.61793056950607e-11,7.36333355681823e-11
8.73554432000001e-07,4.61561204376640e-11,7.36494193213158e-11
9.03554432000001e-07,4.61329351489940e-11,7.36655028873182e-11
9.33554432000001e-07,4.61097498290641e-11,7.36815862661865e-11
9.63554432000001e-07,4.60865644778870e-11,7.36976694579174e-11
9.93554432000001e-07,4.60633790954708e-11,7.37137524625093e-11
1.02355443200000e-06,4.61330928223138e-11,7.36313407218084e-11
1.05355443200000e-06,4.62028056124619e-11,7.35489243216800e-11
1.08355443200000e-06,4.61727653454490e-11,7.35588981599340e-11
1.11355443200000e-06,4.61427250309159e-11,7.35688709231279e-11
1.14355443200000e-06,4.61126846688890e-11,7.35788426113367e-11
1.17355443200000e-06,4.60826442593891e-11,7.35888132246383e-11
1.20355443200000e-06,4.61337577345692e-11,7.35011905676110e-11
1.23355443200000e-06,4.61848707433306e-11,7.34135637283853e-11
1.26355443200000e-06,4.61624587284978e-11,7.34773191056654e-11
1.29355443200000e-06,4.61400467079602e-11,7.35410752283952e-11
1.32355443200000e-06,4.61176346817268e-11,7.36048320962815e-11
1.35355443200000e-06,4.60952226498094e-11,7.36685897090352e-11
1.38355443200000e-06,4.60728106122124e-11,7.35457910867455e-11
1.41355443200000e-06,4.60503985689520e-11,7.34229932156263e-11
1.44355443200000e-06,4.61175006524742e-11,7.34486580160778e-11
1.47355443200000e-06,4.61846020333252e-11,7.34743208129303e-11
1.50355443200000e-06,4.61557301248969e-11,7.34999816062731e-11
1.53355443200000e-06,4.61268581910497e-11,7.35256403961945e-11
1.56355443200000e-06,4.60979862318016e-11,7.35512971827801e-11
1.59355443200000e-06,4.60691142471759e-11,7.35769519661170e-11
1.62355443200000e-06,4.61180651625245e-11,7.34860498637947e-11
1.65355443200000e-06,4.61670156830368e-11,7.33951233864764e-11
1.68355443200000e-06,4.61455135613590e-11,7.35067409035458e-11
1.71355443200000e-06,4.61240114401363e-11,7.36183589174783e-11
1.74355443200000e-06,4.61025093193790e-11,7.36176489372329e-11
1.77355443200000e-06,4.60810071990975e-11,7.36169386440854e-11
1.80355443200000e-06,4.60595050792967e-11,7.36162280380043e-11
1.83355443200000e-06,4.60380029599861e-11,7.36155171189541e-11
1.86355443200000e-06,4.61021575446516e-11,7.36148058869059e-11
1.89355443200000e-06,4.61663115082459e-11,7.36140943418276e-11
1.92355443200000e-06,4.61386531465448e-11,7.36133824836816e-11
1.95355443200000e-06,4.61109947669624e-11,7.36980245654625e-11
1.98355443200000e-06,4.60833363695213e-11,7.36902910673531e-11
2.00000000000000e-06,4.58605730414777e-11,7.36860519651298e-11
