Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.94049224774683e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.78195320902977e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,1.55808733785581e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.15951424545999e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.58140002794783e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06971611073065e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.14690899855352e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.17248998735992e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.40020646742618e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.34421224497056e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.29966997335362e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.01314943738960e-05
1.20149475758015e-08,6.00000000000000e-01,6.00000000000000e-01,1.20604900314628e-05
1.38128427274044e-08,6.00000000000000e-01,6.00000000000000e-01,9.85474603726593e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.06797568013590e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-5.46649776555636e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.75026129018256e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-3.05607723902611e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.91124839752026e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.99799493444728e-05
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.52134041653693e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.65553223504726e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.11603017080195e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.03475873713850e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.70404257586124e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.72777685273073e-05
1.71650426614096e-08,0.00000000000000e+00,6.00000000000000e-01,-5.39388696275088e-05
1.84526631319248e-08,0.00000000000000e+00,6.00000000000000e-01,1.47206436555509e-04
2.10279040729552e-08,0.00000000000000e+00,6.00000000000000e-01,-1.15931554632986e-04
2.37570629686475e-08,0.00000000000000e+00,6.00000000000000e-01,1.10504825864299e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.94301487189322e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,5.16726624594371e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.49454121584135e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,5.14595294445863e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.45304626923537e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.63864424669842e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.76506717506106e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.97756719513251e-04
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.88127751133518e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.42158868810334e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.37562826345749e-02
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.10803158474083e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.27620180721550e-01
2.82932674485918e-08,6.00000000000000e-01,6.00000000000000e-01,5.76269033623121e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.21579911060377e-01
