Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,3.72031001153674e-10,5.29105753111365e-10
5.43554432000000e-07,3.72238848988256e-10,5.29141872829373e-10
5.73554432000000e-07,3.71864944719308e-10,5.29177994969636e-10
6.03554432000000e-07,3.71491031694999e-10,5.29214119532286e-10
6.33554432000000e-07,3.71660766831392e-10,5.29250246517511e-10
6.63554432000000e-07,3.71830495956505e-10,5.29286375925466e-10
6.93554432000000e-07,3.72000219070115e-10,5.29322507756279e-10
7.23554432000000e-07,3.72169936172034e-10,5.29358642010149e-10
7.53554432000000e-07,3.71853494675336e-10,5.29413667325601e-10
7.83554432000001e-07,3.71537025287728e-10,5.29468544033308e-10
8.13554432000001e-07,3.71666583851903e-10,5.29149838386892e-10
8.43554432000001e-07,3.71796134499090e-10,5.28831059188511e-10
8.73554432000001e-07,3.71925677229442e-10,5.29141002178059e-10
9.03554432000001e-07,3.72055212043135e-10,5.29450938936218e-10
9.33554432000001e-07,3.72184738940330e-10,5.29760869459020e-10
9.63554432000001e-07,3.72314257921196e-10,5.29313001521488e-10
9.93554432000001e-07,3.71817390868251e-10,5.28865123141657e-10
1.02355443200000e-06,3.71320443267299e-10,5.28417234331499e-10
1.05355443200000e-06,3.71732818539746e-10,5.28957078130051e-10
1.08355443200000e-06,3.72145211052227e-10,5.29496930208014e-10
1.11355443200000e-06,3.72014581330009e-10,5.29193444774032e-10
1.14355443200000e-06,3.71883943925604e-10,5.28889956002387e-10
1.17355443200000e-06,3.71753298838902e-10,5.28586463896824e-10
1.20355443200000e-06,3.71622646069731e-10,5.29035301449074e-10
1.23355443200000e-06,3.71491985617975e-10,5.29484077847166e-10
1.26355443200000e-06,3.71793652302162e-10,5.29165261319364e-10
1.29355443200000e-06,3.72095264636135e-10,5.28846434811587e-10
1.32355443200000e-06,3.71781129427219e-10,5.28527598328084e-10
1.35355443200000e-06,3.71467008498216e-10,5.28807321639113e-10
1.38355443200000e-06,3.71698164488828e-10,5.29087039967089e-10
1.41355443200000e-06,3.71929331822297e-10,5.29366753309088e-10
1.44355443200000e-06,3.72160510498225e-10,5.29646461662184e-10
1.47355443200000e-06,3.72391700516213e-10,5.29926165023450e-10
1.50355443200000e-06,3.71953242320541e-10,5.29514844762757e-10
1.53355443200000e-06,3.71514802975070e-10,5.29103474381626e-10
1.56355443200000e-06,3.71820907623629e-10,5.28692053886610e-10
1.59355443200000e-06,3.72127028086283e-10,5.28280583284277e-10
1.62355443200000e-06,3.71760511490081e-10,5.29134619858381e-10
1.65355443200000e-06,3.71394046458525e-10,5.29127175327451e-10
1.68355443200000e-06,3.71745092463450e-10,5.29119730134880e-10
1.71355443200000e-06,3.72096186038122e-10,5.29112284280733e-10
1.74355443200000e-06,3.71749321678820e-10,5.29104837765119e-10
1.77355443200000e-06,3.71402504689553e-10,5.29097390588092e-10
1.80355443200000e-06,3.71746759332474e-10,5.29089942749777e-10
1.83355443200000e-06,3.72091061122748e-10,5.29082494250238e-10
1.86355443200000e-06,3.71747932420320e-10,5.29075045089579e-10
1.89355443200000e-06,3.71404850736924e-10,5.29067595267850e-10
1.92355443200000e-06,3.71747210575958e-10,5.29060144785182e-10
1.95355443200000e-06,3.72089617391191e-10,5.29052693641644e-10
1.98355443200000e-06,3.71747461837594e-10,5.29045241837308e-10
2.00000000000000e-06,3.71559917004992e-10,5.28606166819126e-10
