Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-2.48238470320836e-06
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.88007212274105e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,7.05375966224969e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,9.08071275606409e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.52348270643965e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.95472861847457e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.71490676314762e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.39318361396568e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.31062901059659e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.40238207603366e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.92466744297038e-06
1.11142966812354e-08,6.00000000000000e-01,6.00000000000000e-01,1.16649421880756e-05
1.21348900437063e-08,6.00000000000000e-01,6.00000000000000e-01,1.00433386652360e-05
1.41760767686481e-08,6.00000000000000e-01,6.00000000000000e-01,1.03960822612111e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,9.36026450528739e-06
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-5.09454193687586e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.50524097530302e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.93515821390614e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.88274247414139e-06
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.35936651388717e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.22789264187301e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.11029037744919e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.93245405772952e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.46464980367941e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-8.90840789308477e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.26867124742617e-05
1.68838469224889e-08,0.00000000000000e+00,6.00000000000000e-01,1.26415137837949e-04
1.81418501676356e-08,0.00000000000000e+00,6.00000000000000e-01,-1.20383770324962e-06
1.97878539382763e-08,0.00000000000000e+00,6.00000000000000e-01,-3.63348830215438e-05
2.27806733268658e-08,0.00000000000000e+00,6.00000000000000e-01,7.25460638210575e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.92796665682201e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,4.96868876906573e-05
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.58241884952964e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.69348129668111e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.64875391902650e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.93628606132250e-04
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.61914805787723e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.54328581087628e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.87253221539358e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.08557942105380e-03
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.41082961736731e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.06143667878865e-01
2.68956597631074e-08,6.00000000000000e-01,6.00000000000000e-01,5.95101772482357e-01
2.81232412561948e-08,6.00000000000000e-01,6.00000000000000e-01,6.05226285843336e-01
2.97968950846972e-08,6.00000000000000e-01,6.00000000000000e-01,5.95127855864945e-01
3.22360171800835e-08,6.00000000000000e-01,6.00000000000000e-01,6.04901802779216e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,5.95291931396042e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,5.96813078177914e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,5.98845757662853e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00403889852168e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.01825327567091e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02236042218219e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02789351090291e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02819579303386e-01
