Time,v(clk),v(data),v(out)
1.00000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.91594539065408e-06
1.00100000000000e-08,4.50000000000000e-01,4.49999999999989e-02,7.05419874836438e-06
1.00300000000000e-08,4.50000000000000e-01,1.34999999999997e-01,9.50821262617196e-06
1.00700000000000e-08,4.50000000000000e-01,3.14999999999992e-01,1.03089358653233e-05
1.01000000000000e-08,4.50000000000000e-01,4.49999999999997e-01,8.00534661749008e-06
1.01080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,7.11928579995996e-06
1.01240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.01920329299649e-06
1.01560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,5.81328541192361e-06
1.02200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.76693374281057e-06
1.03480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,8.32677767204082e-06
1.06040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,8.23435188735885e-06
1.11160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.29866149286923e-06
1.21400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.81353794612996e-06
1.40700438074727e-08,4.50000000000000e-01,4.50000000000000e-01,6.31129738316253e-06
1.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.29233804516280e-06
1.51100000000000e-08,4.04999999999994e-01,4.50000000000000e-01,-4.22104845280921e-05
1.51300000000000e-08,3.14999999999996e-01,4.50000000000000e-01,-1.29689832276958e-04
1.51700000000000e-08,1.35000000000000e-01,4.50000000000000e-01,-2.41216769494047e-04
1.52000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.59583029326088e-04
1.52080000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-5.13733994844251e-05
1.52240000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.20870466843510e-04
1.52560000000000e-08,0.00000000000000e+00,4.50000000000000e-01,2.89501390986574e-04
1.53200000000000e-08,0.00000000000000e+00,4.50000000000000e-01,3.33702130833176e-04
1.54480000000000e-08,0.00000000000000e+00,4.50000000000000e-01,1.35361137445091e-04
1.57040000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.68148362349296e-04
1.62160000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-1.18120181448501e-05
1.72400000000000e-08,0.00000000000000e+00,4.50000000000000e-01,-3.07826344940719e-05
1.87093006970056e-08,0.00000000000000e+00,4.50000000000000e-01,2.36009575528065e-05
2.10905113148336e-08,0.00000000000000e+00,4.50000000000000e-01,3.88307172370199e-05
2.48905113148336e-08,0.00000000000000e+00,4.50000000000000e-01,-5.27771538171122e-05
2.50000000000000e-08,0.00000000000000e+00,4.50000000000000e-01,4.73766236327167e-05
2.50100000000000e-08,4.49999999999915e-02,4.50000000000000e-01,1.40723052249193e-04
2.50300000000000e-08,1.35000000000004e-01,4.50000000000000e-01,3.08300346999427e-04
2.50700000000000e-08,3.15000000000000e-01,4.50000000000000e-01,5.26814074415495e-04
2.51000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,5.84769000962861e-04
2.51080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,5.44468437954970e-04
2.51240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.67124557821164e-04
2.51560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,3.17294600370700e-04
2.52200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.09108916929834e-04
2.53480000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-1.44367785013472e-03
2.56040000000000e-08,4.50000000000000e-01,4.50000000000000e-01,-3.60905308787386e-03
2.61160000000000e-08,4.50000000000000e-01,4.50000000000000e-01,3.06561309968948e-02
2.71400000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.08878066758694e-01
2.91880000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.61186120983717e-01
3.01000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,4.38560126126540e-01
3.01100000000000e-08,4.50000000000000e-01,4.05000000000023e-01,4.41462669443409e-01
3.01300000000000e-08,4.50000000000000e-01,3.15000000000011e-01,4.45797920473663e-01
3.01700000000000e-08,4.50000000000000e-01,1.35000000000015e-01,4.49191954192070e-01
3.02000000000000e-08,4.50000000000000e-01,1.08801856413265e-14,4.49731177125662e-01
3.02080000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49783440236499e-01
3.02240000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49862526112356e-01
3.02560000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49935001087200e-01
3.03200000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49982376840795e-01
3.04480000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49970086808644e-01
3.07040000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49977138974922e-01
3.12160000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49985626569206e-01
3.21744118210994e-08,4.50000000000000e-01,0.00000000000000e+00,4.49979379947780e-01
3.36586115543173e-08,4.50000000000000e-01,0.00000000000000e+00,4.49985417434338e-01
3.51000000000000e-08,4.49999999999978e-01,0.00000000000000e+00,4.49983062612994e-01
3.51100000000000e-08,4.04999999999986e-01,0.00000000000000e+00,4.49936581133360e-01
3.51300000000000e-08,3.14999999999974e-01,0.00000000000000e+00,4.49866394513894e-01
3.51700000000000e-08,1.34999999999978e-01,0.00000000000000e+00,4.49971267688204e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.50865623242271e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.51211489927693e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.51732899339988e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.52208645468468e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.52239958344295e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.47643635733832e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.38067892084210e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.46979779710631e-01
3.71569022028205e-08,0.00000000000000e+00,0.00000000000000e+00,4.51239347468213e-01
3.85831876621679e-08,0.00000000000000e+00,0.00000000000000e+00,4.48302733203889e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.50694475282459e-01
3.93539381391704e-08,0.00000000000000e+00,0.00000000000000e+00,4.49947336672036e-01
3.98618144175111e-08,0.00000000000000e+00,0.00000000000000e+00,4.49700963763952e-01
4.08775669741925e-08,0.00000000000000e+00,0.00000000000000e+00,4.49922575479732e-01
4.29090720875553e-08,0.00000000000000e+00,0.00000000000000e+00,4.49801897966572e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,4.49967252357582e-01
4.50100000000000e-08,4.49999999999915e-02,0.00000000000000e+00,4.50012494304180e-01
4.50300000000000e-08,1.35000000000004e-01,0.00000000000000e+00,4.50070194584871e-01
4.50700000000000e-08,3.15000000000000e-01,0.00000000000000e+00,4.50057078138327e-01
4.51000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49982027444934e-01
4.51080000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49935987545238e-01
4.51240000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49864312038536e-01
4.51560000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49804524572899e-01
4.52200000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49803753677447e-01
4.53480000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49850319224842e-01
4.56040000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.49866779865803e-01
4.61160000000000e-08,4.50000000000000e-01,0.00000000000000e+00,4.50822053704668e-01
4.71400000000000e-08,4.50000000000000e-01,0.00000000000000e+00,2.37125636782416e-01
4.91880000000000e-08,4.50000000000000e-01,0.00000000000000e+00,-3.62301634847491e-02
5.00000000000000e-08,4.50000000000000e-01,0.00000000000000e+00,1.91943333494165e-02
5.00100000000000e-08,4.50000000000000e-01,4.49999999999915e-02,1.87669501878945e-02
5.00300000000000e-08,4.50000000000000e-01,1.34999999999974e-01,1.76586394472241e-02
5.00700000000000e-08,4.50000000000000e-01,3.15000000000000e-01,1.47168590212403e-02
5.01000000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.25024914166962e-02
5.01080000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.19620893535898e-02
5.01240000000000e-08,4.50000000000000e-01,4.50000000000000e-01,1.08949183888672e-02
5.01560000000000e-08,4.50000000000000e-01,4.50000000000000e-01,9.07538356483321e-03
5.02200000000000e-08,4.50000000000000e-01,4.50000000000000e-01,6.24049673114448e-03
