Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,5.00000000000000e-01,0.00000000000000e+00,3.64024084585008e-03,0.00000000000000e+00
1.00100000000000e-08,5.00000000000000e-01,4.99999999999988e-02,2.99851954455287e-03,0.00000000000000e+00
1.00300000000000e-08,5.00000000000000e-01,1.49999999999996e-01,2.20735398074600e-03,0.00000000000000e+00
1.00700000000000e-08,5.00000000000000e-01,3.49999999999992e-01,1.53095817153837e-03,0.00000000000000e+00
1.01000000000000e-08,5.00000000000000e-01,4.99999999999996e-01,1.23580976219512e-03,0.00000000000000e+00
1.01080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.16610032326600e-03,0.00000000000000e+00
1.01240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.03342470268675e-03,0.00000000000000e+00
1.01560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,8.05425171794119e-04,0.00000000000000e+00
1.02200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.71918631257708e-04,0.00000000000000e+00
1.03480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.64501607812860e-04,0.00000000000000e+00
1.06040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.37056426733778e-06,0.00000000000000e+00
1.11160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,8.31544209243390e-07,0.00000000000000e+00
1.21400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.74973001700746e-06,0.00000000000000e+00
1.41880000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.53645282852544e-06,0.00000000000000e+00
1.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.39225234012212e-06,0.00000000000000e+00
1.51100000000000e-08,4.49999999999993e-01,5.00000000000000e-01,1.83617902276917e-04,5.00000000000071e-02
1.51300000000000e-08,3.49999999999995e-01,5.00000000000000e-01,4.47707102102533e-04,1.50000000000005e-01
1.51700000000000e-08,1.50000000000000e-01,5.00000000000000e-01,5.20855987326353e-04,3.50000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.83472670031894e-04,5.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,5.00000000000000e-01,3.21620604760632e-04,5.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.19132008646657e-04,5.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,5.00000000000000e-01,9.83538334964687e-05,5.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,5.00000000000000e-01,2.26611535967952e-05,5.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.56383182692804e-05,5.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-2.99441886135159e-04,5.00000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,5.00000000000000e-01,-1.31657754271373e-04,5.00000000000000e-01
1.70996225550066e-08,0.00000000000000e+00,5.00000000000000e-01,3.79945147440507e-05,5.00000000000000e-01
1.87345020472161e-08,0.00000000000000e+00,5.00000000000000e-01,-5.17104149973672e-05,5.00000000000000e-01
2.07452172014962e-08,0.00000000000000e+00,5.00000000000000e-01,1.22230519062291e-04,5.00000000000000e-01
2.45452172014962e-08,0.00000000000000e+00,5.00000000000000e-01,-1.39776672123168e-04,5.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,5.00000000000000e-01,1.33412429407235e-04,5.00000000000000e-01
2.50100000000000e-08,4.99999999999905e-02,5.00000000000000e-01,2.25530411814716e-04,5.00000000000000e-01
2.50300000000000e-08,1.50000000000005e-01,5.00000000000000e-01,3.90421457212083e-04,5.00000000000000e-01
2.50700000000000e-08,3.50000000000000e-01,5.00000000000000e-01,6.05233732091870e-04,5.00000000000000e-01
2.51000000000000e-08,5.00000000000000e-01,5.00000000000000e-01,6.32658456745622e-04,5.00000000000000e-01
2.51080000000000e-08,5.00000000000000e-01,5.00000000000000e-01,5.76696867259384e-04,5.00000000000000e-01
2.51240000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.62261861449299e-04,5.00000000000000e-01
2.51560000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.80235656557365e-04,5.00000000000000e-01
2.52200000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-7.55667925740111e-04,5.00000000000000e-01
2.53480000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-2.84017211778911e-03,5.00000000000000e-01
2.56040000000000e-08,5.00000000000000e-01,5.00000000000000e-01,-4.80367424288834e-03,5.00000000000000e-01
2.61160000000000e-08,5.00000000000000e-01,5.00000000000000e-01,1.27586661376403e-01,5.00000000000000e-01
2.71400000000000e-08,5.00000000000000e-01,5.00000000000000e-01,4.83305738910516e-01,5.00000000000000e-01
