Time,v(clk),v(data),v(out)
1.00000000000000e-08,5.50000000000000e-01,0.00000000000000e+00,2.25046714918686e-05
1.00100000000000e-08,5.50000000000000e-01,5.49999999999987e-02,2.15484511242522e-05
1.00300000000000e-08,5.50000000000000e-01,1.64999999999996e-01,1.96965918764364e-05
1.00700000000000e-08,5.50000000000000e-01,3.84999999999991e-01,1.71161463095246e-05
1.01000000000000e-08,5.50000000000000e-01,5.49999999999996e-01,1.28182079615763e-05
1.01080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.18899794575716e-05
1.01240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.67078040890051e-06
1.01560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,8.24551735290752e-06
1.02200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.53035148089365e-06
1.03480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.48175830177941e-05
1.06040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.53326700246953e-05
1.11160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,9.77436979864715e-06
1.20683313084406e-08,5.50000000000000e-01,5.50000000000000e-01,1.24538289655047e-05
1.39729939253220e-08,5.50000000000000e-01,5.50000000000000e-01,9.89720150011003e-06
1.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.09183983920957e-05
1.51100000000000e-08,4.94999999999992e-01,5.50000000000000e-01,-4.96819663856132e-05
1.51300000000000e-08,3.84999999999995e-01,5.50000000000000e-01,-1.63488649501754e-04
1.51700000000000e-08,1.65000000000000e-01,5.50000000000000e-01,-3.13358445023143e-04
1.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-2.51011283379385e-04
1.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.36424061415272e-04
1.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.60669133523942e-05
1.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,2.76361178647676e-04
1.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,3.87684801079001e-04
1.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,2.07720638716880e-04
1.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-1.90346818660741e-04
1.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-6.12938275403214e-05
1.72400000000000e-08,0.00000000000000e+00,5.50000000000000e-01,-7.50018596455074e-05
1.85853967596259e-08,0.00000000000000e+00,5.50000000000000e-01,1.00888495962898e-04
2.11608428455642e-08,0.00000000000000e+00,5.50000000000000e-01,-2.92469790802007e-06
2.45769988958019e-08,0.00000000000000e+00,5.50000000000000e-01,-2.55528563126782e-05
2.50000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,1.27339180100730e-04
2.50100000000000e-08,5.49999999999896e-02,5.50000000000000e-01,2.24537075112261e-04
2.50300000000000e-08,1.65000000000005e-01,5.50000000000000e-01,3.97665201669846e-04
2.50700000000000e-08,3.85000000000000e-01,5.50000000000000e-01,6.34268302425411e-04
2.51000000000000e-08,5.50000000000000e-01,5.50000000000000e-01,6.79085939099169e-04
2.51080000000000e-08,5.50000000000000e-01,5.50000000000000e-01,6.20231242371053e-04
2.51240000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.03127461995122e-04
2.51560000000000e-08,5.50000000000000e-01,5.50000000000000e-01,2.17699190642455e-04
2.52200000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-7.53183952005652e-04
2.53480000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-3.03557615733672e-03
2.56040000000000e-08,5.50000000000000e-01,5.50000000000000e-01,-3.48006309685957e-03
2.61160000000000e-08,5.50000000000000e-01,5.50000000000000e-01,1.98920850995078e-01
2.71400000000000e-08,5.50000000000000e-01,5.50000000000000e-01,5.50915485571239e-01
2.88621433258085e-08,5.50000000000000e-01,5.50000000000000e-01,5.48312569853122e-01
3.13379548866476e-08,5.50000000000000e-01,5.50000000000000e-01,5.52006347220446e-01
3.49958223861403e-08,5.50000000000000e-01,5.50000000000000e-01,5.48050478248842e-01
3.51000000000000e-08,5.49999999999973e-01,5.50000000000000e-01,5.50660972852325e-01
3.51100000000000e-08,4.94999999999983e-01,5.50000000000000e-01,5.50484720175255e-01
3.51300000000000e-08,3.84999999999968e-01,5.50000000000000e-01,5.50199996797495e-01
3.51700000000000e-08,1.64999999999973e-01,5.50000000000000e-01,5.50197138911025e-01
3.52000000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51094032528180e-01
3.52080000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51443968404065e-01
3.52240000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.51996075059904e-01
3.52560000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52562260955965e-01
3.53200000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.52641760180109e-01
3.54480000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.48049792327620e-01
3.57040000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.31491476117130e-01
3.62160000000000e-08,0.00000000000000e+00,5.50000000000000e-01,5.39544006379984e-01
