Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,3.03771570255747e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,1.98999297565117e-05
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,5.83318598162963e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.79482113785257e-07
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,-1.82995050888868e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.83763628174016e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.97015106058462e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.91711634549785e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.50468021837014e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.37003187092511e-07
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.46186386373376e-06
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.47821474827992e-07
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.91122123086043e-06
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.34931677700058e-07
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.54200705238246e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-1.12074378658775e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-2.28934342433221e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-4.05998755938219e-06
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.63342648302340e-04
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.85111422678067e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,9.59395586613190e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.93007598948775e-05
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-7.14975701601256e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.52830690789699e-04
1.56599282682286e-08,0.00000000000000e+00,6.00000000000000e-01,-2.95832537750593e-04
1.59662251078409e-08,0.00000000000000e+00,6.00000000000000e-01,1.95299716841117e-04
