Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,2.84707976757788e-05,0.00000000000000e+00
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,2.76710529463764e-05,0.00000000000000e+00
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.64680390367894e-05,0.00000000000000e+00
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,2.48003507739569e-05,0.00000000000000e+00
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,2.37922082962985e-05,0.00000000000000e+00
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.35020108520570e-05,0.00000000000000e+00
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.36330385663328e-05,0.00000000000000e+00
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.52906735478120e-05,0.00000000000000e+00
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.67881954711183e-05,0.00000000000000e+00
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.73245372487477e-05,0.00000000000000e+00
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.56981957894101e-05,0.00000000000000e+00
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.51814061352426e-05,0.00000000000000e+00
1.21400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.49572115784465e-05,0.00000000000000e+00
1.41880000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.35897531822909e-05,0.00000000000000e+00
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.35786511759185e-05,0.00000000000000e+00
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,1.86285114306385e-04,6.00000000000085e-02
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,3.64191986742708e-04,1.80000000000006e-01
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,3.43899251779280e-04,4.20000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.48446595073174e-04,6.00000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.30998286995059e-04,6.00000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.04190263253658e-04,6.00000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.68629928455832e-04,6.00000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.55248073071135e-05,6.00000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.94958213350863e-04,6.00000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-6.22576864773954e-05,6.00000000000000e-01
1.61599150146691e-08,0.00000000000000e+00,6.00000000000000e-01,-2.67867998260639e-05,6.00000000000000e-01
1.68306876975110e-08,0.00000000000000e+00,6.00000000000000e-01,2.28123562906364e-05,6.00000000000000e-01
1.78068765824815e-08,0.00000000000000e+00,6.00000000000000e-01,1.28193950008204e-04,6.00000000000000e-01
1.95986075159853e-08,0.00000000000000e+00,6.00000000000000e-01,-1.18366970100688e-04,6.00000000000000e-01
2.21088262902308e-08,0.00000000000000e+00,6.00000000000000e-01,1.68310923173013e-04,6.00000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.33440561531828e-04,6.00000000000000e-01
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,-7.46373431723124e-06,6.00000000000000e-01
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.06479513775386e-04,6.00000000000000e-01
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.91756806122415e-04,6.00000000000000e-01
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.38566494284014e-04,6.00000000000000e-01
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.60546733348971e-04,6.00000000000000e-01
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.69050309118668e-04,6.00000000000000e-01
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.19304583515839e-04,6.00000000000000e-01
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.90187259152732e-03,6.00000000000000e-01
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.18040233304243e-03,6.00000000000000e-01
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.43885074201686e-02,6.00000000000000e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.33616391573570e-01,6.00000000000000e-01
2.71400000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.16441420857970e-01,6.00000000000000e-01
2.81570110436184e-08,6.00000000000000e-01,6.00000000000000e-01,5.83583539059619e-01,6.00000000000000e-01
3.01910331308552e-08,6.00000000000000e-01,6.00000000000000e-01,6.15000600768037e-01,6.00000000000000e-01
3.34041086167507e-08,6.00000000000000e-01,6.00000000000000e-01,5.84422120270366e-01,6.00000000000000e-01
3.51000000000000e-08,5.99999999999970e-01,6.00000000000000e-01,6.14182926478245e-01,6.00000000000000e-01
3.51100000000000e-08,5.39999999999982e-01,6.00000000000000e-01,6.08436003779097e-01,6.00000000000000e-01
3.51300000000000e-08,4.19999999999965e-01,6.00000000000000e-01,6.01561563559490e-01,6.00000000000000e-01
3.51700000000000e-08,1.79999999999970e-01,6.00000000000000e-01,6.00254625676290e-01,6.00000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02186376671911e-01,6.00000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02628857627348e-01,6.00000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.03145573005966e-01,6.00000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,6.02309147864867e-01,6.00000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.92542856253545e-01,6.00000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.81644032948002e-01,6.00000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.97922190918237e-01,6.00000000000000e-01
3.62045067148027e-08,0.00000000000000e+00,6.00000000000000e-01,5.99999094309645e-01,6.00000000000000e-01
3.68568954373809e-08,0.00000000000000e+00,6.00000000000000e-01,5.99176897869918e-01,6.00000000000000e-01
3.81616728825373e-08,0.00000000000000e+00,6.00000000000000e-01,6.00202014872488e-01,6.00000000000000e-01
4.07712277728501e-08,0.00000000000000e+00,6.00000000000000e-01,5.99499068315794e-01,6.00000000000000e-01
4.45712277728501e-08,0.00000000000000e+00,6.00000000000000e-01,6.00289183038727e-01,6.00000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,5.99654787240179e-01,6.00000000000000e-01
