Time,v(clk),v(data),v(out)
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-1.22688004798241e-06
1.00100000000000e-08,6.00000000000000e-01,5.99999999999985e-02,3.81275599781183e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,8.33684535751777e-06
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,7.09309126241398e-06
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,3.55480154810850e-06
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.96683948997067e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.11859998083919e-06
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,5.22919083600221e-06
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.57174431235963e-06
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,4.64255930046273e-06
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.47368078183652e-06
1.11035244486488e-08,6.00000000000000e-01,6.00000000000000e-01,4.17589058609481e-06
1.21025733459463e-08,6.00000000000000e-01,6.00000000000000e-01,2.57097648588209e-06
1.41006711405415e-08,6.00000000000000e-01,6.00000000000000e-01,3.52089308824867e-06
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.28273422831805e-06
1.51100000000000e-08,5.39999999999991e-01,6.00000000000000e-01,-5.65288963368035e-05
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.48909136309841e-04
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-1.69761203888209e-04
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,4.46092132146136e-05
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.75706651459259e-04
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.47147470499909e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.79787543435602e-04
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.15442672282078e-04
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.36664566162972e-04
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.23028058392895e-05
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-9.42770753112419e-05
1.68703138979100e-08,0.00000000000000e+00,6.00000000000000e-01,1.48773927463363e-04
1.81789416937300e-08,0.00000000000000e+00,6.00000000000000e-01,-9.71431729996329e-05
1.96488575893494e-08,0.00000000000000e+00,6.00000000000000e-01,6.67603153770239e-05
2.25886893805881e-08,0.00000000000000e+00,6.00000000000000e-01,-4.95788186513401e-05
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,3.78421085231589e-05
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.50358494592676e-04
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,3.27931787619071e-04
2.50700000000000e-08,4.20000000000000e-01,6.00000000000000e-01,4.72673367842520e-04
2.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.20874550163272e-04
2.51080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.26872774141707e-05
2.51240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-7.57265058848773e-04
2.51560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.45478528029813e-03
2.52200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-4.87708435384944e-03
2.53480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.33854423698988e-02
2.56040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.85446701956657e-01
2.61160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.25889109525293e-01
2.67309817345559e-08,6.00000000000000e-01,6.00000000000000e-01,5.78404747298685e-01
2.79609452036678e-08,6.00000000000000e-01,6.00000000000000e-01,6.20421914056954e-01
2.95608563313456e-08,6.00000000000000e-01,6.00000000000000e-01,5.80144918557084e-01
3.01000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.16849996150077e-01
3.01100000000000e-08,6.00000000000000e-01,5.40000000000031e-01,6.10836920238282e-01
3.01300000000000e-08,6.00000000000000e-01,4.20000000000014e-01,6.03105799521158e-01
3.01700000000000e-08,6.00000000000000e-01,1.80000000000020e-01,5.99775084927643e-01
3.02000000000000e-08,6.00000000000000e-01,1.44328993201270e-14,5.99946734257212e-01
3.02080000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99935241204113e-01
3.02240000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99915215426604e-01
3.02560000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99931730846238e-01
3.03200000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99937214760401e-01
3.04480000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99955334061672e-01
3.07040000000000e-08,6.00000000000000e-01,0.00000000000000e+00,5.99981779549058e-01
3.10822270000384e-08,6.00000000000000e-01,0.00000000000000e+00,5.99955754467446e-01
3.17918185441234e-08,6.00000000000000e-01,0.00000000000000e+00,5.99977119698789e-01
3.27705717726043e-08,6.00000000000000e-01,0.00000000000000e+00,5.99966738964967e-01
3.47280782295663e-08,6.00000000000000e-01,0.00000000000000e+00,5.99980662110207e-01
