Time,i(vdd)
6.03831289289571e-06,6.51593356300245e-07
6.07831289289571e-06,-6.95287315409334e-07
6.11831289289571e-06,6.49273568570575e-07
6.15831289289571e-06,-6.92982336603680e-07
6.19831289289571e-06,6.46971331316571e-07
6.23831289289571e-06,-6.90692686347648e-07
6.27831289289571e-06,6.44683541548892e-07
6.31831289289571e-06,-6.88417130248530e-07
6.35831289289571e-06,6.42418503970862e-07
6.39831289289571e-06,-6.86149578046445e-07
6.43831289289571e-06,6.40163110851762e-07
6.47831289289571e-06,-6.83899122057306e-07
6.51831289289571e-06,6.37920166035513e-07
6.55831289289571e-06,-6.81662421532501e-07
6.59831289289571e-06,6.35690257543567e-07
6.63831289289571e-06,-6.79438912420611e-07
6.67831289289571e-06,6.33473333782458e-07
6.71831289289571e-06,-6.77228338494155e-07
6.75831289289571e-06,6.31269229874064e-07
6.79831289289571e-06,-6.75030498413675e-07
6.83831289289571e-06,6.29077765354616e-07
6.87831289289570e-06,-6.72845199985355e-07
6.91831289289570e-06,6.26898757623233e-07
6.95831289289570e-06,-6.70672262423268e-07
6.99831289289570e-06,6.24783280367813e-07
7.03831289289570e-06,-6.68554459236623e-07
7.07831289289570e-06,6.22641804713701e-07
7.11831289289570e-06,-6.66410827668231e-07
7.15831289289570e-06,6.20499526512820e-07
7.19831289289570e-06,-6.64273263092492e-07
7.23831289289570e-06,6.18367255468431e-07
7.27831289289570e-06,-6.62146927036026e-07
7.31831289289570e-06,6.16246512483594e-07
7.35831289289570e-06,-6.60032129819747e-07
7.39831289289570e-06,6.14137228312665e-07
7.43831289289570e-06,-6.57928695881592e-07
7.47831289289570e-06,6.12039227971724e-07
7.51831289289570e-06,-6.55836450429895e-07
7.55831289289570e-06,6.09952348578505e-07
7.59831289289570e-06,-6.53755235673855e-07
7.63831289289570e-06,6.07876432316808e-07
7.67831289289570e-06,-6.51684897028983e-07
7.71831289289570e-06,6.05811325824736e-07
7.75831289289570e-06,-6.49625282075704e-07
7.79831289289570e-06,6.03756878488614e-07
7.83831289289570e-06,-6.47576239546224e-07
7.87831289289570e-06,6.01712940054880e-07
7.91831289289569e-06,-6.45537626041500e-07
7.95831289289569e-06,5.99679367056616e-07
7.99831289289569e-06,-6.43509295054067e-07
8.00000000000000e-06,5.75324497164873e-07
