Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,6.50000000000000e-01,0.00000000000000e+00,2.71343986373383e-05,0.00000000000000e+00
1.00100000000000e-08,6.50000000000000e-01,6.49999999999984e-02,2.08380780960041e-05,0.00000000000000e+00
1.00300000000000e-08,6.50000000000000e-01,1.94999999999995e-01,1.18234100828368e-05,0.00000000000000e+00
1.00700000000000e-08,6.50000000000000e-01,4.54999999999989e-01,3.80239088921402e-06,0.00000000000000e+00
1.01000000000000e-08,6.50000000000000e-01,6.49999999999995e-01,2.87577551297269e-06,0.00000000000000e+00
1.01080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.14660268115746e-06,0.00000000000000e+00
1.01240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.88042201436567e-06,0.00000000000000e+00
1.01560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,4.31492942357115e-06,0.00000000000000e+00
1.02200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.04420884390116e-06,0.00000000000000e+00
1.03480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.79980194286306e-06,0.00000000000000e+00
1.06040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,2.48960415416728e-06,0.00000000000000e+00
1.11160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.98259076032888e-06,0.00000000000000e+00
1.21400000000000e-08,6.50000000000000e-01,6.50000000000000e-01,2.12213576039535e-06,0.00000000000000e+00
1.41880000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.49074592311824e-06,0.00000000000000e+00
1.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.71794431038080e-06,0.00000000000000e+00
1.51100000000000e-08,5.84999999999991e-01,6.50000000000000e-01,1.65642786499783e-04,6.50000000000092e-02
1.51300000000000e-08,4.54999999999994e-01,6.50000000000000e-01,3.06484876721948e-04,1.95000000000006e-01
1.51700000000000e-08,1.95000000000000e-01,6.50000000000000e-01,1.61970977952841e-04,4.55000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.10341398594380e-04,6.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,1.02718588922052e-04,6.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,9.06580615500432e-05,6.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,7.05785432208936e-05,6.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-4.97330462872897e-05,6.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-2.04281915254328e-04,6.50000000000000e-01
1.56896870797212e-08,0.00000000000000e+00,6.50000000000000e-01,-3.12149287412071e-05,6.50000000000000e-01
1.61348253463229e-08,0.00000000000000e+00,6.50000000000000e-01,-6.04046900231844e-06,6.50000000000000e-01
1.66396355872296e-08,0.00000000000000e+00,6.50000000000000e-01,1.35307898637364e-04,6.50000000000000e-01
1.76492560690428e-08,0.00000000000000e+00,6.50000000000000e-01,-1.58116724677563e-04,6.50000000000000e-01
1.88086525446121e-08,0.00000000000000e+00,6.50000000000000e-01,1.67127615417979e-04,6.50000000000000e-01
2.10642467202267e-08,0.00000000000000e+00,6.50000000000000e-01,-1.68228914314999e-04,6.50000000000000e-01
2.44436249936009e-08,0.00000000000000e+00,6.50000000000000e-01,1.68216132676135e-04,6.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,-1.55687405443292e-04,6.50000000000000e-01
2.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,-2.26201361948550e-05,6.50000000000000e-01
2.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,1.84428996367482e-04,6.50000000000000e-01
2.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,3.35077097699914e-04,6.50000000000000e-01
2.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-4.70586864864286e-04,6.50000000000000e-01
2.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-1.04539675487587e-03,6.50000000000000e-01
2.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-2.25962365204632e-03,6.50000000000000e-01
2.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-4.35520814949575e-03,6.50000000000000e-01
2.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,-5.18189648050350e-03,6.50000000000000e-01
2.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,1.40367783054673e-01,6.50000000000000e-01
2.56040000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.05808804760164e-01,6.50000000000000e-01
2.61160000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.63722026011242e-01,6.50000000000000e-01
2.67114004308023e-08,6.50000000000000e-01,6.50000000000000e-01,6.36080849371767e-01,6.50000000000000e-01
2.77296448765360e-08,6.50000000000000e-01,6.50000000000000e-01,6.61632541264532e-01,6.50000000000000e-01
2.90700235434687e-08,6.50000000000000e-01,6.50000000000000e-01,6.37995972327307e-01,6.50000000000000e-01
3.17507808773341e-08,6.50000000000000e-01,6.50000000000000e-01,6.60809696139002e-01,6.50000000000000e-01
3.51000000000000e-08,6.49999999999968e-01,6.50000000000000e-01,6.38606546151956e-01,6.50000000000000e-01
3.51100000000000e-08,5.84999999999980e-01,6.50000000000000e-01,6.42843275827420e-01,6.50000000000000e-01
3.51300000000000e-08,4.54999999999962e-01,6.50000000000000e-01,6.48088792660943e-01,6.50000000000000e-01
3.51700000000000e-08,1.94999999999968e-01,6.50000000000000e-01,6.50551729441389e-01,6.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52093629995938e-01,6.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52522446321661e-01,6.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.52955066959990e-01,6.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.51002115060453e-01,6.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.35491396451990e-01,6.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.27498411309512e-01,6.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.51746154745991e-01,6.50000000000000e-01
3.61856172885950e-08,0.00000000000000e+00,6.50000000000000e-01,6.47741484941213e-01,6.50000000000000e-01
3.68177459341220e-08,0.00000000000000e+00,6.50000000000000e-01,6.51419896050944e-01,6.50000000000000e-01
3.80820032251762e-08,0.00000000000000e+00,6.50000000000000e-01,6.48316161146611e-01,6.50000000000000e-01
4.06105178072844e-08,0.00000000000000e+00,6.50000000000000e-01,6.51396969559196e-01,6.50000000000000e-01
4.44105178072844e-08,0.00000000000000e+00,6.50000000000000e-01,6.48493253835714e-01,6.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,6.50000000000000e-01,6.51162223716389e-01,6.50000000000000e-01
4.50100000000000e-08,6.49999999999877e-02,6.50000000000000e-01,6.50716859155134e-01,5.85000000000012e-01
4.50300000000000e-08,1.95000000000006e-01,6.50000000000000e-01,6.50092978926320e-01,4.54999999999994e-01
4.50700000000000e-08,4.55000000000000e-01,6.50000000000000e-01,6.51407736898805e-01,1.95000000000000e-01
4.51000000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.56506126430637e-01,0.00000000000000e+00
4.51080000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.58284883787567e-01,0.00000000000000e+00
4.51240000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.61402871393172e-01,0.00000000000000e+00
4.51560000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.67451285898134e-01,0.00000000000000e+00
4.52200000000000e-08,6.50000000000000e-01,6.50000000000000e-01,6.60464445557716e-01,0.00000000000000e+00
4.53480000000000e-08,6.50000000000000e-01,6.50000000000000e-01,3.12243069261732e-01,0.00000000000000e+00
4.55893051468313e-08,6.50000000000000e-01,6.50000000000000e-01,-4.42265860063523e-02,0.00000000000000e+00
4.59059838735440e-08,6.50000000000000e-01,6.50000000000000e-01,2.92325317318859e-02,0.00000000000000e+00
4.65393413269694e-08,6.50000000000000e-01,6.50000000000000e-01,-2.17458340119191e-02,0.00000000000000e+00
