Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.00000000000000e-01,0.00000000000000e+00,2.59192920066503e-05
1.00100000000000e-08,7.00000000000000e-01,6.99999999999983e-02,2.07329123058028e-05
1.00300000000000e-08,7.00000000000000e-01,2.09999999999995e-01,1.45116004972301e-05
1.00700000000000e-08,7.00000000000000e-01,4.89999999999988e-01,9.22287039666764e-06
1.01000000000000e-08,7.00000000000000e-01,6.99999999999995e-01,7.51225556597235e-06
1.01080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.56065142755447e-06
1.01240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,8.58943685415336e-06
1.01560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.25294562352204e-05
1.02200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.54526015114995e-05
1.03480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,8.80052627215064e-06
1.06040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.21065416109206e-05
1.11160000000000e-08,7.00000000000000e-01,7.00000000000000e-01,9.90929789497323e-06
1.21400000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.11799466967584e-05
1.41880000000000e-08,7.00000000000000e-01,7.00000000000000e-01,9.24628978067219e-06
1.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,1.04488819340394e-05
1.51100000000000e-08,6.29999999999990e-01,7.00000000000000e-01,-4.97442682770299e-05
1.51300000000000e-08,4.89999999999994e-01,7.00000000000000e-01,-1.32757475422629e-04
1.51700000000000e-08,2.10000000000000e-01,7.00000000000000e-01,-4.30049652648951e-05
1.52000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,2.25227208064512e-04
1.52080000000000e-08,0.00000000000000e+00,7.00000000000000e-01,3.28093889404905e-04
1.52240000000000e-08,0.00000000000000e+00,7.00000000000000e-01,4.03267182842948e-04
1.52560000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.40355553190030e-04
1.53200000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-3.24130321178014e-04
1.54480000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.32348136589008e-04
1.57040000000000e-08,0.00000000000000e+00,7.00000000000000e-01,-1.44627001985798e-04
1.60358869216422e-08,0.00000000000000e+00,7.00000000000000e-01,1.90199883763207e-04
1.66341602818136e-08,0.00000000000000e+00,7.00000000000000e-01,-7.63506878075169e-06
1.74082228083207e-08,0.00000000000000e+00,7.00000000000000e-01,-4.91861746908934e-05
1.87801215875063e-08,0.00000000000000e+00,7.00000000000000e-01,9.50431373787450e-05
2.15239191458774e-08,0.00000000000000e+00,7.00000000000000e-01,-8.97152825940556e-05
2.50000000000000e-08,0.00000000000000e+00,7.00000000000000e-01,1.14645820439249e-04
2.50100000000000e-08,6.99999999999867e-02,7.00000000000000e-01,1.71458803148269e-04
2.50300000000000e-08,2.10000000000007e-01,7.00000000000000e-01,2.49500972910870e-04
2.50700000000000e-08,4.90000000000000e-01,7.00000000000000e-01,2.38756173886800e-04
2.51000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.02431839126205e-03
2.51080000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-1.77410498184967e-03
2.51240000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-3.22269918405993e-03
2.51560000000000e-08,7.00000000000000e-01,7.00000000000000e-01,-5.19505360315719e-03
2.52200000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.85726426576035e-03
2.53480000000000e-08,7.00000000000000e-01,7.00000000000000e-01,3.14436548583119e-01
2.56040000000000e-08,7.00000000000000e-01,7.00000000000000e-01,7.11212948937860e-01
2.59553544552419e-08,7.00000000000000e-01,7.00000000000000e-01,6.91208800029831e-01
2.65618102348234e-08,7.00000000000000e-01,7.00000000000000e-01,7.08727296371370e-01
2.73085876489561e-08,7.00000000000000e-01,7.00000000000000e-01,6.91815270736371e-01
2.84523475159695e-08,7.00000000000000e-01,7.00000000000000e-01,7.07959690686857e-01
3.01000000000000e-08,7.00000000000000e-01,7.00000000000000e-01,6.92258286329745e-01
