Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,3.75479379515040e-06
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,7.55573794676556e-07
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,-2.44794078053945e-06
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,-4.74129542409746e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,-4.95282228551303e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.64387406299321e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-7.77985461740405e-07
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.53512229715747e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.03214180051781e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.29838340663957e-07
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.90601684514377e-06
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.53070256267256e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.23929883150968e-06
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.20589565507333e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.76115000776432e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-6.58415869437962e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.60427383699556e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-1.20945066664095e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.22362096585879e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.46040801136181e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.74618850347862e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.62881792214516e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.10237127282406e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.36956350226942e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.42063151162071e-04
1.60880574143722e-08,0.00000000000000e+00,7.50000000000000e-01,2.03020014411512e-04
1.66134694552901e-08,0.00000000000000e+00,7.50000000000000e-01,4.11289830521957e-05
1.74411766299984e-08,0.00000000000000e+00,7.50000000000000e-01,-1.20170453705157e-04
1.85707498580630e-08,0.00000000000000e+00,7.50000000000000e-01,1.54179956415474e-04
2.05563495217630e-08,0.00000000000000e+00,7.50000000000000e-01,-1.66544515735698e-04
2.36563266970295e-08,0.00000000000000e+00,7.50000000000000e-01,1.73124350911294e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.82468551099688e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,-3.68719696788866e-08
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,2.41283843322004e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,5.44252777717122e-05
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.28427943657432e-03
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.33099778086941e-03
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.12002688809977e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.25104292549063e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.02908685303520e-02
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.11437413273615e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.70510407747471e-01
2.59521867369785e-08,7.50000000000000e-01,7.50000000000000e-01,7.33578711043693e-01
2.65564344947193e-08,7.50000000000000e-01,7.50000000000000e-01,7.65210470123299e-01
2.73208471441580e-08,7.50000000000000e-01,7.50000000000000e-01,7.36135238512772e-01
2.85870862295916e-08,7.50000000000000e-01,7.50000000000000e-01,7.63172937623685e-01
3.09882512239294e-08,7.50000000000000e-01,7.50000000000000e-01,7.37220742817970e-01
3.47882512239294e-08,7.50000000000000e-01,7.50000000000000e-01,7.62584953031377e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.39979119003270e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.43264053746720e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.47634077867919e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50608666431892e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52345533318802e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52778989063758e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53193071869539e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50836891385536e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.34382463360751e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.17087181810856e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.45101577728118e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51511787205372e-01
3.67909242270615e-08,0.00000000000000e+00,7.50000000000000e-01,7.48220599696125e-01
3.79407726811845e-08,0.00000000000000e+00,7.50000000000000e-01,7.50839745784327e-01
4.02404695894305e-08,0.00000000000000e+00,7.50000000000000e-01,7.48797954772118e-01
4.40404695894305e-08,0.00000000000000e+00,7.50000000000000e-01,7.50777220149306e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49080248661492e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49287330062205e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49611430884168e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.49679419507653e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.48123763965235e-01
4.51080000000000e-08,7.50000000000000e-01,6.90000000000031e-01,7.47370089744758e-01
4.51240000000000e-08,7.50000000000000e-01,5.69999999999994e-01,7.45985320694865e-01
4.51560000000000e-08,7.50000000000000e-01,3.30000000000020e-01,7.43972167336160e-01
4.52000000000000e-08,7.50000000000000e-01,4.29656310529936e-14,7.43210371345499e-01
