Time,i(vdd)
6.03960349947130e-06,-2.91414615299947e-07
6.07960349947130e-06,2.39335318860861e-07
6.11960349947130e-06,-2.91125964647626e-07
6.15960349947130e-06,2.39045041796894e-07
6.19960349947130e-06,-2.90834145124894e-07
6.23960349947130e-06,2.38751152567504e-07
6.27960349947130e-06,-2.90538752630856e-07
6.31960349947130e-06,2.38454262232417e-07
6.35960349947130e-06,-2.90240394787204e-07
6.39960349947130e-06,2.38154440717131e-07
6.43960349947130e-06,-2.89939140725196e-07
6.47960349947130e-06,2.37851756809157e-07
6.51960349947130e-06,-2.89635059079911e-07
6.55960349947130e-06,2.37546278140669e-07
6.59960349947130e-06,-2.89328216585133e-07
6.63960349947130e-06,2.37238070584789e-07
6.67960349947130e-06,-2.89018678434167e-07
6.71960349947130e-06,2.36927199747461e-07
6.75960349947130e-06,-2.88706509105590e-07
6.79960349947130e-06,2.36613728910063e-07
6.83960349947130e-06,-2.88391772418728e-07
6.87960349947130e-06,2.36297721020886e-07
6.91960349947129e-06,-2.88074530194494e-07
6.95960349947129e-06,2.35980072470915e-07
6.99960349947129e-06,-2.87729756499158e-07
7.03960349947129e-06,2.35660868773139e-07
7.07960349947129e-06,-2.87431965457949e-07
7.11960349947129e-06,2.35288420590512e-07
7.15960349947129e-06,-2.87061353370365e-07
7.19960349947129e-06,2.34988009492218e-07
7.23960349947129e-06,-2.86757151384793e-07
7.27960349947129e-06,2.34660553606269e-07
7.31960349947129e-06,-2.86405328234750e-07
7.35960349947129e-06,2.34330980036602e-07
7.39960349947129e-06,-2.86097333666137e-07
7.43960349947129e-06,2.33998804016040e-07
7.47960349947129e-06,-2.85741731859082e-07
7.51960349947129e-06,2.33663856346220e-07
7.55960349947129e-06,-2.85431012752478e-07
7.59960349947129e-06,2.33327141183147e-07
7.63960349947129e-06,-2.85094069609597e-07
7.67960349947129e-06,2.32988939354683e-07
7.71960349947129e-06,-2.84755012759182e-07
7.75960349947129e-06,2.32648881333028e-07
7.79960349947129e-06,-2.84414041161557e-07
7.83960349947129e-06,2.32306963095540e-07
7.87960349947129e-06,-2.84071224058313e-07
7.91960349947129e-06,2.31963227248787e-07
7.95960349947129e-06,-2.83726612896289e-07
7.99960349947129e-06,2.31617721537569e-07
8.00000000000000e-06,-2.64890561365629e-07
