Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,-2.13362710413875e-05,0.00000000000000e+00
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,-1.22806209820608e-05,0.00000000000000e+00
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,-2.80111634076013e-06,0.00000000000000e+00
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,-2.24268034504371e-07,0.00000000000000e+00
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,1.38089146877601e-06,0.00000000000000e+00
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.79950642825721e-06,0.00000000000000e+00
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.70845521649354e-06,0.00000000000000e+00
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.13710990828414e-06,0.00000000000000e+00
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.87151921515849e-06,0.00000000000000e+00
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.91514676307555e-06,0.00000000000000e+00
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.78865223217535e-06,0.00000000000000e+00
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.85790334408364e-06,0.00000000000000e+00
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.46388942512963e-06,0.00000000000000e+00
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.47593460249275e-06,0.00000000000000e+00
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.14865515823482e-06,0.00000000000000e+00
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,1.33765025813810e-04,7.50000000000106e-02
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,1.83505102285264e-04,2.25000000000007e-01
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,7.35282508859750e-05,5.25000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.33972177652562e-04,7.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.17638540907995e-04,7.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.14155904565994e-05,7.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.15201570245742e-04,7.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.49579645999511e-04,7.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-9.62030051611835e-05,7.50000000000000e-01
1.56952250252622e-08,0.00000000000000e+00,7.50000000000000e-01,4.00498487135928e-05,7.50000000000000e-01
1.59504833748755e-08,0.00000000000000e+00,7.50000000000000e-01,1.54332773764254e-04,7.50000000000000e-01
1.64610000741019e-08,0.00000000000000e+00,7.50000000000000e-01,-1.86983046259607e-04,7.50000000000000e-01
1.70199554695095e-08,0.00000000000000e+00,7.50000000000000e-01,1.99828954572784e-04,7.50000000000000e-01
1.80977932849175e-08,0.00000000000000e+00,7.50000000000000e-01,-2.00325109022923e-04,7.50000000000000e-01
1.96894198435445e-08,0.00000000000000e+00,7.50000000000000e-01,2.00509730327386e-04,7.50000000000000e-01
2.22532262962348e-08,0.00000000000000e+00,7.50000000000000e-01,-1.99041646244276e-04,7.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.98406998816171e-04,7.50000000000000e-01
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,2.33114822204082e-04,7.50000000000000e-01
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,2.50402906260952e-04,7.50000000000000e-01
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,-2.06937487385629e-04,7.50000000000000e-01
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.89605607219007e-03,7.50000000000000e-01
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.97870366242034e-03,7.50000000000000e-01
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.66606851843794e-03,7.50000000000000e-01
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-9.47617713966890e-04,7.50000000000000e-01
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.75704982614538e-01,7.50000000000000e-01
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.94352544252972e-01,7.50000000000000e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.66325072074156e-01,7.50000000000000e-01
2.58936090273929e-08,7.50000000000000e-01,7.50000000000000e-01,7.34497463466518e-01,7.50000000000000e-01
2.63885780348626e-08,7.50000000000000e-01,7.50000000000000e-01,7.63248762777500e-01,7.50000000000000e-01
2.70363279499327e-08,7.50000000000000e-01,7.50000000000000e-01,7.36806468401951e-01,7.50000000000000e-01
2.83318277800730e-08,7.50000000000000e-01,7.50000000000000e-01,7.62154926723584e-01,7.50000000000000e-01
3.09228274403535e-08,7.50000000000000e-01,7.50000000000000e-01,7.37410898331957e-01,7.50000000000000e-01
3.47228274403536e-08,7.50000000000000e-01,7.50000000000000e-01,7.61872885874604e-01,7.50000000000000e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.38800895010717e-01,7.50000000000000e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.44491392089651e-01,7.50000000000000e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.50040102928156e-01,7.50000000000000e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50891232635844e-01,7.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52675796920574e-01,7.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52344983085161e-01,7.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.48895941430878e-01,7.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.33020402887243e-01,7.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.23637212306199e-01,7.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.48992599765434e-01,7.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49529499127006e-01,7.50000000000000e-01
3.60096709329546e-08,0.00000000000000e+00,7.50000000000000e-01,7.49911053759811e-01,7.50000000000000e-01
3.66210127988636e-08,0.00000000000000e+00,7.50000000000000e-01,7.49620377366562e-01,7.50000000000000e-01
3.78436965306818e-08,0.00000000000000e+00,7.50000000000000e-01,7.50128541574338e-01,7.50000000000000e-01
4.02890639943182e-08,0.00000000000000e+00,7.50000000000000e-01,7.49701808378081e-01,7.50000000000000e-01
4.40890639943182e-08,0.00000000000000e+00,7.50000000000000e-01,7.50188649501284e-01,7.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49714319405726e-01,7.50000000000000e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49752269885539e-01,6.75000000000014e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49797773429504e-01,5.24999999999993e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.53023106641981e-01,2.25000000000000e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.60831364112115e-01,0.00000000000000e+00
4.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.63527046318463e-01,0.00000000000000e+00
4.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.69077612716236e-01,0.00000000000000e+00
4.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.44852861023100e-01,0.00000000000000e+00
4.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.76085411368973e-01,0.00000000000000e+00
4.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.81300865900790e-02,0.00000000000000e+00
4.55081566927450e-08,7.50000000000000e-01,7.50000000000000e-01,2.26386948768280e-02,0.00000000000000e+00
4.58284700782349e-08,7.50000000000000e-01,7.50000000000000e-01,-1.68300021155787e-02,0.00000000000000e+00
4.61580062177384e-08,7.50000000000000e-01,7.50000000000000e-01,1.34273222388145e-02,0.00000000000000e+00
4.68170784967453e-08,7.50000000000000e-01,7.50000000000000e-01,-1.17395363822151e-02,0.00000000000000e+00
4.81352230547591e-08,7.50000000000000e-01,7.50000000000000e-01,1.12205764191286e-02,0.00000000000000e+00
