Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,4.66490523365120e-06,0.00000000000000e+00
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.84956665143926e-06,0.00000000000000e+00
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,-1.74252827008642e-06,0.00000000000000e+00
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,-2.86549535501168e-06,0.00000000000000e+00
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,-9.44027039026518e-07,0.00000000000000e+00
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.23819448008844e-08,0.00000000000000e+00
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.62222353408681e-06,0.00000000000000e+00
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.70192544867681e-06,0.00000000000000e+00
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.59183223095399e-06,0.00000000000000e+00
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.32011163234930e-06,0.00000000000000e+00
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.42050909810866e-06,0.00000000000000e+00
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.28330491899680e-06,0.00000000000000e+00
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.98786627144147e-06,0.00000000000000e+00
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.73827691938222e-06,0.00000000000000e+00
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.56067875606899e-06,0.00000000000000e+00
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,1.77622399246333e-04,7.50000000000106e-02
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,3.18987894331067e-04,2.25000000000007e-01
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,1.75728218089449e-04,5.25000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.90511279811709e-05,7.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.81749692991112e-05,7.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.88198507666932e-06,7.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.73221807269852e-05,7.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.33738799320937e-04,7.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.16650249574031e-04,7.50000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.14242059511696e-04,7.50000000000000e-01
1.60882068659531e-08,0.00000000000000e+00,7.50000000000000e-01,1.69716205799668e-04,7.50000000000000e-01
1.66120492327837e-08,0.00000000000000e+00,7.50000000000000e-01,4.51669416573789e-05,7.50000000000000e-01
1.74383526856489e-08,0.00000000000000e+00,7.50000000000000e-01,-1.11489325772005e-04,7.50000000000000e-01
1.85559029025300e-08,0.00000000000000e+00,7.50000000000000e-01,1.41145574418610e-04,7.50000000000000e-01
2.05236788876089e-08,0.00000000000000e+00,7.50000000000000e-01,-1.51152162661676e-04,7.50000000000000e-01
2.35786258783084e-08,0.00000000000000e+00,7.50000000000000e-01,1.56866132191682e-04,7.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.63588518936858e-04,7.50000000000000e-01
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,8.60023329474213e-06,7.50000000000000e-01
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,2.38086174067793e-04,7.50000000000000e-01
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,2.65124805931549e-06,7.50000000000000e-01
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.36840333231637e-03,7.50000000000000e-01
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-3.40716066817608e-03,7.50000000000000e-01
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.17562428445606e-03,7.50000000000000e-01
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.20264065259765e-03,7.50000000000000e-01
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.15302444216097e-02,7.50000000000000e-01
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.14441724316782e-01,7.50000000000000e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.70815651593231e-01,7.50000000000000e-01
2.59514092155402e-08,7.50000000000000e-01,7.50000000000000e-01,7.33350188921686e-01,7.50000000000000e-01
2.65552475380158e-08,7.50000000000000e-01,7.50000000000000e-01,7.65386182119419e-01,7.50000000000000e-01
2.73201991048418e-08,7.50000000000000e-01,7.50000000000000e-01,7.35968932861163e-01,7.50000000000000e-01
2.85923731810722e-08,7.50000000000000e-01,7.50000000000000e-01,7.63319221609797e-01,7.50000000000000e-01
3.10057922088096e-08,7.50000000000000e-01,7.50000000000000e-01,7.37069051961802e-01,7.50000000000000e-01
3.48057922088096e-08,7.50000000000000e-01,7.50000000000000e-01,7.62723812861097e-01,7.50000000000000e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.40011345253634e-01,7.50000000000000e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.43278260684353e-01,7.50000000000000e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.47627325334074e-01,7.50000000000000e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50599367536716e-01,7.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52340417143949e-01,7.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52774251167245e-01,7.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53189097890609e-01,7.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50838662937259e-01,7.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.34390349741406e-01,7.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.17086237248063e-01,7.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.45098334743944e-01,7.50000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.51514727924956e-01,7.50000000000000e-01
3.67909155252015e-08,0.00000000000000e+00,7.50000000000000e-01,7.48218365300539e-01,7.50000000000000e-01
3.79407465756045e-08,0.00000000000000e+00,7.50000000000000e-01,7.50841783860471e-01,7.50000000000000e-01
4.02404086764106e-08,0.00000000000000e+00,7.50000000000000e-01,7.48796047728955e-01,7.50000000000000e-01
4.40404086764106e-08,0.00000000000000e+00,7.50000000000000e-01,7.50779068326967e-01,7.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49078626854407e-01,7.50000000000000e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49092267519810e-01,6.75000000000014e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49154977512465e-01,5.24999999999993e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.51227243575396e-01,2.25000000000000e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.56005558964511e-01,0.00000000000000e+00
4.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.57590857026496e-01,0.00000000000000e+00
4.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.60405926325983e-01,0.00000000000000e+00
4.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.65164624746385e-01,0.00000000000000e+00
4.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.46791782726816e-01,0.00000000000000e+00
4.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.70974866188745e-01,0.00000000000000e+00
4.56038108047834e-08,7.50000000000000e-01,7.50000000000000e-01,-7.98459342571542e-02,0.00000000000000e+00
4.58677783585339e-08,7.50000000000000e-01,7.50000000000000e-01,5.75779754849834e-02,0.00000000000000e+00
4.63957134660347e-08,7.50000000000000e-01,7.50000000000000e-01,-4.21986483464844e-02,0.00000000000000e+00
4.69472787436770e-08,7.50000000000000e-01,7.50000000000000e-01,3.68646077711652e-02,0.00000000000000e+00
4.80504092989614e-08,7.50000000000000e-01,7.50000000000000e-01,-3.14984956264051e-02,0.00000000000000e+00
4.98955578806702e-08,7.50000000000000e-01,7.50000000000000e-01,3.12657769362539e-02,0.00000000000000e+00
5.01000000000000e-08,7.50000000000000e-01,7.49999999999957e-01,-1.76562832108292e-02,0.00000000000000e+00
5.04037435350857e-08,7.50000000000000e-01,7.50000000000000e-01,-1.28807510773619e-03,0.00000000000000e+00
5.10112306052571e-08,7.50000000000000e-01,7.50000000000000e-01,1.07403192095285e-03,0.00000000000000e+00
5.22262047455999e-08,7.50000000000000e-01,7.50000000000000e-01,-9.77038940929153e-04,0.00000000000000e+00
5.46561530262855e-08,7.50000000000000e-01,7.50000000000000e-01,9.36306116301475e-04,0.00000000000000e+00
5.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-7.27180328902170e-04,0.00000000000000e+00
