Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,3.93744665397587e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,3.00748261960471e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.80778152474650e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,6.69241279342703e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.17121754843980e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.64308456202067e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.23792874552215e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.38175757463572e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.59370847960256e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.82411324197732e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.64092884129327e-06
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.18262507641885e-06
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.31922354572636e-06
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.30717701324114e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.79688272164887e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-6.66349564969818e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.75383310616783e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-1.65165729580627e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.47609681531342e-05
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.10535659787327e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.77005400662447e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,3.44388258838195e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-6.70120341335970e-05
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.32799755566778e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.89132075338111e-04
1.61285998165462e-08,0.00000000000000e+00,7.50000000000000e-01,1.13440304973397e-04
1.66563071818046e-08,0.00000000000000e+00,7.50000000000000e-01,1.30457856971931e-04
1.76929869530684e-08,0.00000000000000e+00,7.50000000000000e-01,-1.66697460240942e-04
1.87007690308121e-08,0.00000000000000e+00,7.50000000000000e-01,1.93592998599923e-04
2.07163331862996e-08,0.00000000000000e+00,7.50000000000000e-01,-1.90444380284692e-04
2.38074091914580e-08,0.00000000000000e+00,7.50000000000000e-01,1.96843008254577e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.86605355736201e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,-2.26155611465703e-05
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,2.16020640112752e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,1.42435878041518e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.64661507875474e-03
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.54532126096989e-03
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.18736668959578e-03
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.10337189356766e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.62171051357287e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.59077788294039e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.28719124434762e-01
2.60370922957391e-08,7.50000000000000e-01,7.50000000000000e-01,7.56570161122152e-01
2.65815924965091e-08,7.50000000000000e-01,7.50000000000000e-01,7.44584386840011e-01
2.74579525976932e-08,7.50000000000000e-01,7.50000000000000e-01,7.53865076996183e-01
2.85099703726063e-08,7.50000000000000e-01,7.50000000000000e-01,7.46331558161657e-01
3.06140059224326e-08,7.50000000000000e-01,7.50000000000000e-01,7.53088723549140e-01
3.44140059224326e-08,7.50000000000000e-01,7.50000000000000e-01,7.46779213306141e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.52375479523507e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.51801889726741e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.50824094321012e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50717585513269e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52308563738037e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52740960285337e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53260120274253e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52337709370815e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.40916824512352e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.17826558649415e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.36708969658988e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.55314896955516e-01
3.68226465417152e-08,0.00000000000000e+00,7.50000000000000e-01,7.44919946279896e-01
3.80359396251455e-08,0.00000000000000e+00,7.50000000000000e-01,7.53279692293448e-01
4.04625257920062e-08,0.00000000000000e+00,7.50000000000000e-01,7.46221059380791e-01
4.42625257920062e-08,0.00000000000000e+00,7.50000000000000e-01,7.52935016788236e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.47185816207455e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.47704224409110e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.48537254032307e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.49260797577065e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.48343104433675e-01
4.51080000000000e-08,7.50000000000000e-01,6.90000000000031e-01,7.47762665461273e-01
4.51240000000000e-08,7.50000000000000e-01,5.69999999999994e-01,7.46651596593202e-01
4.51560000000000e-08,7.50000000000000e-01,3.30000000000020e-01,7.44920129216407e-01
4.52000000000000e-08,7.50000000000000e-01,4.29656310529936e-14,7.43646284217406e-01
4.52064000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.43612081779772e-01
4.52192000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.43626625519014e-01
4.52448000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.44101081961891e-01
4.52960000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.45826467422287e-01
4.53984000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.48540617380404e-01
4.56032000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.50050831420187e-01
4.58313713362078e-08,7.50000000000000e-01,0.00000000000000e+00,7.49984632809554e-01
4.62877140086233e-08,7.50000000000000e-01,0.00000000000000e+00,7.50007538814580e-01
4.68103676668855e-08,7.50000000000000e-01,0.00000000000000e+00,7.50001244619524e-01
4.78556749834100e-08,7.50000000000000e-01,0.00000000000000e+00,7.49995701441714e-01
4.98215510842239e-08,7.50000000000000e-01,0.00000000000000e+00,7.50005579835356e-01
5.31148235807785e-08,7.50000000000000e-01,0.00000000000000e+00,7.49993700325574e-01
5.51000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.50007293985071e-01
5.51100000000000e-08,6.75000000000027e-01,0.00000000000000e+00,7.49925500345886e-01
5.51300000000000e-08,5.25000000000005e-01,0.00000000000000e+00,7.49822301370008e-01
5.51700000000000e-08,2.25000000000013e-01,0.00000000000000e+00,7.50508867317101e-01
5.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.52268108315476e-01
5.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.52775227411189e-01
5.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.53538267692627e-01
5.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.54276380205853e-01
5.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.55071054653901e-01
5.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.53797446714794e-01
5.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.46262718466350e-01
5.59971545615506e-08,0.00000000000000e+00,0.00000000000000e+00,7.47742823695560e-01
5.65834636846519e-08,0.00000000000000e+00,0.00000000000000e+00,7.49874101737988e-01
5.71434671121110e-08,0.00000000000000e+00,0.00000000000000e+00,7.48796748449948e-01
5.82634739670294e-08,0.00000000000000e+00,0.00000000000000e+00,7.50094103192557e-01
6.05034876768660e-08,0.00000000000000e+00,0.00000000000000e+00,7.49151291662994e-01
