Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.04540620245292e-05
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,2.39573236068130e-05
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,2.69426116842053e-05
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,2.55063415540643e-05
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.48640213134227e-05
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.43088108039802e-05
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.45943369631962e-05
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.63337456262863e-05
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.73736784015544e-05
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.73330665673810e-05
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.75453334151569e-05
1.10889617290851e-08,7.50000000000000e-01,7.50000000000000e-01,2.67779673952841e-05
1.20419174212989e-08,7.50000000000000e-01,7.50000000000000e-01,2.65825789541926e-05
1.39478288057264e-08,7.50000000000000e-01,7.50000000000000e-01,2.56504397418908e-05
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.54098677769134e-05
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-4.15563303480526e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.48132653384633e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-5.09196350804431e-05
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.97699871137772e-04
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.33930051969358e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.82047493392523e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.44652764042597e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.78058876062467e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-3.30681410795945e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-7.24450737919560e-05
1.60288438383029e-08,0.00000000000000e+00,7.50000000000000e-01,1.03430940843405e-05
1.65611245516135e-08,0.00000000000000e+00,7.50000000000000e-01,2.32077457081769e-04
1.76256859782346e-08,0.00000000000000e+00,7.50000000000000e-01,-2.07690235208117e-04
1.86626901184481e-08,0.00000000000000e+00,7.50000000000000e-01,2.55681312117352e-04
2.07366983988750e-08,0.00000000000000e+00,7.50000000000000e-01,-2.06181045732861e-04
2.45366983988750e-08,0.00000000000000e+00,7.50000000000000e-01,2.48121111846872e-04
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.63972580951726e-04
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,-2.11679055887315e-05
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,2.13895843462375e-04
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,5.14360936107371e-04
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.53938149842824e-04
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.34662501199529e-05
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-5.35541858046371e-04
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.09456709180667e-03
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.61679444545034e-03
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.55645097446685e-02
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.24659978630200e-01
2.61160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.75555239445969e-01
2.66206869656161e-08,7.50000000000000e-01,7.50000000000000e-01,7.28824859546686e-01
2.76300608968482e-08,7.50000000000000e-01,7.50000000000000e-01,7.69719504329552e-01
2.90569577255315e-08,7.50000000000000e-01,7.50000000000000e-01,7.30235102372349e-01
3.01000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.68302008581262e-01
3.01100000000000e-08,7.50000000000000e-01,6.75000000000039e-01,7.59357083761055e-01
3.01300000000000e-08,7.50000000000000e-01,5.25000000000018e-01,7.50217520983521e-01
3.01700000000000e-08,7.50000000000000e-01,2.25000000000025e-01,7.49911281865899e-01
3.02000000000000e-08,7.50000000000000e-01,1.80966353013901e-14,7.49987255791598e-01
3.02080000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49983693301466e-01
3.02240000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49975407263783e-01
3.02560000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49963879819740e-01
3.03200000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49967563156028e-01
3.04480000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49976378026034e-01
3.06996434349813e-08,7.50000000000000e-01,0.00000000000000e+00,7.49974283762015e-01
3.10242182265514e-08,7.50000000000000e-01,0.00000000000000e+00,7.49976249861364e-01
3.16335975379423e-08,7.50000000000000e-01,0.00000000000000e+00,7.49977515960698e-01
3.28523561607240e-08,7.50000000000000e-01,0.00000000000000e+00,7.49980276486275e-01
3.51000000000000e-08,7.49999999999963e-01,0.00000000000000e+00,7.49983591401812e-01
3.51100000000000e-08,6.74999999999977e-01,0.00000000000000e+00,7.49923697765830e-01
3.51300000000000e-08,5.24999999999956e-01,0.00000000000000e+00,7.49894339466326e-01
3.51700000000000e-08,2.24999999999963e-01,0.00000000000000e+00,7.51087881786748e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.53162617088021e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.53356297519145e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.52466753355039e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.43944985885519e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.26473052467349e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.38707575006248e-01
3.56988202937395e-08,0.00000000000000e+00,0.00000000000000e+00,7.53025766406840e-01
3.60085092459879e-08,0.00000000000000e+00,0.00000000000000e+00,7.46426871893951e-01
3.66278871504846e-08,0.00000000000000e+00,0.00000000000000e+00,7.52254681529000e-01
3.74284621546159e-08,0.00000000000000e+00,0.00000000000000e+00,7.47503715858687e-01
3.76286059056487e-08,0.00000000000000e+00,0.00000000000000e+00,7.49583498230503e-01
3.80288934077144e-08,0.00000000000000e+00,0.00000000000000e+00,7.50024104307740e-01
3.88294684118456e-08,0.00000000000000e+00,0.00000000000000e+00,7.49703762133386e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.49998016036458e-01
3.92601150008263e-08,0.00000000000000e+00,0.00000000000000e+00,7.49896194549339e-01
3.95803450024788e-08,0.00000000000000e+00,0.00000000000000e+00,7.49877465886702e-01
4.02208050057838e-08,0.00000000000000e+00,0.00000000000000e+00,7.49909311716903e-01
4.15017250123938e-08,0.00000000000000e+00,0.00000000000000e+00,7.49905570763938e-01
4.40635650256139e-08,0.00000000000000e+00,0.00000000000000e+00,7.49940963406753e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,7.49926411209226e-01
4.50100000000000e-08,7.49999999999858e-02,0.00000000000000e+00,7.49977840885134e-01
4.50300000000000e-08,2.25000000000007e-01,0.00000000000000e+00,7.50016206541911e-01
4.50700000000000e-08,5.25000000000000e-01,0.00000000000000e+00,7.49967858706255e-01
4.51000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49885627193030e-01
4.51080000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49839190318934e-01
4.51240000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49793935535728e-01
4.51560000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49822118343668e-01
4.52200000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.49861397667441e-01
4.53480000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.50688888550650e-01
4.56040000000000e-08,7.50000000000000e-01,0.00000000000000e+00,7.26958273059316e-01
4.61160000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.44264550848885e-01
4.65832140932305e-08,7.50000000000000e-01,0.00000000000000e+00,-5.19527984250516e-02
4.75176422796914e-08,7.50000000000000e-01,0.00000000000000e+00,3.94696690373190e-02
4.86287035847033e-08,7.50000000000000e-01,0.00000000000000e+00,-2.82857355611370e-02
5.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,2.38723134585780e-02
5.00100000000000e-08,7.50000000000000e-01,7.49999999999858e-02,1.94990899362834e-02
5.00300000000000e-08,7.50000000000000e-01,2.24999999999957e-01,1.34888153559078e-02
5.00700000000000e-08,7.50000000000000e-01,5.25000000000000e-01,8.39361569770043e-03
5.01000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.03417348580269e-03
5.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.53907702159202e-03
5.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.63235907240493e-03
5.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.22876285566850e-03
5.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.50314505509568e-03
5.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.64247260145255e-04
5.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-2.81479745454678e-05
5.11039915764286e-08,7.50000000000000e-01,7.50000000000000e-01,3.85805240684413e-05
5.20972611704934e-08,7.50000000000000e-01,7.50000000000000e-01,2.26180416091140e-06
5.40838003586231e-08,7.50000000000000e-01,7.50000000000000e-01,3.02773097423494e-05
5.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,8.49323901640567e-06
5.51100000000000e-08,6.75000000000027e-01,7.50000000000000e-01,-5.74824187879602e-05
5.51300000000000e-08,5.25000000000005e-01,7.50000000000000e-01,-1.61122544752576e-04
