Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.64407818142951e-05,0.00000000000000e+00
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,1.49889852466417e-05,0.00000000000000e+00
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,1.12635787243298e-05,0.00000000000000e+00
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,5.18960674971564e-06,0.00000000000000e+00
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.74786213316780e-06,0.00000000000000e+00
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.03594224526638e-06,0.00000000000000e+00
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.08112478486600e-06,0.00000000000000e+00
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,5.54071700422515e-06,0.00000000000000e+00
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.91582433360255e-06,0.00000000000000e+00
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,3.15648866393292e-06,0.00000000000000e+00
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.81630240667186e-06,0.00000000000000e+00
1.11160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.99619663021375e-06,0.00000000000000e+00
1.21400000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.45290280632016e-06,0.00000000000000e+00
1.41880000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.32095514095341e-06,0.00000000000000e+00
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.97815166646381e-06,0.00000000000000e+00
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,2.04655062850667e-04,7.50000000000106e-02
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,4.05198843209859e-04,2.25000000000007e-01
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,3.24183584734399e-04,5.25000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.19458494707357e-04,7.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.84334555027879e-04,7.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.35340727886152e-04,7.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.02621868000828e-04,7.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.71175948816024e-05,7.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.48236276387065e-04,7.50000000000000e-01
1.57023602152646e-08,0.00000000000000e+00,7.50000000000000e-01,-7.39654988845262e-05,7.50000000000000e-01
1.61141841556560e-08,0.00000000000000e+00,7.50000000000000e-01,-7.64333943172255e-05,7.50000000000000e-01
1.66784423709570e-08,0.00000000000000e+00,7.50000000000000e-01,2.06051140904289e-04,7.50000000000000e-01
1.78069588015589e-08,0.00000000000000e+00,7.50000000000000e-01,-1.74934291248680e-04,7.50000000000000e-01
1.88955279320666e-08,0.00000000000000e+00,7.50000000000000e-01,1.46891416392930e-04,7.50000000000000e-01
2.10726661930819e-08,0.00000000000000e+00,7.50000000000000e-01,-1.31654738104258e-04,7.50000000000000e-01
2.48726661930819e-08,0.00000000000000e+00,7.50000000000000e-01,1.24879486194550e-04,7.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.72617373144293e-05,7.50000000000000e-01
2.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,1.37154180491532e-04,7.50000000000000e-01
2.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,3.26860497102205e-04,7.50000000000000e-01
2.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,5.07836103148009e-04,7.50000000000000e-01
2.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.46954986931465e-04,7.50000000000000e-01
2.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.63855005693784e-04,7.50000000000000e-01
2.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.80630989397747e-03,7.50000000000000e-01
2.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.03835760497791e-03,7.50000000000000e-01
2.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.42210969549115e-03,7.50000000000000e-01
2.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.96368474402472e-02,7.50000000000000e-01
2.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.04125437039835e-01,7.50000000000000e-01
2.61160000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.81917296419525e-01,7.50000000000000e-01
2.66456322345872e-08,7.50000000000000e-01,7.50000000000000e-01,7.20484013877252e-01,7.50000000000000e-01
2.77048967037616e-08,7.50000000000000e-01,7.50000000000000e-01,7.75991101637698e-01,7.50000000000000e-01
2.91952398081375e-08,7.50000000000000e-01,7.50000000000000e-01,7.23862240512611e-01,7.50000000000000e-01
3.21759260168891e-08,7.50000000000000e-01,7.50000000000000e-01,7.74159005001451e-01,7.50000000000000e-01
3.51000000000000e-08,7.49999999999963e-01,7.50000000000000e-01,7.25174473459626e-01,7.50000000000000e-01
3.51100000000000e-08,6.74999999999977e-01,7.50000000000000e-01,7.33653316909172e-01,7.50000000000000e-01
3.51300000000000e-08,5.24999999999956e-01,7.50000000000000e-01,7.44770963897435e-01,7.50000000000000e-01
3.51700000000000e-08,2.24999999999963e-01,7.50000000000000e-01,7.50798620796780e-01,7.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.52561984366478e-01,7.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53014443795342e-01,7.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.53406659306495e-01,7.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50728297730249e-01,7.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.33787258040684e-01,7.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.19016026234425e-01,7.50000000000000e-01
3.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.47700672729943e-01,7.50000000000000e-01
3.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.50350572092678e-01,7.50000000000000e-01
3.67976084825964e-08,0.00000000000000e+00,7.50000000000000e-01,7.49225086692406e-01,7.50000000000000e-01
3.79608254477892e-08,0.00000000000000e+00,7.50000000000000e-01,7.50176962879577e-01,7.50000000000000e-01
4.02872593781748e-08,0.00000000000000e+00,7.50000000000000e-01,7.49579509337242e-01,7.50000000000000e-01
4.40872593781748e-08,0.00000000000000e+00,7.50000000000000e-01,7.50216576866250e-01,7.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,7.49724620711686e-01,7.50000000000000e-01
4.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,7.49644503280752e-01,6.75000000000014e-01
4.50300000000000e-08,2.25000000000007e-01,7.50000000000000e-01,7.49519297218059e-01,5.24999999999993e-01
4.50700000000000e-08,5.25000000000000e-01,7.50000000000000e-01,7.51711337789648e-01,2.25000000000000e-01
4.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.57394080061296e-01,0.00000000000000e+00
4.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.59254622523705e-01,0.00000000000000e+00
4.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.62451580241123e-01,0.00000000000000e+00
4.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.67841899542829e-01,0.00000000000000e+00
4.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.72086685626073e-01,0.00000000000000e+00
4.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.84318053294625e-01,0.00000000000000e+00
4.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-8.64703818837196e-03,0.00000000000000e+00
4.59574733922931e-08,7.50000000000000e-01,7.50000000000000e-01,5.43625753791075e-03,0.00000000000000e+00
4.65790025559840e-08,7.50000000000000e-01,7.50000000000000e-01,-4.46058438143805e-03,0.00000000000000e+00
4.72846264972488e-08,7.50000000000000e-01,7.50000000000000e-01,3.69698390305999e-03,0.00000000000000e+00
4.86958743797785e-08,7.50000000000000e-01,7.50000000000000e-01,-3.50789435495770e-03,0.00000000000000e+00
5.01000000000000e-08,7.50000000000000e-01,7.49999999999957e-01,3.18914853198320e-03,0.00000000000000e+00
5.03822495765059e-08,7.50000000000000e-01,7.50000000000000e-01,2.43572926281228e-04,0.00000000000000e+00
5.09467487295178e-08,7.50000000000000e-01,7.50000000000000e-01,-1.74996113762541e-04,0.00000000000000e+00
5.20757470355416e-08,7.50000000000000e-01,7.50000000000000e-01,1.52797794605728e-04,0.00000000000000e+00
5.43337436475891e-08,7.50000000000000e-01,7.50000000000000e-01,-1.40918306145887e-04,0.00000000000000e+00
5.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.15077332784925e-04,0.00000000000000e+00
5.51100000000000e-08,6.75000000000027e-01,7.50000000000000e-01,2.83545546547068e-04,7.49999999999734e-02
5.51300000000000e-08,5.25000000000005e-01,7.50000000000000e-01,4.46118222539579e-04,2.24999999999995e-01
5.51700000000000e-08,2.25000000000013e-01,7.50000000000000e-01,3.45234458528951e-04,5.24999999999987e-01
5.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.22474859417995e-04,7.50000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.84302246585499e-04,7.50000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,1.26843656136563e-04,7.50000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,9.07005758201546e-06,7.50000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-7.83054909507371e-04,7.50000000000000e-01
5.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.11098971912443e-03,7.50000000000000e-01
5.56858249809135e-08,0.00000000000000e+00,7.50000000000000e-01,3.41909441321404e-04,7.50000000000000e-01
5.60512144803824e-08,0.00000000000000e+00,7.50000000000000e-01,-3.15944125289340e-04,7.50000000000000e-01
5.66322115971591e-08,0.00000000000000e+00,7.50000000000000e-01,2.27665716449778e-04,7.50000000000000e-01
5.76714069750575e-08,0.00000000000000e+00,7.50000000000000e-01,-1.40041574803538e-04,7.50000000000000e-01
5.87333262835037e-08,0.00000000000000e+00,7.50000000000000e-01,7.85982281158639e-05,7.50000000000000e-01
6.08571649003961e-08,0.00000000000000e+00,7.50000000000000e-01,-5.24934674646623e-05,7.50000000000000e-01
6.46571649003961e-08,0.00000000000000e+00,7.50000000000000e-01,4.13650994866180e-05,7.50000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.30838086072950e-05,7.50000000000000e-01
6.50100000000000e-08,7.49999999999858e-02,7.50000000000000e-01,1.58188051664634e-04,7.50000000000000e-01
6.50300000000000e-08,2.24999999999957e-01,7.50000000000000e-01,3.30206200920641e-04,7.50000000000000e-01
6.50700000000000e-08,5.24999999999900e-01,7.50000000000000e-01,4.87374153782118e-04,7.50000000000000e-01
6.51000000000000e-08,7.49999999999957e-01,7.50000000000000e-01,-2.06460364703072e-04,7.50000000000000e-01
6.51080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-7.37385361879089e-04,7.50000000000000e-01
6.51240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-1.89501982040639e-03,7.50000000000000e-01
6.51560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-4.11344864010168e-03,7.50000000000000e-01
6.52200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,-6.41736028354060e-03,7.50000000000000e-01
6.53480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,7.12846437250794e-02,7.50000000000000e-01
6.56040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.05935003524995e-01,7.50000000000000e-01
6.61159999999999e-08,7.50000000000000e-01,7.50000000000000e-01,7.81703841666538e-01,7.50000000000000e-01
6.66463930293045e-08,7.50000000000000e-01,7.50000000000000e-01,7.20662055740302e-01,7.50000000000000e-01
6.77071790879136e-08,7.50000000000000e-01,7.50000000000000e-01,7.75830786003576e-01,7.50000000000000e-01
6.91946957816426e-08,7.50000000000000e-01,7.50000000000000e-01,7.24025113646266e-01,7.50000000000000e-01
