Time,v(clk),v(data),v(out)
1.00000000000000e-08,7.50000000000000e-01,0.00000000000000e+00,1.56550701075654e-06
1.00100000000000e-08,7.50000000000000e-01,7.49999999999982e-02,5.41755014563799e-06
1.00300000000000e-08,7.50000000000000e-01,2.24999999999995e-01,8.40206962820361e-06
1.00700000000000e-08,7.50000000000000e-01,5.24999999999987e-01,5.74375354028822e-06
1.01000000000000e-08,7.50000000000000e-01,7.49999999999994e-01,2.08159258888174e-06
1.01080000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.34166258473900e-06
1.01240000000000e-08,7.50000000000000e-01,7.50000000000000e-01,1.49031137608446e-06
1.01560000000000e-08,7.50000000000000e-01,7.50000000000000e-01,4.50216464715353e-06
1.02200000000000e-08,7.50000000000000e-01,7.50000000000000e-01,9.06708443847853e-06
1.03480000000000e-08,7.50000000000000e-01,7.50000000000000e-01,6.38158688041207e-06
1.06040000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.71999503220766e-06
1.10581771034899e-08,7.50000000000000e-01,7.50000000000000e-01,4.76023127705255e-06
1.19665313104698e-08,7.50000000000000e-01,7.50000000000000e-01,3.24031061857064e-06
1.37832397244296e-08,7.50000000000000e-01,7.50000000000000e-01,3.98629034830192e-06
1.51000000000000e-08,7.50000000000000e-01,7.50000000000000e-01,2.90004943092476e-06
1.51100000000000e-08,6.74999999999989e-01,7.50000000000000e-01,-7.25998716983589e-05
1.51300000000000e-08,5.24999999999993e-01,7.50000000000000e-01,-1.99432781311168e-04
1.51700000000000e-08,2.25000000000000e-01,7.50000000000000e-01,-2.20062448285908e-04
1.52000000000000e-08,0.00000000000000e+00,7.50000000000000e-01,6.17221889849737e-05
1.52080000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.23004747690214e-04
1.52240000000000e-08,0.00000000000000e+00,7.50000000000000e-01,4.41195639502331e-04
1.52560000000000e-08,0.00000000000000e+00,7.50000000000000e-01,5.09101320624275e-04
1.53200000000000e-08,0.00000000000000e+00,7.50000000000000e-01,2.17684683208492e-04
1.54480000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-2.85057698092742e-04
1.57040000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-1.18936369971272e-04
1.62160000000000e-08,0.00000000000000e+00,7.50000000000000e-01,-6.08333614296706e-05
1.68011797105783e-08,0.00000000000000e+00,7.50000000000000e-01,1.89474562806982e-04
1.79715391317350e-08,0.00000000000000e+00,7.50000000000000e-01,-1.29202065577244e-04
1.92308743021906e-08,0.00000000000000e+00,7.50000000000000e-01,9.07408529268816e-05
