Time,v(clk),v(data),v(out)
1.00000000000000e-08,8.00000000000000e-01,0.00000000000000e+00,3.14875250258541e-05
1.00100000000000e-08,8.00000000000000e-01,7.99999999999981e-02,2.65593282558069e-05
1.00300000000000e-08,8.00000000000000e-01,2.39999999999994e-01,2.00038687739046e-05
1.00700000000000e-08,8.00000000000000e-01,5.59999999999987e-01,1.33356463936363e-05
1.01000000000000e-08,8.00000000000000e-01,7.99999999999994e-01,9.97962782928186e-06
1.01080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.00200374143489e-05
1.01240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.13224325780786e-05
1.01560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.52408776969079e-05
1.02200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.82766089035918e-05
1.03480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.25956288203055e-05
1.06040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.20559343978095e-05
1.11160000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.31544246907908e-05
1.21400000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.19236062939426e-05
1.41880000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.19202887011033e-05
1.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.13475910234629e-05
1.51100000000000e-08,7.19999999999989e-01,8.00000000000000e-01,-6.12874226358778e-05
1.51300000000000e-08,5.59999999999993e-01,8.00000000000000e-01,-1.70980983118421e-04
1.51700000000000e-08,2.40000000000000e-01,8.00000000000000e-01,-8.34595783521935e-05
1.52000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,2.36795563588382e-04
1.52080000000000e-08,0.00000000000000e+00,8.00000000000000e-01,3.67658510898164e-04
1.52240000000000e-08,0.00000000000000e+00,8.00000000000000e-01,4.94014879460075e-04
1.52560000000000e-08,0.00000000000000e+00,8.00000000000000e-01,2.97328799900770e-04
1.53200000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.40148902516703e-04
1.54480000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.77680587084821e-04
1.57040000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-1.95802465484528e-04
1.60352319775575e-08,0.00000000000000e+00,8.00000000000000e-01,1.95009909022832e-04
1.65558572664207e-08,0.00000000000000e+00,8.00000000000000e-01,1.11245335567339e-04
1.74305573661702e-08,0.00000000000000e+00,8.00000000000000e-01,-1.75821948389778e-04
1.85794209919228e-08,0.00000000000000e+00,8.00000000000000e-01,2.30740547163436e-04
2.08698740229582e-08,0.00000000000000e+00,8.00000000000000e-01,-2.23008276002343e-04
2.43105306201313e-08,0.00000000000000e+00,8.00000000000000e-01,2.47018511720259e-04
2.50000000000000e-08,0.00000000000000e+00,8.00000000000000e-01,-2.38285322025220e-04
2.50100000000000e-08,7.99999999999848e-02,8.00000000000000e-01,-5.58161524930184e-05
2.50300000000000e-08,2.40000000000007e-01,8.00000000000000e-01,2.18381388874367e-04
2.50700000000000e-08,5.60000000000000e-01,8.00000000000000e-01,3.77378254963895e-04
2.51000000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-7.59681067181869e-04
2.51080000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-1.48266773923701e-03
2.51240000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-2.93599358079871e-03
2.51560000000000e-08,8.00000000000000e-01,8.00000000000000e-01,-5.22066722177172e-03
2.52200000000000e-08,8.00000000000000e-01,8.00000000000000e-01,1.52548058470085e-03
2.53480000000000e-08,8.00000000000000e-01,8.00000000000000e-01,2.43181531393243e-01
2.56040000000000e-08,8.00000000000000e-01,8.00000000000000e-01,7.78279939403504e-01
2.60254745821620e-08,8.00000000000000e-01,8.00000000000000e-01,8.06896722167471e-01
2.65902153068145e-08,8.00000000000000e-01,8.00000000000000e-01,7.93503499160991e-01
