Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,8.50000000000000e-01,0.00000000000000e+00,3.41744466686444e-06,0.00000000000000e+00
1.00100000000000e-08,8.50000000000000e-01,8.49999999999979e-02,2.83916225383291e-06,0.00000000000000e+00
1.00300000000000e-08,8.50000000000000e-01,2.54999999999994e-01,2.54096087431294e-06,0.00000000000000e+00
1.00700000000000e-08,8.50000000000000e-01,5.94999999999986e-01,2.81496903375283e-06,0.00000000000000e+00
1.01000000000000e-08,8.50000000000000e-01,8.49999999999994e-01,3.74756851927172e-06,0.00000000000000e+00
1.01080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.61686224288615e-06,0.00000000000000e+00
1.01240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.04464288009110e-06,0.00000000000000e+00
1.01560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.17693327502827e-06,0.00000000000000e+00
1.02200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.86247692665920e-06,0.00000000000000e+00
1.03480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.47520846386701e-06,0.00000000000000e+00
1.06040000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.34012696582525e-06,0.00000000000000e+00
1.11160000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.57183878450709e-06,0.00000000000000e+00
1.21400000000000e-08,8.50000000000000e-01,8.50000000000000e-01,4.01924592717193e-06,0.00000000000000e+00
1.41880000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.03843246767747e-06,0.00000000000000e+00
1.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,3.65064639599143e-06,0.00000000000000e+00
1.51100000000000e-08,7.64999999999988e-01,8.50000000000000e-01,1.43145627274896e-04,8.50000000000120e-02
1.51300000000000e-08,5.94999999999992e-01,8.50000000000000e-01,1.86879685535789e-04,2.55000000000008e-01
1.51700000000000e-08,2.55000000000000e-01,8.50000000000000e-01,1.24201425150815e-04,5.95000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,1.68438112972180e-04,8.50000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,9.97804081644266e-05,8.50000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-4.66259815900122e-05,8.50000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.49582223756768e-04,8.50000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.66519435416834e-04,8.50000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-2.19458423556911e-04,8.50000000000000e-01
1.56489063427268e-08,0.00000000000000e+00,8.50000000000000e-01,1.51854661188118e-04,8.50000000000000e-01
1.58931048424947e-08,0.00000000000000e+00,8.50000000000000e-01,1.67481795329142e-04,8.50000000000000e-01
1.63815018420304e-08,0.00000000000000e+00,8.50000000000000e-01,-2.27200823461685e-04,8.50000000000000e-01
1.68867117801557e-08,0.00000000000000e+00,8.50000000000000e-01,2.62975308333959e-04,8.50000000000000e-01
1.78971316564063e-08,0.00000000000000e+00,8.50000000000000e-01,-2.64535908309049e-04,8.50000000000000e-01
1.93637950475201e-08,0.00000000000000e+00,8.50000000000000e-01,2.70189416403028e-04,8.50000000000000e-01
2.17187350551239e-08,0.00000000000000e+00,8.50000000000000e-01,-2.66309787238451e-04,8.50000000000000e-01
2.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.69992995154799e-04,8.50000000000000e-01
2.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,2.75121536536055e-04,8.50000000000000e-01
2.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,2.50932371332245e-04,8.50000000000000e-01
2.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,-5.73109236371862e-04,8.50000000000000e-01
2.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-3.75185407186641e-03,8.50000000000000e-01
2.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-4.86296878823236e-03,8.50000000000000e-01
2.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.06301591568187e-03,8.50000000000000e-01
2.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,1.15721257945956e-02,8.50000000000000e-01
2.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.78913015334597e-01,8.50000000000000e-01
2.53480000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.25132883390759e-01,8.50000000000000e-01
2.55600406327005e-08,8.50000000000000e-01,8.50000000000000e-01,8.57644992339168e-01,8.50000000000000e-01
2.58467373640369e-08,8.50000000000000e-01,8.50000000000000e-01,8.43102572517234e-01,8.50000000000000e-01
2.62514314591451e-08,8.50000000000000e-01,8.50000000000000e-01,8.55912840822993e-01,8.50000000000000e-01
2.68242145828259e-08,8.50000000000000e-01,8.50000000000000e-01,8.44273602856886e-01,8.50000000000000e-01
2.79697808301876e-08,8.50000000000000e-01,8.50000000000000e-01,8.55346266640859e-01,8.50000000000000e-01
3.02609133249110e-08,8.50000000000000e-01,8.50000000000000e-01,8.44578660955838e-01,8.50000000000000e-01
3.40609133249110e-08,8.50000000000000e-01,8.50000000000000e-01,8.55216124743949e-01,8.50000000000000e-01
3.51000000000000e-08,8.49999999999958e-01,8.50000000000000e-01,8.44839604194001e-01,8.50000000000000e-01
3.51100000000000e-08,7.64999999999974e-01,8.50000000000000e-01,8.47431054062920e-01,8.50000000000000e-01
3.51300000000000e-08,5.94999999999950e-01,8.50000000000000e-01,8.49986635308234e-01,8.50000000000000e-01
3.51700000000000e-08,2.54999999999958e-01,8.50000000000000e-01,8.51291873996384e-01,8.50000000000000e-01
3.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.52404598292613e-01,8.50000000000000e-01
3.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.50925867338396e-01,8.50000000000000e-01
3.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.44453348237219e-01,8.50000000000000e-01
3.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.24974891152995e-01,8.50000000000000e-01
3.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.24144293537638e-01,8.50000000000000e-01
3.54480000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.51812951914793e-01,8.50000000000000e-01
3.56666254403004e-08,0.00000000000000e+00,8.50000000000000e-01,8.47414003590790e-01,8.50000000000000e-01
3.59660586902348e-08,0.00000000000000e+00,8.50000000000000e-01,8.51459384522311e-01,8.50000000000000e-01
3.65649251901037e-08,0.00000000000000e+00,8.50000000000000e-01,8.48162942748793e-01,8.50000000000000e-01
3.77626581898415e-08,0.00000000000000e+00,8.50000000000000e-01,8.51438404344340e-01,8.50000000000000e-01
4.01581241893171e-08,0.00000000000000e+00,8.50000000000000e-01,8.48372087210190e-01,8.50000000000000e-01
4.39581241893171e-08,0.00000000000000e+00,8.50000000000000e-01,8.51428229555808e-01,8.50000000000000e-01
4.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,8.48481994908518e-01,8.50000000000000e-01
4.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,8.48970122210316e-01,7.65000000000016e-01
4.50300000000000e-08,2.55000000000008e-01,8.50000000000000e-01,8.49636631625977e-01,5.94999999999992e-01
4.50700000000000e-08,5.95000000000000e-01,8.50000000000000e-01,8.54258271058132e-01,2.55000000000000e-01
4.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.63520432993479e-01,0.00000000000000e+00
4.51080000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.66556639296142e-01,0.00000000000000e+00
4.51240000000000e-08,8.50000000000000e-01,8.50000000000000e-01,8.70832610581483e-01,0.00000000000000e+00
4.51560000000000e-08,8.50000000000000e-01,8.50000000000000e-01,7.79967668993722e-01,0.00000000000000e+00
4.52200000000000e-08,8.50000000000000e-01,8.50000000000000e-01,2.92573515355459e-01,0.00000000000000e+00
4.53435837885896e-08,8.50000000000000e-01,8.50000000000000e-01,-5.48816033603144e-02,0.00000000000000e+00
4.54966618826355e-08,8.50000000000000e-01,8.50000000000000e-01,3.02022708472562e-02,0.00000000000000e+00
4.58028180707273e-08,8.50000000000000e-01,8.50000000000000e-01,-2.15208110939298e-02,0.00000000000000e+00
4.61168798998709e-08,8.50000000000000e-01,8.50000000000000e-01,1.66343563286818e-02,0.00000000000000e+00
4.67450035581581e-08,8.50000000000000e-01,8.50000000000000e-01,-1.42584122239602e-02,0.00000000000000e+00
4.80012508747325e-08,8.50000000000000e-01,8.50000000000000e-01,1.35550721554672e-02,0.00000000000000e+00
5.01000000000000e-08,8.50000000000000e-01,8.49999999999951e-01,-1.28379101415027e-02,0.00000000000000e+00
5.03512494633149e-08,8.50000000000000e-01,8.50000000000000e-01,-9.15680443179516e-04,0.00000000000000e+00
5.08537483899446e-08,8.50000000000000e-01,8.50000000000000e-01,7.62530333937671e-04,0.00000000000000e+00
5.18587462432042e-08,8.50000000000000e-01,8.50000000000000e-01,-6.87791577075617e-04,0.00000000000000e+00
5.38687419497232e-08,8.50000000000000e-01,8.50000000000000e-01,6.60308456884033e-04,0.00000000000000e+00
5.51000000000000e-08,8.50000000000000e-01,8.50000000000000e-01,-6.05953744205547e-04,0.00000000000000e+00
5.51100000000000e-08,7.65000000000030e-01,8.50000000000000e-01,-2.73960728362582e-04,8.49999999999698e-02
5.51300000000000e-08,5.95000000000006e-01,8.50000000000000e-01,1.87960091744960e-05,2.54999999999994e-01
5.51700000000000e-08,2.55000000000014e-01,8.50000000000000e-01,9.72711007267840e-05,5.94999999999986e-01
5.52000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,9.51367822876886e-05,8.50000000000000e-01
5.52080000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-5.69934129730498e-05,8.50000000000000e-01
5.52240000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-5.20637500220897e-04,8.50000000000000e-01
5.52560000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-1.36458858194743e-03,8.50000000000000e-01
5.53200000000000e-08,0.00000000000000e+00,8.50000000000000e-01,-7.29126414746463e-04,8.50000000000000e-01
5.54385831580451e-08,0.00000000000000e+00,8.50000000000000e-01,4.75916441927800e-04,8.50000000000000e-01
5.56444826597563e-08,0.00000000000000e+00,8.50000000000000e-01,-5.52625658021999e-04,8.50000000000000e-01
5.58750479061495e-08,0.00000000000000e+00,8.50000000000000e-01,5.04570595158897e-04,8.50000000000000e-01
5.63361783989360e-08,0.00000000000000e+00,8.50000000000000e-01,-4.04783634121926e-04,8.50000000000000e-01
5.68196781879669e-08,0.00000000000000e+00,8.50000000000000e-01,3.32937863008727e-04,8.50000000000000e-01
5.77866777660286e-08,0.00000000000000e+00,8.50000000000000e-01,-2.93135484015514e-04,8.50000000000000e-01
5.91771682605920e-08,0.00000000000000e+00,8.50000000000000e-01,2.76329372012474e-04,8.50000000000000e-01
6.14319934519874e-08,0.00000000000000e+00,8.50000000000000e-01,-2.57990944333842e-04,8.50000000000000e-01
6.50000000000000e-08,0.00000000000000e+00,8.50000000000000e-01,2.55058546440408e-04,8.50000000000000e-01
6.50100000000000e-08,8.49999999999839e-02,8.50000000000000e-01,3.03882001295545e-04,8.50000000000000e-01
6.50300000000000e-08,2.54999999999952e-01,8.50000000000000e-01,3.39965725679944e-04,8.50000000000000e-01
6.50700000000000e-08,5.94999999999887e-01,8.50000000000000e-01,-5.26403574262965e-04,8.50000000000000e-01
6.51000000000000e-08,8.49999999999951e-01,8.50000000000000e-01,-3.74544940139588e-03,8.50000000000000e-01
