0Time,id(m:dff:n21:mn1:1),id(m:dff:n21:mn2:1),id(m:dff:n21:mp1:1),id(m:dff:n21:mp2:1),id(m:dff:n22:mn1:1),id(m:dff:n22:mn2:1),id(m:dff:n22:mp1:1),id(m:dff:n22:mp2:1),id(m:dff:n31:mn1:1),id(m:dff:n31:mn2:1),id(m:dff:n31:mn3:1),id(m:dff:n31:mp1:1),id(m:dff:n31:mp2:1),id(m:dff:n31:mp3:1),id(m:dff:n32:mn1:1),id(m:dff:n32:mn2:1),id(m:dff:n32:mn3:1),id(m:dff:n32:mp1:1),id(m:dff:n32:mp2:1),id(m:dff:n32:mp3:1),id(m:dff:n33:mn1:1),id(m:dff:n33:mn2:1),id(m:dff:n33:mn3:1),id(m:dff:n33:mp1:1),id(m:dff:n33:mp2:1),id(m:dff:n33:mp3:1),id(m:dff:n34:mn1:1),id(m:dff:n34:mn2:1),id(m:dff:n34:mn3:1),id(m:dff:n34:mp1:1),id(m:dff:n34:mp2:1),id(m:dff:n34:mp3:1),v(clk),v(data),v(out)
0.00000000000000e+00,3.10661466169893e-10,3.10664224207257e-10,-1.55327134201768e-10,-1.55317425687594e-10,3.11329728968262e-10,3.11328968579273e-10,-1.55317425687555e-10,-1.55320193039972e-10,6.30720518302108e-10,6.29673224639573e-10,6.29619191892657e-10,-2.10236910159571e-10,-2.10236974690038e-10,-2.10236974690038e-10,3.43986300728504e-09,3.43768005721642e-09,3.43677338496583e-09,-3.10282046339373e-14,-3.43948572190184e-09,-2.88311841239193e-14,1.06350412543468e-09,1.06111726829547e-09,1.06011890135713e-09,-7.47325373742272e-15,-5.32774905390096e-10,-5.32774905390096e-10,1.09436440741290e-09,1.09284641116628e-09,1.09257286609494e-09,-5.46264000469321e-10,-4.40115875665420e-15,-5.46264168330916e-10,0.00000000000000e+00,0.00000000000000e+00,3.67567834655613e-07
1.00000000000000e-13,5.17471448569440e-09,7.39216107410110e-08,-1.54619833969599e-10,-1.54695558459760e-10,1.80945644515110e-08,1.06629252167541e-07,-1.54694797624640e-10,-1.54561390389265e-10,6.30720518302108e-10,6.20697550047587e-10,6.63867742683754e-10,-2.41828181859942e-08,-2.41838122533004e-08,-2.41653122862631e-08,3.45271462988758e-09,3.43291857787063e-09,5.24175111323126e-08,-8.19768631647928e-14,-6.90677545655167e-09,-8.20127463122139e-14,1.06350412543468e-09,1.04996746022462e-09,1.10620396548835e-09,-2.98745525001871e-13,-2.71466044700200e-08,-2.71258383124785e-08,1.09358061119390e-09,6.34328960527297e-08,1.13708582843943e-09,-2.94400833616267e-08,-3.24159016703941e-13,-2.94189166324153e-08,0.00000000000000e+00,0.00000000000000e+00,6.01499163629948e-05
2.00000000000000e-13,8.94797373450011e-09,1.49210750149259e-07,-1.53927771207461e-10,-1.54092562231356e-10,9.64963102771358e-09,2.01278882771347e-07,-1.54089949747795e-10,-1.53595286605827e-10,6.32371051156121e-10,6.11810553890054e-10,7.00138729804974e-10,-5.26023917074483e-08,-5.26066029039461e-08,-5.25229409267545e-08,3.46561341961113e-09,3.42838590870845e-09,1.03353359936660e-07,-2.03566731133379e-13,-1.98548264537822e-08,-2.03348509421227e-13,1.06569788867327e-09,1.03893372550939e-09,1.15467104134542e-09,-6.06145387645264e-13,-5.97615417819338e-08,-5.96665048574006e-08,1.09460569497645e-09,1.27950300520333e-07,1.18322163560575e-09,-7.34223953703546e-08,-7.53423735542529e-13,-7.33127634719447e-08,0.00000000000000e+00,0.00000000000000e+00,1.22480966887356e-04
4.00000000000000e-13,2.47140977751453e-08,3.04013453262530e-07,-1.52509537013232e-10,-1.52871079926545e-10,1.29988805650953e-08,3.86900218667923e-07,-1.52865887180729e-10,-1.51700093089425e-10,6.34430244682324e-10,5.94299288271765e-10,7.77874253791016e-10,-1.11968725398169e-07,-1.11987121386991e-07,-1.11622311511478e-07,3.48292396490942e-09,3.41933823281753e-09,2.07398728481751e-07,-4.39788034066783e-13,-4.62891110303915e-08,-4.38730645459148e-13,1.06866146445293e-09,1.01720972287098e-09,1.25771655959610e-09,-1.24380206176980e-12,-1.28736188103646e-07,-1.28316865193006e-07,1.09665876490813e-09,2.55563137404889e-07,1.28108740857025e-09,-1.66020571624548e-07,-1.61541577212990e-12,-1.65513005479460e-07,0.00000000000000e+00,0.00000000000000e+00,2.45861864295288e-04
8.00000000000000e-13,6.18473764798954e-08,6.05139076843611e-07,-1.49751227675290e-10,-1.50475588138577e-10,6.76138249510235e-08,7.45046217601167e-07,-1.50465184558608e-10,-1.48006972412633e-10,6.38568673652089e-10,5.59664259572046e-10,9.56271167869475e-10,-2.31535580406079e-07,-2.31612303833388e-07,-2.30075863849367e-07,3.50640235221020e-09,3.40192336182149e-09,4.05338406228356e-07,-8.77958886150471e-13,-9.68374575178457e-08,-8.73672230276127e-13,1.07461185782114e-09,9.75102976190602e-10,1.49059354399029e-09,-2.51820763701314e-12,-2.67383494806720e-07,-2.65610031045557e-07,1.09670042795195e-09,5.00585360176344e-07,1.50228397038106e-09,-3.53120536327248e-07,-3.36161409432221e-12,-3.50920957846340e-07,0.00000000000000e+00,0.00000000000000e+00,4.89624418555989e-04
1.60000000000000e-12,1.51271665877477e-07,1.17122298486612e-06,-1.44448385675862e-10,-1.45897230178783e-10,1.85790556215772e-07,1.41459569543226e-06,-1.45878269907859e-10,-1.41058018979151e-10,6.46926301700713e-10,4.93727030389346e-10,1.42597852662641e-09,-4.64189244124995e-07,-4.64493667351487e-07,-4.58254326488655e-07,3.56950042389660e-09,3.37020074500459e-09,7.69552633768887e-07,-1.75304989083330e-12,-1.99449929428850e-07,-1.73537950788822e-12,1.08660624420106e-09,8.94319426202216e-10,2.08488100463816e-09,-5.09376923778763e-12,-5.39169947114635e-07,-5.31929727324729e-07,1.09678436914623e-09,9.36603367523879e-07,2.06297958589278e-09,-7.15877872973706e-07,-6.90061893262358e-12,-7.06831287296542e-07,0.00000000000000e+00,0.00000000000000e+00,9.54819006979746e-04
3.20000000000000e-12,3.77166777160261e-07,2.17833370353107e-06,-1.34700282577566e-10,-1.37483685812007e-10,4.77761483003448e-07,2.60249310528447e-06,-1.37449983198794e-10,-1.28587186889558e-10,6.60571295942578e-10,3.76696632194745e-10,3.03129207105799e-09,-9.11946313195565e-07,-9.13099425593801e-07,-8.88217653964678e-07,3.69376254840219e-09,3.31812979105409e-09,1.37952285115748e-06,-3.36988103823239e-12,-4.01766688588416e-07,-3.30065227573102e-12,1.10667773106007e-09,7.52132693086876e-10,4.02116556033251e-09,-1.03145374438614e-11,-1.06779336573504e-06,-1.03871385914716e-06,1.08905642224079e-09,1.66125590478629e-06,3.86289837354856e-09,-1.41490911086843e-06,-1.42138027902804e-11,-1.37852249449366e-06,0.00000000000000e+00,0.00000000000000e+00,1.82836225489391e-03
6.40000000000000e-12,9.05201089443673e-07,3.77396233682876e-06,-1.18125447712973e-10,-1.23184809777885e-10,1.15754562875157e-06,4.49708508077246e-06,-1.23128979511514e-10,-1.08126212753415e-10,6.84049769529023e-10,1.92591227556515e-10,1.20636428730839e-08,-1.73809232927839e-06,-1.74210766356277e-06,-1.64496655117518e-06,3.93464829002163e-09,3.24822951490375e-09,2.22201193625719e-06,-6.17851233852128e-12,-7.90708706099166e-07,-5.92109873626336e-12,1.14596236190617e-09,5.27893643117845e-10,1.41735751373659e-08,-2.09359547057232e-11,-2.06001873414916e-06,-1.94529079297396e-06,1.05585528041994e-09,2.63827415331792e-06,1.31505679417531e-08,-2.72013850371352e-06,-2.97407418795082e-11,-2.57617608442351e-06,0.00000000000000e+00,0.00000000000000e+00,3.34460213554616e-03
1.28000000000000e-11,2.01251302582791e-06,5.86920870125305e-06,-9.32586466596372e-11,-1.01757034257364e-10,2.55217456500055e-06,6.98007946373306e-06,-1.01679207600844e-10,-7.96666996118486e-11,7.16844941701151e-10,2.30803013083126e-11,1.33921059099416e-07,-3.17453031400596e-06,-3.18682923587014e-06,-2.81574702304823e-06,4.39035478842253e-09,3.18895744497124e-09,2.98521019114090e-06,-1.05908735405990e-11,-1.52172693475965e-06,-9.69396213728055e-12,1.22339327132316e-09,2.51760050050885e-10,1.42422150677297e-07,-4.27076182808748e-11,-3.84970279679769e-06,-3.40254827692633e-06,9.41569000931546e-10,3.76760018049167e-06,1.28794600373712e-07,-5.01878621162052e-06,-6.31632839531689e-11,-4.45907428562694e-06,0.00000000000000e+00,0.00000000000000e+00,5.61944124471098e-03
2.56000000000000e-11,3.59018354205645e-06,7.77491967265703e-06,-6.24974604100186e-11,-7.51877188144520e-11,4.55510476400711e-06,9.22548844085380e-06,-7.51039930076108e-11,-4.86232716826036e-11,7.59323033989038e-10,1.76054742478038e-10,5.02188251560748e-06,-5.45034257799357e-06,-5.48051887485409e-06,-4.09242392224352e-06,5.22126909011046e-09,3.19293326273661e-09,3.03764579785880e-06,-1.74541397970495e-11,-2.93070389909112e-06,-1.44660341557924e-11,1.38395396424869e-09,6.59081362958148e-11,5.18939128440738e-06,-8.61373343938504e-11,-6.88906594777883e-06,-5.15312490413793e-06,6.25969711582514e-10,5.56264285707260e-06,4.31759075576040e-06,-8.74070420830061e-06,-1.32700750845815e-10,-6.59670319142405e-06,0.00000000000000e+00,0.00000000000000e+00,8.08454315528420e-03
5.12000000000000e-11,4.51067413441254e-06,8.27358698726802e-06,-3.28688882881695e-11,-4.88545852918977e-11,5.48948358706066e-06,9.65867591646596e-06,-4.88022264182884e-11,-2.31060221548980e-11,7.82879709838053e-10,1.76442531205578e-10,5.10627608583221e-05,-8.71670565913741e-06,-8.77002713487326e-06,-3.58972513257740e-06,6.64322014104866e-09,3.26425169662340e-09,2.33221149070560e-06,-1.79060553199357e-11,-4.11819247655216e-06,-1.19306266185879e-11,1.54746436588546e-09,9.27817083912538e-11,5.23843684135354e-05,-2.04646659675031e-10,-1.18147426275504e-05,-4.90833986017037e-06,3.34437290823072e-10,2.28100364125248e-06,4.37834073843352e-05,-1.44394594363812e-05,-3.28493641476248e-10,-6.11883840437735e-06,0.00000000000000e+00,0.00000000000000e+00,8.81447501487637e-03
1.02400000000000e-10,2.50325104184579e-06,3.86276149570221e-06,-1.69935810242947e-11,-3.88333922729333e-11,2.35430431085194e-06,4.00132948292664e-06,-3.88345204119425e-11,-1.12196599719604e-11,7.18086641009502e-10,1.24320744747500e-10,5.22285417737538e-05,-1.05263302838805e-05,-1.05577196464619e-05,-2.76315418598337e-10,7.42209053975103e-09,3.40663560794378e-09,7.51363309762264e-07,-1.86238718826035e-12,-7.81208304795062e-07,-7.84006629675032e-13,1.22227440685489e-09,8.47034656711761e-10,5.20017459939887e-05,-7.45281235507309e-10,-1.69953708007312e-05,-8.21922865165550e-10,7.94557691755261e-10,5.95497813317688e-06,5.92133897254739e-05,-2.02796861221140e-05,-1.23496972666302e-09,-1.36183357852003e-09,0.00000000000000e+00,0.00000000000000e+00,3.65544706772458e-03
1.49217059413211e-10,2.85826857106627e-06,7.74312723051634e-06,-4.36551798546779e-11,-9.23764776693178e-11,4.59087337931306e-06,1.10307527774120e-05,-9.25893669873130e-11,-4.85602741005072e-11,5.40257268682541e-10,2.66375525642707e-09,2.60437309347675e-05,-4.01985905787591e-06,-3.99950045375282e-06,-5.46952196624559e-11,4.51911859643040e-09,3.77507260715433e-09,3.47156074866563e-06,-1.80624340685268e-11,-4.09611763353170e-06,-8.40128656049438e-12,8.06352256816003e-10,6.92590376677957e-09,2.58498950490833e-05,-3.99062323435986e-10,-9.72693022287843e-06,-2.33715999606258e-10,3.75877879605389e-09,5.66133595142162e-06,1.62732774275338e-05,-8.99774137667113e-06,-3.39936486458197e-10,-1.98645794544312e-10,0.00000000000000e+00,0.00000000000000e+00,-9.10873032095527e-03
1.98508361737869e-10,2.60551765373299e-06,2.22289367275437e-06,-6.68042895410436e-11,-1.14011592761338e-10,3.06558047478331e-06,2.41102107146999e-06,-1.14046264964841e-10,-8.19560759552786e-11,5.89865431970364e-10,7.83044203823079e-10,1.42373112948913e-05,-2.37210895829136e-06,-2.36656825120247e-06,-2.76794629589422e-11,4.04835748918097e-09,3.38800974890828e-09,6.48885630091220e-07,-1.19003525976024e-11,-1.97496729144346e-06,-6.91291633391373e-12,9.44349063600579e-10,2.42034871712228e-09,1.40914221947386e-05,-1.46303875099135e-10,-6.43200607071729e-06,-1.13517453201229e-10,3.32736549936693e-09,5.24213743341509e-06,7.32857849715442e-06,-4.89168017381897e-06,-9.53306788810255e-11,-7.38258512236990e-11,0.00000000000000e+00,0.00000000000000e+00,-3.20729517209514e-03
