Time,i(vdd)
3.35544320000000e-09,-9.97687086593811e-07
6.71088640000000e-09,9.82250656158571e-07
1.06708864000000e-08,-9.97352493686738e-07
1.46308864000000e-08,9.82308300371251e-07
1.85908864000000e-08,-9.97348501696925e-07
2.25508864000000e-08,9.82311305759190e-07
2.65108864000000e-08,-9.97359950867894e-07
3.04708864000000e-08,9.82315339821639e-07
3.44308864000000e-08,-9.97362279244339e-07
3.83908864000000e-08,9.82313175895685e-07
4.23508864000000e-08,-9.97354659782152e-07
4.63108864000000e-08,9.82329278564961e-07
5.02708864000000e-08,-9.97338575435519e-07
5.42308864000000e-08,9.82344152160171e-07
5.81908864000000e-08,-9.97375262519256e-07
6.21508864000000e-08,9.82312087861124e-07
6.61108864000000e-08,-9.97356031026969e-07
7.00708864000000e-08,9.82330447644838e-07
7.40308864000000e-08,-9.97315993191333e-07
7.79908864000000e-08,9.82284067263320e-07
8.19508864000000e-08,-9.97364648397046e-07
8.59108864000001e-08,9.82359765736329e-07
8.98708864000001e-08,-9.97355812136127e-07
9.38308864000001e-08,9.82370964443032e-07
9.77908864000001e-08,-9.97414445405630e-07
1.01750886400000e-07,9.82305707286744e-07
1.05710886400000e-07,-9.97358443205460e-07
1.09670886400000e-07,9.82372848061869e-07
1.13630886400000e-07,-9.97415540082564e-07
1.17590886400000e-07,9.82299025035026e-07
1.21550886400000e-07,-9.97360055719947e-07
1.25510886400000e-07,9.82368283076843e-07
1.29470886400000e-07,-9.97417821974761e-07
1.33430886400000e-07,9.82305454686399e-07
1.37390886400000e-07,-9.97361847565841e-07
1.41350886400000e-07,9.82362393048756e-07
1.45310886400000e-07,-9.97426524536289e-07
1.49270886400000e-07,9.82305940398187e-07
1.53230886400000e-07,-9.97366506228881e-07
1.57190886400000e-07,9.82361689836646e-07
1.61150886400000e-07,-9.97430125663635e-07
1.65110886400000e-07,9.82306858363948e-07
1.69070886400000e-07,-9.97371428124150e-07
1.73030886400000e-07,9.82361484142405e-07
1.76990886400000e-07,-9.97433876205655e-07
1.80950886400000e-07,9.82326955442238e-07
1.84910886400000e-07,-9.97355503069864e-07
1.88870886400000e-07,9.82366720440976e-07
1.92830886400000e-07,-9.97432742189045e-07
1.96790886400000e-07,9.82297709723707e-07
2.00000000000000e-07,-9.97452585862475e-07
