Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,-8.05901566913909e-06
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,-6.65752616101772e-06
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,-4.47488805729174e-06
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,-1.86779022554734e-06
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,-7.20426559696480e-07
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-4.64921406564262e-07
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.55958276123330e-07
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.58157016675112e-06
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.96656608088190e-06
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.40257550853376e-06
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.02529465554801e-06
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,5.04155677259841e-06
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.15831359831895e-06
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.41312394715114e-06
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.66079159703700e-06
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,-1.28379412074643e-05
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,-4.49196964369888e-05
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,-1.07226040337177e-04
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.44076734907590e-04
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.28237205245910e-04
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-9.81310787564436e-05
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-4.60387126744143e-05
1.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,2.18527611531190e-05
1.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,6.67093003400617e-05
1.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,4.84450377447234e-05
1.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.89356443887879e-06
1.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.99771283483723e-05
1.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,6.02520575003398e-06
2.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-3.40610870992798e-05
2.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,4.87360730029602e-05
2.50100000000000e-08,3.29999999999937e-02,3.30000000000000e-01,7.59092412768725e-05
2.50300000000000e-08,9.90000000000031e-02,3.30000000000000e-01,1.18539958914490e-04
2.50700000000000e-08,2.31000000000000e-01,3.30000000000000e-01,1.64563364983876e-04
2.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.63095507261121e-04
2.51080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.45546998761799e-04
2.51240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.08261673541853e-04
2.51560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.97249172790501e-05
2.52200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-2.45080900256449e-04
2.53480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.02588369885114e-03
2.56040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-2.33303481671152e-03
2.61160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,7.26394253777532e-04
2.71400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.06155932192114e-01
2.91880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.20224377816219e-01
3.29880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.32391151808171e-01
3.51000000000000e-08,3.29999999999984e-01,3.30000000000000e-01,3.27554901335857e-01
3.51100000000000e-08,2.96999999999990e-01,3.30000000000000e-01,3.27599823088513e-01
3.51300000000000e-08,2.30999999999981e-01,3.30000000000000e-01,3.27669033441024e-01
3.51700000000000e-08,9.89999999999837e-02,3.30000000000000e-01,3.27819150683521e-01
3.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28019390043068e-01
3.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28099097424343e-01
3.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28247339001714e-01
3.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28501283171596e-01
3.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28915133825277e-01
3.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29432307550263e-01
3.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29785227183216e-01
3.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28660477317097e-01
3.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.21802903196656e-01
3.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.19305189264261e-01
4.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.29416887823041e-01
4.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.28988066802078e-01
4.50100000000000e-08,3.29999999999937e-02,3.30000000000000e-01,3.29016352214693e-01
4.50300000000000e-08,9.90000000000031e-02,3.30000000000000e-01,3.29065943888750e-01
