Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,1.31038459894015e-02,0.00000000000000e+00
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,1.22641848426199e-02,0.00000000000000e+00
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,1.07299792310972e-02,0.00000000000000e+00
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,8.17923105283747e-03,0.00000000000000e+00
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,6.75538900210891e-03,0.00000000000000e+00
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.42310579587525e-03,0.00000000000000e+00
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,5.73494975702786e-03,0.00000000000000e+00
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,4.56627631893002e-03,0.00000000000000e+00
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.99669813683864e-03,0.00000000000000e+00
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.23945665371896e-03,0.00000000000000e+00
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.84856680164863e-04,0.00000000000000e+00
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.63930392626838e-05,0.00000000000000e+00
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-5.05597510593774e-06,0.00000000000000e+00
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.48757824103719e-06,0.00000000000000e+00
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-4.44108142573507e-07,0.00000000000000e+00
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,4.24030868375509e-05,3.30000000000047e-02
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,1.10277303236438e-04,9.90000000000031e-02
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,1.61009268895541e-04,2.31000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.48042089684601e-04,3.30000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.35679375460600e-04,3.30000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.12662856828056e-04,3.30000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,7.53039381650306e-05,3.30000000000000e-01
1.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,2.68156698985146e-05,3.30000000000000e-01
1.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.44963124760582e-05,3.30000000000000e-01
1.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.56669802660239e-05,3.30000000000000e-01
1.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-5.41251742349272e-06,3.30000000000000e-01
1.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-9.66314724060949e-06,3.30000000000000e-01
1.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-5.71934017262986e-05,3.30000000000000e-01
