Time,i(vdd)
3.35544320000000e-09,-9.46961421300887e-07
6.71088640000000e-09,9.35237525198732e-07
1.06708864000000e-08,-9.46945425535684e-07
1.46308864000000e-08,9.35239665192054e-07
1.85908864000000e-08,-9.46946515044123e-07
2.25508864000000e-08,9.35244109707454e-07
2.65108864000000e-08,-9.46959338236248e-07
3.04708864000000e-08,9.35243220786717e-07
3.44308864000000e-08,-9.46959883702401e-07
3.83908864000000e-08,9.35243586541100e-07
4.23508864000000e-08,-9.46966398765844e-07
4.63108864000000e-08,9.35263025106411e-07
5.02708864000000e-08,-9.46945971740625e-07
5.42308864000000e-08,9.35241875193269e-07
5.81908864000000e-08,-9.46946378781059e-07
6.21508864000000e-08,9.35241619212653e-07
6.61108864000000e-08,-9.46945988930296e-07
7.00708864000000e-08,9.35242917336874e-07
7.40308864000000e-08,-9.46946687628763e-07
7.79908864000000e-08,9.35243974405298e-07
8.19508864000000e-08,-9.46943520782507e-07
8.59108864000001e-08,9.35247736629246e-07
8.98708864000001e-08,-9.46940480153377e-07
9.38308864000001e-08,9.35234031797086e-07
9.77908864000001e-08,-9.46951439997291e-07
1.01750886400000e-07,9.35222481050633e-07
1.05710886400000e-07,-9.46923011798833e-07
1.09670886400000e-07,9.35214519074387e-07
1.13630886400000e-07,-9.46923446776143e-07
1.17590886400000e-07,9.35212613451966e-07
1.21550886400000e-07,-9.46919330046144e-07
1.25510886400000e-07,9.35211108207680e-07
1.29470886400000e-07,-9.46918264536117e-07
1.33430886400000e-07,9.35213347163380e-07
1.37390886400000e-07,-9.46913903560412e-07
1.41350886400000e-07,9.35214299093874e-07
1.45310886400000e-07,-9.46910552119721e-07
1.49270886400000e-07,9.35202982977966e-07
1.53230886400000e-07,-9.46906944204487e-07
1.57190886400000e-07,9.35200539872630e-07
1.61150886400000e-07,-9.46904436280094e-07
1.65110886400000e-07,9.35199487668141e-07
1.69070886400000e-07,-9.46903226280467e-07
1.73030886400000e-07,9.35197986785661e-07
1.76990886400000e-07,-9.46900054541658e-07
1.80950886400000e-07,9.35196664817725e-07
1.84910886400000e-07,-9.46898619336493e-07
1.88870886400000e-07,9.35195412248792e-07
1.92830886400000e-07,-9.46898263519002e-07
1.96790886400000e-07,9.35196209025580e-07
2.00000000000000e-07,-9.46896491940149e-07
