Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,5.28931081355058e-06
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,5.56432855218156e-06
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,6.27759960738355e-06
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,7.01166163802856e-06
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,7.31271037462608e-06
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,7.19094407572451e-06
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,7.18399104955234e-06
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.77084482203494e-06
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.80169210224429e-06
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,7.86810811622372e-06
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,9.75654066444169e-06
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.12174573605427e-05
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,8.39875858871155e-06
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,7.82462970530312e-06
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,6.95656796557628e-06
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,-9.16006818858089e-06
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,-4.09040933243184e-05
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,-1.02276475809810e-04
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.46582700596969e-04
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.37516105966795e-04
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.17570924298045e-04
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-8.20450493403818e-05
1.53200000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.41234179135779e-05
1.54480000000000e-08,0.00000000000000e+00,3.30000000000000e-01,3.75269289695605e-05
1.57040000000000e-08,0.00000000000000e+00,3.30000000000000e-01,5.93014734680125e-05
1.62160000000000e-08,0.00000000000000e+00,3.30000000000000e-01,2.84037754344699e-05
1.72400000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-1.35512379838745e-05
1.92880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.49140463020586e-05
2.30880000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-2.53048352874194e-06
2.50000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,-6.39196664293726e-05
