Time,v(clk),v(data),v(out)
1.71288508232010e-09,0.00000000000000e+00,0.00000000000000e+00,7.87044871531917e-05
3.25232358885876e-09,0.00000000000000e+00,0.00000000000000e+00,-3.14851738692848e-05
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,6.53458065290845e-05
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,7.65132967481444e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.99326314735809e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.61494506845361e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,3.34928467126255e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,2.80247303932685e-03
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.71286988548872e-03
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.11317421810600e-04
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.85847816578580e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.70382071956703e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-3.10295773920985e-04
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.13538580248228e-04
7.02647067511400e-09,6.00000000000000e-01,0.00000000000000e+00,1.96236381398637e-04
8.84741202534199e-09,6.00000000000000e-01,0.00000000000000e+00,3.81907186884946e-05
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,-4.74120064435368e-05
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,-9.44605998147441e-06
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,4.68162129791533e-05
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,9.07681418886030e-05
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,3.10073166959746e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-3.82733345363762e-06
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.67281140588516e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.15480081001637e-04
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-1.01972986537066e-04
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.71805334071712e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,8.56430682362047e-05
1.11160000000000e-08,6.00000000000000e-01,6.00000000000000e-01,1.89568747415297e-05
1.18964618750850e-08,6.00000000000000e-01,6.00000000000000e-01,1.96660754127886e-05
1.34573856252550e-08,6.00000000000000e-01,6.00000000000000e-01,2.85101164155914e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,2.02915555713723e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.36614743395164e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.18217440677727e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.74934523360236e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.62510155403226e-03
1.52080000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.88348726158587e-03
1.52240000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-5.53337164794207e-04
1.52560000000000e-08,0.00000000000000e+00,6.00000000000000e-01,1.29034887962025e-03
1.53200000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.89357887794177e-03
1.54480000000000e-08,0.00000000000000e+00,6.00000000000000e-01,2.79984642985300e-03
1.57040000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.58870584208104e-04
1.62160000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-1.14907550567778e-03
1.71603733341909e-08,0.00000000000000e+00,6.00000000000000e-01,7.98472408302414e-04
1.83094092097711e-08,0.00000000000000e+00,6.00000000000000e-01,-9.69898746769275e-04
1.97770657024834e-08,0.00000000000000e+00,6.00000000000000e-01,1.16282150196164e-03
2.24081722847101e-08,0.00000000000000e+00,6.00000000000000e-01,-1.06778779530917e-03
2.49685173364899e-08,0.00000000000000e+00,6.00000000000000e-01,9.90432826460460e-04
2.50000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,8.35223778349631e-04
2.50100000000000e-08,5.99999999999886e-02,6.00000000000000e-01,1.58487920281676e-03
2.50300000000000e-08,1.80000000000006e-01,6.00000000000000e-01,2.98029830428774e-03
