Time,i(vdd)
1.67772160000000e-09,-6.91364798087153e-07
3.35544320000000e-09,6.76833542548456e-07
6.71088640000000e-09,-6.91397301428840e-07
1.06908864000000e-08,6.76815988216588e-07
1.46708864000000e-08,-6.91407739818581e-07
1.86508864000000e-08,6.76821470641716e-07
2.26308864000000e-08,-6.91400374564705e-07
2.66108864000000e-08,6.76827619083449e-07
3.05908864000000e-08,-6.91394955791206e-07
3.45708864000000e-08,6.76815409711674e-07
3.85508864000000e-08,-6.91405907423124e-07
4.25308864000000e-08,6.76804958587299e-07
4.65108864000000e-08,-6.91420342678516e-07
5.04908864000000e-08,6.76830667096555e-07
5.44708864000000e-08,-6.91392920325102e-07
5.84508864000000e-08,6.76808465476191e-07
6.24308864000000e-08,-6.91416211240939e-07
6.64108864000000e-08,6.76789258924271e-07
7.03908864000000e-08,-6.91374413999971e-07
7.43708864000000e-08,6.76837855918892e-07
7.83508864000000e-08,-6.91417695046817e-07
8.23308864000000e-08,6.76791475712412e-07
8.63108864000000e-08,-6.91376209215559e-07
9.02908864000000e-08,6.76838716253588e-07
9.42708864000000e-08,-6.91418074392280e-07
9.82508864000000e-08,6.76796994454537e-07
1.02230886400000e-07,-6.91381903741681e-07
1.06210886400000e-07,6.76835591692446e-07
1.10190886400000e-07,-6.91419194189423e-07
1.14170886400000e-07,6.76799019862435e-07
1.18150886400000e-07,-6.91383393984290e-07
1.22130886400000e-07,6.76835988944957e-07
1.26110886400000e-07,-6.91423324392177e-07
1.30090886400000e-07,6.76801762303845e-07
1.34070886400000e-07,-6.91385878102217e-07
1.38050886400000e-07,6.76839764573809e-07
1.42030886400000e-07,-6.91421603355375e-07
1.46010886400000e-07,6.76802793630313e-07
1.49990886400000e-07,-6.91385455065107e-07
1.53970886400000e-07,6.76840576237924e-07
1.57950886400000e-07,-6.91420302066297e-07
1.61930886400000e-07,6.76804933147410e-07
1.65910886400000e-07,-6.91385546821944e-07
1.69890886400000e-07,6.76840605896033e-07
1.73870886400000e-07,-6.91419524841081e-07
1.77850886400000e-07,6.76801156952389e-07
1.81830886400000e-07,-6.91386288590225e-07
1.85810886400000e-07,6.76835505994034e-07
1.89790886400000e-07,-6.91420100528676e-07
1.93770886400000e-07,6.76803451323120e-07
1.97750886400000e-07,-6.91387325480301e-07
2.00000000000000e-07,6.76853615530110e-07
