Time,v(clk),v(data),v(out)
1.00000000000000e-08,3.37000000000000e-01,0.00000000000000e+00,2.62863660219683e-05
1.00100000000000e-08,3.37000000000000e-01,3.36999999999992e-02,2.65140719429499e-05
1.00300000000000e-08,3.37000000000000e-01,1.01099999999998e-01,2.66990850754448e-05
1.00700000000000e-08,3.37000000000000e-01,2.35899999999994e-01,2.66968771788015e-05
1.01000000000000e-08,3.37000000000000e-01,3.36999999999997e-01,2.67688154366730e-05
1.01080000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.67087348689646e-05
1.01240000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.66657475065726e-05
1.01560000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.57446475686977e-05
1.02200000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.45786714670737e-05
1.03480000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.23557671422507e-05
1.06040000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.11699820203658e-05
1.11160000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.92033580484544e-05
1.21400000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.29740957976543e-05
1.41880000000000e-08,3.37000000000000e-01,3.37000000000000e-01,5.67670150281290e-06
1.51000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,5.64405839353910e-06
1.51100000000000e-08,3.03299999999995e-01,3.37000000000000e-01,-1.06318591057870e-05
1.51300000000000e-08,2.35899999999997e-01,3.37000000000000e-01,-4.32953219745152e-05
1.51700000000000e-08,1.01100000000000e-01,3.37000000000000e-01,-1.12667071211981e-04
1.52000000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.67447780773405e-04
1.52080000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.60563562162340e-04
1.52240000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.46883156038308e-04
1.52560000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.20023092117585e-04
1.53200000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-7.13821758985544e-05
1.54480000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.58634522796908e-06
1.57040000000000e-08,0.00000000000000e+00,3.37000000000000e-01,6.02984378419782e-05
1.62160000000000e-08,0.00000000000000e+00,3.37000000000000e-01,6.12378941227173e-05
1.72400000000000e-08,0.00000000000000e+00,3.37000000000000e-01,1.12842293467901e-05
1.92880000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.75908131835410e-05
2.30880000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-2.17875914455823e-07
2.50000000000000e-08,0.00000000000000e+00,3.37000000000000e-01,-1.59300029399477e-05
2.50100000000000e-08,3.36999999999936e-02,3.37000000000000e-01,9.45179043550931e-06
2.50300000000000e-08,1.01100000000003e-01,3.37000000000000e-01,5.63718279372911e-05
2.50700000000000e-08,2.35900000000000e-01,3.37000000000000e-01,1.26510920497789e-04
2.51000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.58931742983797e-04
2.51080000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.52749975829491e-04
2.51240000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.40342345945198e-04
2.51560000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.16628044942980e-04
2.52200000000000e-08,3.37000000000000e-01,3.37000000000000e-01,7.16751181219534e-05
2.53480000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-7.68363244416960e-06
2.56040000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-1.39758128673348e-04
2.61160000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-4.35881485104074e-04
2.71400000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-1.33508723107102e-03
2.91880000000000e-08,3.37000000000000e-01,3.37000000000000e-01,8.59389070765172e-03
3.01000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,3.53090275374208e-02
3.01100000000000e-08,3.37000000000000e-01,3.03300000000018e-01,3.57796944443956e-02
3.01300000000000e-08,3.37000000000000e-01,2.35900000000008e-01,3.67497501976682e-02
3.01700000000000e-08,3.37000000000000e-01,1.01100000000011e-01,3.87529317252366e-02
3.02000000000000e-08,3.37000000000000e-01,8.16013923099490e-15,4.02741789594409e-02
3.02080000000000e-08,3.37000000000000e-01,0.00000000000000e+00,4.06768072631675e-02
3.02240000000000e-08,3.37000000000000e-01,0.00000000000000e+00,4.14878495680447e-02
3.02560000000000e-08,3.37000000000000e-01,0.00000000000000e+00,4.31766744332986e-02
3.03200000000000e-08,3.37000000000000e-01,0.00000000000000e+00,4.66764921284993e-02
3.04480000000000e-08,3.37000000000000e-01,0.00000000000000e+00,5.40018807344224e-02
3.07040000000000e-08,3.37000000000000e-01,0.00000000000000e+00,7.04502700101275e-02
3.12160000000000e-08,3.37000000000000e-01,0.00000000000000e+00,1.07612896260472e-01
3.22400000000000e-08,3.37000000000000e-01,0.00000000000000e+00,1.86973493225424e-01
3.42880000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.03774136333571e-01
3.51000000000000e-08,3.36999999999983e-01,0.00000000000000e+00,3.23967061283148e-01
3.51100000000000e-08,3.03299999999990e-01,0.00000000000000e+00,3.24088265856231e-01
3.51300000000000e-08,2.35899999999980e-01,0.00000000000000e+00,3.24328987431739e-01
3.51700000000000e-08,1.01099999999983e-01,0.00000000000000e+00,3.24812398229679e-01
3.52000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.25211227973734e-01
3.52080000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.25335593070752e-01
3.52240000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.25574260217952e-01
3.52560000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.26036889005378e-01
3.53200000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.26852661979148e-01
3.54480000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.28176665624138e-01
3.57040000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.30023637072191e-01
3.62160000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.32069164504340e-01
3.72400000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.33025927484392e-01
3.91000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.28118619560660e-01
3.93048000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.27231412281544e-01
3.97144000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.25643895807074e-01
4.05336000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.23656387285985e-01
4.21720000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.24469772643247e-01
4.50000000000000e-08,0.00000000000000e+00,0.00000000000000e+00,3.31073320245833e-01
4.50100000000000e-08,3.36999999999936e-02,0.00000000000000e+00,3.31117281169125e-01
4.50300000000000e-08,1.01100000000003e-01,0.00000000000000e+00,3.31200079312787e-01
4.50700000000000e-08,2.35900000000000e-01,0.00000000000000e+00,3.31332526709764e-01
4.51000000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31405718832459e-01
4.51080000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31414853952600e-01
4.51240000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31433679350350e-01
4.51560000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31472284829514e-01
4.52200000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31555115691954e-01
4.53480000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.31744282224707e-01
4.56040000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.32151854276307e-01
4.61160000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.32925760344802e-01
4.71400000000000e-08,3.37000000000000e-01,0.00000000000000e+00,3.34090424153402e-01
