Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,3.37000000000000e-01,0.00000000000000e+00,2.84830226615495e-01,0.00000000000000e+00
1.00100000000000e-08,3.37000000000000e-01,3.36999999999992e-02,2.83722856149965e-01,0.00000000000000e+00
1.00300000000000e-08,3.37000000000000e-01,1.01099999999998e-01,2.81461055059844e-01,0.00000000000000e+00
1.00700000000000e-08,3.37000000000000e-01,2.35899999999994e-01,2.76792137195394e-01,0.00000000000000e+00
1.01000000000000e-08,3.37000000000000e-01,3.36999999999997e-01,2.72942381390536e-01,0.00000000000000e+00
1.01080000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.71876325147266e-01,0.00000000000000e+00
1.01240000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.69770014558770e-01,0.00000000000000e+00
1.01560000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.65286412020003e-01,0.00000000000000e+00
1.02200000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.55755388297871e-01,0.00000000000000e+00
1.03480000000000e-08,3.37000000000000e-01,3.37000000000000e-01,2.34889509582865e-01,0.00000000000000e+00
1.06040000000000e-08,3.37000000000000e-01,3.37000000000000e-01,1.88745919762310e-01,0.00000000000000e+00
1.11160000000000e-08,3.37000000000000e-01,3.37000000000000e-01,9.67448468852864e-02,0.00000000000000e+00
1.21400000000000e-08,3.37000000000000e-01,3.37000000000000e-01,6.37499842954295e-03,0.00000000000000e+00
1.41880000000000e-08,3.37000000000000e-01,3.37000000000000e-01,-2.58759376257187e-03,0.00000000000000e+00
1.51000000000000e-08,3.37000000000000e-01,3.37000000000000e-01,6.23072677470703e-05,0.00000000000000e+00
1.51100000000000e-08,3.03299999999995e-01,3.37000000000000e-01,1.52663573411156e-04,3.37000000000048e-02
1.51300000000000e-08,2.35899999999997e-01,3.37000000000000e-01,3.00827186628678e-04,1.01100000000003e-01
1.51700000000000e-08,1.01100000000000e-01,3.37000000000000e-01,4.46573523346212e-04,2.35900000000000e-01
1.52000000000000e-08,0.00000000000000e+00,3.37000000000000e-01,4.64069947963979e-04,3.37000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,3.37000000000000e-01,4.54524454723149e-04,3.37000000000000e-01
