Time,id(m:nand_2:mn1:1),id(m:nand_3:mn1:1)
5.13554432000000e-07,5.50961226004811e-11,8.23015611814791e-11
5.43554432000000e-07,5.50915172266210e-11,8.23257091971988e-11
5.73554432000000e-07,5.50869120565263e-11,8.23498585589270e-11
6.03554432000000e-07,5.50436891630176e-11,8.23740092667251e-11
6.33554432000000e-07,5.50004619262402e-11,8.23981613206439e-11
6.63554432000000e-07,5.50745968322730e-11,8.24519031541882e-11
6.93554432000000e-07,5.51487331811008e-11,8.23659506002442e-11
7.23554432000000e-07,5.51015140911990e-11,8.22800165450034e-11
7.53554432000000e-07,5.50542957176221e-11,8.22417857492015e-11
7.83554432000001e-07,5.50070780603743e-11,8.22035538316794e-11
8.13554432000001e-07,5.49598611194645e-11,8.21653207924204e-11
8.43554432000001e-07,5.50401834375961e-11,8.21270866314116e-11
8.73554432000001e-07,5.51205066860625e-11,8.20888513486365e-11
9.03554432000001e-07,5.50699540327125e-11,8.20506149440805e-11
9.33554432000001e-07,5.50194020419199e-11,8.22247882939380e-11
9.63554432000001e-07,5.49688507136972e-11,8.22052330469002e-11
9.93554432000001e-07,5.49183000480558e-11,8.21856771094375e-11
1.02355443200000e-06,5.50055104434621e-11,8.21661204815391e-11
1.05355443200000e-06,5.50927215811327e-11,8.21465631631857e-11
1.08355443200000e-06,5.51799334609755e-11,8.21270051543607e-11
1.11355443200000e-06,5.51329500725417e-11,8.22700770142602e-11
1.14355443200000e-06,5.50859658431687e-11,8.24131409351339e-11
1.17355443200000e-06,5.50389807728613e-11,8.23654756103233e-11
1.20355443200000e-06,5.49919948616234e-11,8.23178075000545e-11
1.23355443200000e-06,5.50700137166080e-11,8.23939808817159e-11
1.26355443200000e-06,5.51480292318380e-11,8.22861144740942e-11
1.29355443200000e-06,5.50970585655942e-11,8.21782573760238e-11
1.32355443200000e-06,5.50460878345383e-11,8.20704095871076e-11
1.35355443200000e-06,5.49951170386878e-11,8.21528584151804e-11
1.38355443200000e-06,5.49441461780635e-11,8.22353102806573e-11
1.41355443200000e-06,5.50300857957674e-11,8.21577147424093e-11
1.44355443200000e-06,5.51160240105516e-11,8.20801225123530e-11
1.47355443200000e-06,5.52019608223418e-11,8.21725535324887e-11
1.50355443200000e-06,5.51006683817257e-11,8.22649901360517e-11
1.53355443200000e-06,5.49993716251081e-11,8.23574323231680e-11
1.56355443200000e-06,5.50358357527140e-11,8.24498800939560e-11
1.59355443200000e-06,5.50722989591219e-11,8.23068582551790e-11
1.62355443200000e-06,5.51087612443454e-11,8.21638460841454e-11
1.65355443200000e-06,5.51452226083928e-11,8.21903134657804e-11
1.68355443200000e-06,5.51816830512771e-11,8.22167803611118e-11
1.71355443200000e-06,5.50994797167250e-11,8.22432467701492e-11
1.74355443200000e-06,5.50172715302485e-11,8.22697126928933e-11
1.77355443200000e-06,5.50429475878464e-11,8.22961781293501e-11
1.80355443200000e-06,5.50686228378099e-11,8.23226430795185e-11
1.83355443200000e-06,5.50942972801554e-11,8.22049566611053e-11
1.86355443200000e-06,5.51199709148998e-11,8.20872648636030e-11
1.89355443200000e-06,5.51456437420558e-11,8.21638774064462e-11
1.92355443200000e-06,5.50545063100213e-11,8.22404888472644e-11
1.95355443200000e-06,5.49633629771089e-11,8.23170991859971e-11
1.98355443200000e-06,5.50614659480671e-11,8.22340124781400e-11
2.00000000000000e-06,5.51152458055027e-11,8.21884643657680e-11
