Time,v(clk),v(data),v(out),v(reset)
1.00000000000000e-08,3.30000000000000e-01,0.00000000000000e+00,6.11029313012826e-03,0.00000000000000e+00
1.00100000000000e-08,3.30000000000000e-01,3.29999999999992e-02,5.77305248260113e-03,0.00000000000000e+00
1.00300000000000e-08,3.30000000000000e-01,9.89999999999976e-02,5.17164579880642e-03,0.00000000000000e+00
1.00700000000000e-08,3.30000000000000e-01,2.30999999999994e-01,4.25005938837569e-03,0.00000000000000e+00
1.01000000000000e-08,3.30000000000000e-01,3.29999999999998e-01,3.70972595002910e-03,0.00000000000000e+00
1.01080000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.57816737113045e-03,0.00000000000000e+00
1.01240000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.31705850956227e-03,0.00000000000000e+00
1.01560000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.87813909196511e-03,0.00000000000000e+00
1.02200000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.10774312374853e-03,0.00000000000000e+00
1.03480000000000e-08,3.30000000000000e-01,3.30000000000000e-01,1.17764609723893e-03,0.00000000000000e+00
1.06040000000000e-08,3.30000000000000e-01,3.30000000000000e-01,3.27720294903636e-04,0.00000000000000e+00
1.11160000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-1.53337172991777e-05,0.00000000000000e+00
1.21400000000000e-08,3.30000000000000e-01,3.30000000000000e-01,5.75621136460636e-06,0.00000000000000e+00
1.41880000000000e-08,3.30000000000000e-01,3.30000000000000e-01,-3.23727671080500e-06,0.00000000000000e+00
1.51000000000000e-08,3.30000000000000e-01,3.30000000000000e-01,2.88346777755667e-06,0.00000000000000e+00
1.51100000000000e-08,2.96999999999995e-01,3.30000000000000e-01,4.98942040623417e-05,3.30000000000047e-02
1.51300000000000e-08,2.30999999999997e-01,3.30000000000000e-01,1.21732150228974e-04,9.90000000000031e-02
1.51700000000000e-08,9.90000000000001e-02,3.30000000000000e-01,1.76677427966430e-04,2.31000000000000e-01
1.52000000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.75569129363638e-04,3.30000000000000e-01
1.52080000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.65149487169607e-04,3.30000000000000e-01
1.52240000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.45419107175970e-04,3.30000000000000e-01
1.52560000000000e-08,0.00000000000000e+00,3.30000000000000e-01,1.11790472153001e-04,3.30000000000000e-01
