Time,i(vdd)
3.35544320000000e-09,-8.10762016422723e-06
6.71088640000000e-09,8.08939319074399e-06
1.06708864000000e-08,-8.10830854917807e-06
1.46308864000000e-08,8.08930279664826e-06
1.85908864000000e-08,-8.10831154066977e-06
2.25508864000000e-08,8.08930278582467e-06
2.65108864000000e-08,-8.10831651922756e-06
3.04708864000000e-08,8.08930446981780e-06
3.44308864000000e-08,-8.10832116295135e-06
3.83908864000000e-08,8.08930634270668e-06
4.23508864000000e-08,-8.10830409983886e-06
4.63108864000000e-08,8.08931582300647e-06
5.02708864000000e-08,-8.10830260239774e-06
5.42308864000000e-08,8.08934851018945e-06
5.81908864000000e-08,-8.10835015350970e-06
6.21508864000000e-08,8.08934112468465e-06
6.61108864000000e-08,-8.10835930531424e-06
7.00708864000000e-08,8.08935712458539e-06
7.40308864000000e-08,-8.10835461384353e-06
7.79908864000000e-08,8.08934058063875e-06
8.19508864000000e-08,-8.10837529056148e-06
8.59108864000001e-08,8.08934532921988e-06
8.98708864000001e-08,-8.10835008862359e-06
9.38308864000001e-08,8.08935310497330e-06
9.77908864000001e-08,-8.10837580045686e-06
1.01750886400000e-07,8.08935184616697e-06
1.05710886400000e-07,-8.10837920912945e-06
1.09670886400000e-07,8.08933180282069e-06
1.13630886400000e-07,-8.10840464830210e-06
1.17590886400000e-07,8.08939348558541e-06
1.21550886400000e-07,-8.10839499276945e-06
1.25510886400000e-07,8.08938348593257e-06
1.29470886400000e-07,-8.10840683043678e-06
1.33430886400000e-07,8.08939151303652e-06
1.37390886400000e-07,-8.10839934645644e-06
1.41350886400000e-07,8.08938329171238e-06
1.45310886400000e-07,-8.10841141731747e-06
1.49270886400000e-07,8.08939165987621e-06
1.53230886400000e-07,-8.10840523884260e-06
1.57190886400000e-07,8.08938440050824e-06
1.61150886400000e-07,-8.10841708285966e-06
1.65110886400000e-07,8.08939265849089e-06
1.69070886400000e-07,-8.10841161113740e-06
1.73030886400000e-07,8.08938627563499e-06
1.76990886400000e-07,-8.10842344998398e-06
1.80950886400000e-07,8.08939429655937e-06
1.84910886400000e-07,-8.10841873330190e-06
1.88870886400000e-07,8.08938852372209e-06
1.92830886400000e-07,-8.10843017497580e-06
1.96790886400000e-07,8.08939614606678e-06
2.00000000000000e-07,-8.10833249985390e-06
